tag_id,tag_name,tag_type,pi_name,ui_display_name,data_type,uom_id,uom_name,uom_description,model_id,model_tag_id,formula_expression
3107,5th_Effect_Evaporator_C_2535_Overhead_Pressure_KEV,inferred,NULL,"5th Effect Evaporator C 2535 Overhead Pressure KEV  ",real,1,BARG,1,1,4266,[5th_Effect_Evaporator_C_2535_Overhead_Pressure]
3168,5th_Effect_Evaporator_C_2535_Overhead_Pressure_KEV_Adjusted,inferred,NULL,"5th Effect Evaporator C 2535 Overhead Pressure KEV Adjusted  ",real,1,BARG,1,1,4327,"if([opportunity_energy_eg1_eg]==[opportunity_threshold] || missing([opportunity_energy_eg1_eg]),[5th_Effect_Evaporator_C_2535_Overhead_Pressure]*[EOEG1_Plant_Status],min([5th_Effect_Evaporator_C_2535_Overhead_Pressure]*[EOEG1_Plant_Status],[5th_Effect_Evaporator_C_2535_Overhead_Pressure_peeo]*[EOEG1_Plant_Status]))"
3191,5th_Effect_Evaporator_C_4535_Overhead_Pressure_KEV_Adjusted,inferred,NULL,"5th Effect Evaporator C 4535 Overhead Pressure KEV Adjusted  ",real,1,BARG,1,1,4350,"if([opportunity_energy_eg2_eg]==[opportunity_threshold] || missing([opportunity_energy_eg2_eg]),[5th_Effect_Evaporator_C_4535_Overhead_Pressure]*[EOEG2_Plant_Status],min([5th_Effect_Evaporator_C_4535_Overhead_Pressure]*[EOEG2_Plant_Status],[5th_Effect_Evaporator_C_4535_Overhead_Pressure_peeo]*[EOEG2_Plant_Status]))"
3209,7th_Effect_Evaporator_C_6537_Overhead_Pressure_KEV_Adjusted,inferred,NULL,"7th Effect Evaporator C 6537 Overhead Pressure KEV Adjusted  ",real,1,BARG,1,1,4368,"if([opportunity_energy_eg3_eg]==[opportunity_threshold] || missing([opportunity_energy_eg3_eg]),[7th_Effect_Evaporator_C_6537_Overhead_Pressure],min([7th_Effect_Evaporator_C_6537_Overhead_Pressure],min(1.1,[7th_Effect_Evaporator_C_6537_Overhead_Pressure_peeo]))*[EOEG3_Plant_Status])"
157,AC_A_Flow_To_Header,inferred,NULL,Air Compressor A Flow To Header,real,3,MT/ HR,3,1,157,[AC_A_Flow_To_Header_raw]/1000
4406,AC_A_Max_Alloc,inferred,NULL,max allocation of vent - air compressor A,real,3,MT/ HR,3,1,5574,0
158,AC_B_Flow_To_Header,inferred,NULL,Air Compressor B Flow To Header,real,3,MT/ HR,3,1,158,[AC_B_Flow_To_Header_raw]/1000
4407,AC_B_Max_Alloc,inferred,NULL,max allocation of vent - air compressor B,real,3,MT/ HR,3,1,5575,0
159,AC_C_Flow_To_Header,inferred,NULL,Air Compressor C Flow To Header,real,3,MT/ HR,3,1,159,[AC_C_Flow_To_Header_raw]/1000
4408,AC_C_Max_Alloc,inferred,NULL,max allocation of vent - air compressor C,real,3,MT/ HR,3,1,5576,0
160,AC_D_Flow_To_Header,inferred,NULL,Air Compressor D Flow To Header,real,3,MT/ HR,3,1,160,[AC_D_Flow_To_Header_raw]/1000
4409,AC_D_Max_Alloc,inferred,NULL,max allocation of vent - air compressor D,real,3,MT/ HR,3,1,5577,0
4410,AC_total_Max_Alloc,inferred,NULL,Total max allocation,real,3,MT/ HR,3,1,5578,0
4411,act_AIR_COMPRESSOR_A_Vent_flow,inferred,NULL,allocation of vent - air compressor A,real,3,MT/ HR,3,1,5570,[AIR_COMPRESSOR_A_Vent_flow]
4412,act_AIR_COMPRESSOR_B_Vent_flow,inferred,NULL,allocation of vent - air compressor B,real,3,MT/ HR,3,1,5571,[AIR_COMPRESSOR_B_Vent_flow]
4413,act_AIR_COMPRESSOR_C_Vent_flow,inferred,NULL,allocation of vent - air compressor C,real,3,MT/ HR,3,1,5572,[AIR_COMPRESSOR_C_Vent_flow]
4414,act_AIR_COMPRESSOR_D_Vent_flow,inferred,NULL,allocation of vent - air compressor D,real,3,MT/ HR,3,1,5573,[AIR_COMPRESSOR_D_Vent_flow]
4131,act_Air_Compressor_Motor_B_Status,inferred,NULL,act_Air_Compressor_Motor_B_Status,real,27,-,28,1,5295,[Air_Compressor_Motor_B_Status]
4130,act_Air_Compressor_Motor_C_Status,inferred,NULL,act_Air_Compressor_Motor_C_Status,real,27,-,28,1,5294,[Air_Compressor_Motor_C_Status]
4128,act_Air_Compressor_Turbine_A_Status,inferred,NULL,act_Air_Compressor_Turbine_A_Status,real,27,-,28,1,5292,[Air_Compressor_Turbine_A_Status]
4129,act_Air_Compressor_Turbine_D_Status,inferred,NULL,act_Air_Compressor_Turbine_D_Status,real,27,-,28,1,5293,[Air_Compressor_Turbine_D_Status]
4027,act_BFW_Imbalance,inferred,NULL,act_BFW_Imbalance,real,27,-,28,1,5191,[BFW_Imbalance]
2884,act_Boiler_A_Boiler_Indirect_Efficiency,inferred,NULL,act Boiler A Boiler Indirect Efficiency,real,5,%,5,1,4043,[Boiler_A_Boiler_Indirect_Efficiency]
2885,act_Boiler_B_Boiler_Indirect_Efficiency,inferred,NULL,act Boiler B Boiler Indirect Efficiency,real,5,%,5,1,4044,[Boiler_B_Boiler_Indirect_Efficiency]
2886,act_Boiler_C_Boiler_Indirect_Efficiency,inferred,NULL,act Boiler C Boiler Indirect Efficiency,real,5,%,5,1,4045,[Boiler_C_Boiler_Indirect_Efficiency]
2887,act_Boiler_D_Boiler_Indirect_Efficiency,inferred,NULL,act Boiler D Boiler Indirect Efficiency,real,5,%,5,1,4046,[Boiler_D_Boiler_Indirect_Efficiency]
