inferred_tag,formula,ref_count,refs,boiler_related,min_depth_from_minlp_target
BFW_B_Turb_Steam,"if([BFW_B_Turb_Steam_raw]<100,0,[BFW_B_Turb_Steam_raw]/1000)",1,BFW_B_Turb_Steam_raw,True,0
BFW_B_Turb_Steam_Imbalance,[BFW_B_Turb_Steam_cons]-[BFW_B_Turb_Steam_Regression],2,BFW_B_Turb_Steam_Regression; BFW_B_Turb_Steam_cons,True,0
BFW_C_Turb_Steam,"if([BFW_C_Turb_Steam_raw]<100,0,[BFW_C_Turb_Steam_raw]/1000)",1,BFW_C_Turb_Steam_raw,True,0
BFW_C_Turb_Steam_Imbalance,[BFW_C_Turb_Steam_cons]-[BFW_C_Turb_Steam_Regression],2,BFW_C_Turb_Steam_Regression; BFW_C_Turb_Steam_cons,True,0
BFW_E_Turb_Steam,"if([BFW_E_Turb_Steam_raw]<100,0,[BFW_E_Turb_Steam_raw]/1000)",1,BFW_E_Turb_Steam_raw,True,0
BFW_E_Turb_Steam_Imbalance,[BFW_E_Turb_Steam_cons]-[BFW_E_Turb_Steam_Regression],2,BFW_E_Turb_Steam_Regression; BFW_E_Turb_Steam_cons,True,0
BLR_1_HPS_Gen,"if([BLR_1_HPS_Gen_raw]<0,0,[BLR_1_HPS_Gen_raw]/1000)",1,BLR_1_HPS_Gen_raw,True,0
BLR_2_HPS_Gen,"if([BLR_2_HPS_Gen_raw]<0,0,[BLR_2_HPS_Gen_raw]/1000)",1,BLR_2_HPS_Gen_raw,True,0
BLR_3_HPS_Gen,"if([BLR_3_HPS_Gen_raw]<0,0,[BLR_3_HPS_Gen_raw]/1000)",1,BLR_3_HPS_Gen_raw,True,0
BLR_4_HPS_Gen,"if([BLR_4_HPS_Gen_raw]<0,0,[BLR_4_HPS_Gen_raw]/1000)",1,BLR_4_HPS_Gen_raw,True,0
BLR_5_HPS_Gen,"if([BLR_5_HPS_Gen_raw]<0,0,[BLR_5_HPS_Gen_raw]/1000)",1,BLR_5_HPS_Gen_raw,True,0
FD_Fan_BLR_1_Steam,"if([FD_Fan_BLR_1_Steam_raw]<500,0,[FD_Fan_BLR_1_Steam_raw]/1000)",1,FD_Fan_BLR_1_Steam_raw,True,0
FD_Fan_BLR_2_Steam,"if([FD_Fan_BLR_2_Steam_raw]<500,0,[FD_Fan_BLR_2_Steam_raw]/1000)",1,FD_Fan_BLR_2_Steam_raw,True,0
FD_Fan_BLR_3_Steam,"if([FD_Fan_BLR_3_Steam_raw]<500,0,[FD_Fan_BLR_3_Steam_raw]/1000)",1,FD_Fan_BLR_3_Steam_raw,True,0
FD_Fan_BLR_4_Steam,"if([FD_Fan_BLR_4_Steam_raw]<500,0,[FD_Fan_BLR_4_Steam_raw]/1000)",1,FD_Fan_BLR_4_Steam_raw,True,0
FD_Fan_BLR_5_Steam,"if([FD_Fan_BLR_5_Steam_raw]<500,0,[FD_Fan_BLR_5_Steam_raw]/1000)",1,FD_Fan_BLR_5_Steam_raw,True,0
Fuel_BLR_1,"if((([Boielr_A_Fuel_Gas_Flow]-[Fuel_BLR_1_raw])/[Boielr_A_Fuel_Gas_Flow]*100 > 2) || (([Boielr_A_Fuel_Gas_Flow]-[Fuel_BLR_1_raw])/[Boielr_A_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_1_raw],[Boielr_A_Fuel_Gas_Flow])*[BLR_1_Status]/1000 ",3,BLR_1_Status; Boielr_A_Fuel_Gas_Flow; Fuel_BLR_1_raw,True,0
Fuel_BLR_2,"if((([Boielr_B_Fuel_Gas_Flow]-[Fuel_BLR_2_raw])/[Boielr_B_Fuel_Gas_Flow]*100 > 2) ||(([Boielr_B_Fuel_Gas_Flow]-[Fuel_BLR_2_raw])/[Boielr_B_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_2_raw],[Boielr_B_Fuel_Gas_Flow])*[BLR_2_Status]/1000",3,BLR_2_Status; Boielr_B_Fuel_Gas_Flow; Fuel_BLR_2_raw,True,0
Fuel_BLR_3,"if((([Boielr_C_Fuel_Gas_Flow]-[Fuel_BLR_3_raw])/[Boielr_C_Fuel_Gas_Flow]*100 > 2 )||(([Boielr_C_Fuel_Gas_Flow]-[Fuel_BLR_3_raw])/[Boielr_C_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_3_raw],[Boielr_C_Fuel_Gas_Flow])*[BLR_3_Status]/1000",3,BLR_3_Status; Boielr_C_Fuel_Gas_Flow; Fuel_BLR_3_raw,True,0
Fuel_BLR_4,"if((([Boielr_D_Fuel_Gas_Flow]-[Fuel_BLR_4_raw])/[Boielr_D_Fuel_Gas_Flow]*100 > 2) ||(([Boielr_D_Fuel_Gas_Flow]-[Fuel_BLR_4_raw])/[Boielr_D_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_4_raw],[Boielr_D_Fuel_Gas_Flow])*[BLR_4_Status]/1000",3,BLR_4_Status; Boielr_D_Fuel_Gas_Flow; Fuel_BLR_4_raw,True,0
