raw_tag,in_master_pi_data,boiler_related,min_depth_from_minlp_target,hier_element_path,hier_attribute_name,hier_pi_sensors,hier_has_pi,match_kind
BFW_B_Turb_Steam_raw,True,True,1,,,,False,unmapped
BFW_C_Turb_Steam_raw,True,True,1,,,,False,unmapped
BFW_E_Turb_Steam_raw,True,True,1,,,,False,unmapped
BLR_1_HPS_Gen_raw,True,True,1,,,,False,unmapped
BLR_2_HPS_Gen_raw,True,True,1,,,,False,unmapped
BLR_3_HPS_Gen_raw,True,True,1,,,,False,unmapped
BLR_4_HPS_Gen_raw,True,True,1,,,,False,unmapped
BLR_5_HPS_Gen_raw,True,True,1,,,,False,unmapped
FD_Fan_BLR_1_Steam_raw,True,True,1,,,,False,unmapped
FD_Fan_BLR_2_Steam_raw,True,True,1,,,,False,unmapped
FD_Fan_BLR_3_Steam_raw,True,True,1,,,,False,unmapped
FD_Fan_BLR_4_Steam_raw,True,True,1,,,,False,unmapped
FD_Fan_BLR_5_Steam_raw,True,True,1,,,,False,unmapped
Fuel_BLR_1_raw,True,True,1,,,,False,unmapped
Fuel_BLR_2_raw,True,True,1,,,,False,unmapped
Fuel_BLR_3_raw,True,True,1,,,,False,unmapped
Fuel_BLR_4_raw,True,True,1,,,,False,unmapped
Fuel_BLR_5_raw,True,True,1,,,,False,unmapped
VHP_BFW_A_AMPS,True,True,1,,,,False,unmapped
VHP_BFW_A_Discharge_flow,True,True,1,,,,False,unmapped
VHP_BFW_A_Vibration,True,True,1,,,,False,unmapped
VHP_BFW_B_Discharge_flow,True,True,1,,,,False,unmapped
VHP_BFW_B_Turb_Steam_raw,True,True,1,,,,False,unmapped
VHP_BFW_C_Discharge_flow,True,True,1,,,,False,unmapped
VHP_BFW_C_Turb_Steam_raw,True,True,1,,,,False,unmapped
VHP_BFW_FROM_U_O,True,True,1,,,,False,unmapped
Boielr_A_Fuel_Gas_Flow,True,False,1,,Fuel Gas Flow,,False,suffix_only_no_element
Boielr_B_Fuel_Gas_Flow,True,False,1,,Fuel Gas Flow,,False,suffix_only_no_element
Boielr_C_Fuel_Gas_Flow,True,False,1,,Fuel Gas Flow,,False,suffix_only_no_element
Boielr_D_Fuel_Gas_Flow,True,False,1,,Fuel Gas Flow,,False,suffix_only_no_element
Boielr_E_Fuel_Gas_Flow,True,False,1,,Fuel Gas Flow,,False,suffix_only_no_element
Air_Compressor_Turbine_A_Steam_raw,True,False,3,,,,False,unmapped
Air_Compressor_Turbine_D_Steam_raw,True,False,3,,,,False,unmapped
BFW_A_AMPS,True,False,1,,,,False,unmapped
BFW_A_Bearing_temp,True,False,1,,,,False,unmapped
BFW_A_Vibrations,True,False,1,,,,False,unmapped
BFW_D_AMPS,True,False,1,,,,False,unmapped
BFW_D_Bearing_temp,True,False,1,,,,False,unmapped
BFW_D_Vibrations,True,False,1,,,,False,unmapped
BFW_TO_LAO_raw,True,False,2,,,,False,unmapped
BFW_to_EOEG_1_raw,True,False,2,,,,False,unmapped
BFW_to_EOEG_2_raw,True,False,2,,,,False,unmapped
BFW_to_EOEG_3_raw,True,False,2,,,,False,unmapped
BOILER_A_CBD,True,False,3,,,,False,unmapped
BOILER_A_STACK_TEMPERATURE,True,False,0,,,,False,unmapped
BOILER_B_CBD,True,False,3,,,,False,unmapped
BOILER_B_STACK_TEMPERATURE,True,False,0,,,,False,unmapped
BOILER_C_CBD,True,False,3,,,,False,unmapped
BOILER_C_STACK_TEMPERATURE,True,False,0,,,,False,unmapped
BOILER_D_CBD,True,False,3,,,,False,unmapped
BOILER_D_STACK_TEMPERATURE,True,False,0,,,,False,unmapped
BOILER_E_CBD,True,False,3,,,,False,unmapped
BOILER_E_STACK_TEMPERATURE,True,False,0,,,,False,unmapped
C2R_turbine_Inlet_steam_flow,True,False,2,,,,False,unmapped
C3R_turbine_Inlet_steam_flow,True,False,2,,,,False,unmapped
CW_Turbine_A_Steam,True,False,2,,,,False,unmapped
CW_Turbine_B_Steam,True,False,2,,,,False,unmapped
CW_Turbine_G_Steam,True,False,2,,,,False,unmapped
DMW_MAKEUP_Near_Clean_Condensate_Header,True,False,2,,,,False,unmapped
DMW_MAKEUP_Near_Suspect_Condensate_Header,True,False,2,,,,False,unmapped
DMW_Turbine_A_Steam_raw,True,False,2,,,,False,unmapped
DMW_Turbine_C_Steam_raw,True,False,2,,,,False,unmapped
DSP_BFW_TO_CAUSTIC_DILUTION_raw,True,False,2,,,,False,unmapped
DSP_BFW_TO_EG1_raw,True,False,2,,,,False,unmapped
DSP_BFW_TO_EG2_raw,True,False,2,,,,False,unmapped
DSP_BFW_TO_EG3_raw,True,False,2,,,,False,unmapped
DSP_BFW_TO_ETH_raw,True,False,2,,,,False,unmapped
Deaerator_A_LPS_raw,True,False,1,,,,False,unmapped
Deaerator_B_LPS_raw,True,False,1,,,,False,unmapped
EG1_CLEAN_COND_TO_U_O_raw,True,False,3,,,,False,unmapped
EG1_DEG_production_flow,True,False,4,,,,False,unmapped
EG1_HEG_production_flow,True,False,4,,,,False,unmapped
EG1_MEG_production_flow,True,False,4,,,,False,unmapped
EG1_TEG_production_flow,True,False,4,,,,False,unmapped
EG1_suspect_COND_TO_U_O_raw,True,False,4,,,,False,unmapped
EG2_CLEAN_COND_TO_U_O_raw,True,False,3,,,,False,unmapped
EG2_DEG_production_flow,True,False,4,,,,False,unmapped
EG2_HEG_production_flow,True,False,4,,,,False,unmapped
EG2_MEG_production_flow,True,False,4,,,,False,unmapped
EG2_TEG_production_flow,True,False,4,,,,False,unmapped
EG2_suspect_COND_TO_U_O_raw,True,False,4,,,,False,unmapped
EG3_CLEAN_COND_TO_U_O_raw,True,False,3,,,,False,unmapped
EG3_DEG_production_flow,True,False,4,,,,False,unmapped
EG3_HEG_production_flow,True,False,4,,,,False,unmapped
EG3_MEG_production_flow,True,False,4,,,,False,unmapped
EG3_TEG_production_flow,True,False,4,,,,False,unmapped
EG3_suspect_COND_TO_U_O_raw,True,False,4,,,,False,unmapped
EOEG_1_MPS_Demand_raw,True,False,3,,,,False,unmapped
EOEG_2_MPS_Demand_raw,True,False,3,,,,False,unmapped
EOEG_3_MPS_Demand_raw,True,False,3,,,,False,unmapped
ETH_CLEAN_COND_TO_U_O_raw,True,False,3,,,,False,unmapped
ETH_LPS_Demand_raw,True,False,4,,,,False,unmapped
ETH_suspect_COND_TO_U_O_raw,True,False,4,,,,False,unmapped
FUEL_GAS_From_UO_to_ETH_raw,True,False,1,,,,False,unmapped
FUEL_GAS_From_UO_to_LAO_A,True,False,1,,,,False,unmapped
FUEL_GAS_From_UO_to_LAO_B,True,False,1,,,,False,unmapped
HP_Steam_Vent_Valve_PC7027_Opening_ETH,True,False,3,,,,False,unmapped
HP_Steam_from_CGC_Extraction,True,False,2,,,,False,unmapped
HP_to_LP_Let_Down_Valve_Opening_HC7262_ETH,True,False,3,,,,False,unmapped
HP_to_LP_Let_Down_Valve_Opening_PC7026_ETH,True,False,3,,,,False,unmapped
HP_to_MP_Letdown_Valve_Opening_PV0007A_UO,True,False,1,,,,False,unmapped
HP_to_MP_Letdown_Valve_Opening_PV0007B_UO,True,False,1,,,,False,unmapped
LAO_Load_raw,True,False,3,,,,False,unmapped
LHV,True,False,1,,,,False,unmapped
LP_Steam_Dumping_Valve_PC0024A_Opening_UO,True,False,3,,,,False,unmapped
MP_to_LP_Letdown_Valve_Opening_PV013A_UO,True,False,2,,,,False,unmapped
MP_to_LP_Letdown_Valve_Opening_PV013B_UO,True,False,2,,,,False,unmapped
MP_to_LP_Letdown_Valve_Opening_PV31_UO,True,False,2,,,,False,unmapped
MP_to_LP_Letdown_Valve_Opening_PV32_UO,True,False,2,,,,False,unmapped
PM7103F_CWP_MTR_BEARING,True,False,1,,,,False,unmapped
Polished_Condenstae_to_Deaerator,True,False,3,,,,False,unmapped
Quench_water_pump_turbine_Inlet_steam_flow,True,False,2,,,,False,unmapped
Regeneration_Gas_Heater_Level,True,False,3,,,,False,unmapped
Total_Ethylene_Production_ETH_Plant,True,False,2,,,,False,unmapped
UO_HP_MP_Desuperheater1_opening,True,False,1,,,,False,unmapped
VHP_DESPHTR_BFW_FROM_U_O,True,False,1,,,,False,unmapped
VHP_Steam_Pressure,True,False,0,,,,False,unmapped
VHP_to_HP_Let_Down_Valve_Opening_PX7024A_ETH,True,False,3,,,,False,unmapped
VHP_to_HP_Let_Down_Valve_Opening_PX7024B_ETH,True,False,3,,,,False,unmapped
