pi_tag,element_path,attribute_name,uom,flag_sip,sip_min_pct,sip_max_pct
UN.UO.86XI6024.PV,Steam Network 1,Ambient Temperature,degC,,,
UN.UO.86XI6025.PV,Steam Network 1,Relative Humidity,,,,
UN.ETH.17PC7032.PV,Steam Network 1 > VHP Steam HeaderA,Steam Pressure,bar,,,
UN.ETH.12TI2107.PV,Steam Network 1 > VHP Steam HeaderA,Steam Temperature,degC,,,
UN.ETH.11FI1029AA.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerA,Fuel Gas Flow,metric_ton/h,,,
UN.ETH.11TI1011A.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerA,Stack Temperature,degC,,,
UN.ETH.11FI1031A.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerA,Steam Generation Flow,metric_ton/h,,,
UN.ETH.11PI1688A.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerA,Steam Outlet Pressure,bar,,,
UN.ETH.11TC1017A.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerA,Steam Outlet Temperature,degC,,,
UN.ETH.11FI1029BA.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerB,Fuel Gas Flow,metric_ton/h,,,
UN.ETH.11TI1011B.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerB,Stack Temperature,degC,,,
UN.ETH.11FI1031B.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerB,Steam Generation Flow,metric_ton/h,,,
UN.ETH.11PI1688B.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerB,Steam Outlet Pressure,bar,,,
UN.ETH.11TC1017B.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerB,Steam Outlet Temperature,degC,,,
UN.ETH.11FI1029CA.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerC,Fuel Gas Flow,metric_ton/h,,,
UN.ETH.11TI1011C.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerC,Stack Temperature,degC,,,
UN.ETH.11FI1031C.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerC,Steam Generation Flow,metric_ton/h,,,
UN.ETH.11PI1688C.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerC,Steam Outlet Pressure,bar,,,
UN.ETH.11TC1017D.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerC,Steam Outlet Temperature,degC,,,
UN.ETH.11FI1029DA.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerD,Fuel Gas Flow,metric_ton/h,,,
UN.ETH.11TI1011D.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerD,Stack Temperature,degC,,,
UN.ETH.11FI1031D.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerD,Steam Generation Flow,metric_ton/h,,,
UN.ETH.11PI1688D.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerD,Steam Outlet Pressure,bar,,,
UN.ETH.11TC1017D.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerD,Steam Outlet Temperature,degC,,,
UN.ETH.11FI1029EA.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerE,Fuel Gas Flow,metric_ton/h,,,
UN.ETH.11TI1011E.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerE,Stack Temperature,degC,,,
UN.ETH.11FI1031E.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerE,Steam Generation Flow,metric_ton/h,,,
UN.ETH.11PI1688E.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerE,Steam Outlet Pressure,bar,,,
UN.ETH.11TC1017E.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerE,Steam Outlet Temperature,degC,,,
UN.ETH.11FI1029FA.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerF,Fuel Gas Flow,metric_ton/h,,,
UN.ETH.11TI1011F.PV,Steam Network 1 > VHP Steam HeaderA > VHP Steam GeneratorA > VHP Waste Heat BoilerF,Stack Temperature,degC,,,
