tag_name,role,formula,lower_bound,upper_bound,flag_integer,equipment_category,equipment_id,uom,active_flag
BFW_A_Motor_Power,decision_variable,[BFW_A_Motor_Status]*([BFW_A_Motor_Power_cons]-[BFW_A_Motor_Power_Imbalance]),0,2,0,bfw_system,,KW,1
BFW_A_Motor_Power_Imbalance,decision_variable,[BFW_A_Motor_Status]*([BFW_A_Motor_Power_Regression]-((-0.0016*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_A_Motor_Status])))**2+ 1.8045*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_A_Motor_Status]))) + 401.61)/1000)/0.95),-5,5,0,bfw_system,,MT/ HR,1
BFW_A_Motor_Power_Regression,parameter,((-0.0016*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+1.8045*([BFW_Flow_Consumption]/[BFW_Drives_Running])+401.61)/1000)/0.95,,,,bfw_system,,$/ MT,1
BFW_A_Motor_Power_cons,parameter,"if([BFW_A_Motor_Status]==1,[BFW_A_Motor_Power],[BFW_A_Motor_Power_Regression])",,,,bfw_system,,-,1
BFW_A_Motor_Status,decision_variable,,"if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_A_Motor_Status],0),0)","if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_A_Motor_Status],if([BFW_A_Motor_Status]==1,1,if(max((1-[BFW_A_Motor_Status])*80 , (1-[BFW_D_Motor_Status])*75 , (1-[BFW_F_Motor_Status])*70) == 80,1,0))),1)",1,bfw_system,,GJ/ HR,1
BFW_B_Turb_Status,decision_variable,,"if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_B_Turb_Status],0),0)","if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_B_Turb_Status],1),1)",1,turbine,BFW_B_Turb,MT/ HR,1
BFW_B_Turb_Steam,decision_variable,[BFW_B_Turb_Status]*([BFW_B_Turb_Steam_cons]-[BFW_B_Turb_Steam_Imbalance]) + (1-[BFW_B_Turb_Status])*[BFW_B_Turb_Steam_warmup],0,20,0,turbine,BFW_B_Turb,MT/ HR,1
BFW_B_Turb_Steam_Imbalance,decision_variable,[BFW_B_Turb_Status]*([BFW_B_Turb_Steam_Regression]-((-0.0233*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_B_Turb_Status])))**2 + 26.665*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_B_Turb_Status]))) + 10505)/1000)),-5,5,0,turbine,BFW_B_Turb,MT/ HR,1
BFW_B_Turb_Steam_Regression,parameter,((-0.0233*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+26.665*([BFW_Flow_Consumption]/[BFW_Drives_Running])+10505)/1000),,,,turbine,BFW_B_Turb,%,1
BFW_B_Turb_Steam_cons,raw_pi_input,,,,,turbine,BFW_B_Turb,-,1
BFW_B_Turb_Steam_raw,raw_pi_input,,,,,turbine,BFW_B_Turb,KG/ HR,1
BFW_B_Turb_Steam_warmup,parameter,"if([BFW_B_Turb_Steam_raw]>100 && [BFW_B_Turb_Steam_raw]<8000 && [BFW_B_Turb_Status]==0,[BFW_B_Turb_Steam_raw]/1000,0)",,,,turbine,BFW_B_Turb,,1
BFW_C_Turb_Status,decision_variable,,"if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_C_Turb_Status],0),0)","if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_C_Turb_Status],1),1)",1,turbine,BFW_C_Turb,Number,1
BFW_C_Turb_Steam,decision_variable,[BFW_C_Turb_Status]*([BFW_C_Turb_Steam_cons]-[BFW_C_Turb_Steam_Imbalance]) + (1-[BFW_C_Turb_Status])*[BFW_C_Turb_Steam_warmup],0,20,0,turbine,BFW_C_Turb,MT/ HR,1
BFW_C_Turb_Steam_Imbalance,decision_variable,[BFW_C_Turb_Status]*([BFW_C_Turb_Steam_Regression]-((-0.0233*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_C_Turb_Status])))**2 + 26.665*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_C_Turb_Status]))) + 10505)/1000)),-5,5,0,turbine,BFW_C_Turb,MT/ HR,1
BFW_C_Turb_Steam_Regression,parameter,((-0.0233*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+26.665*([BFW_Flow_Consumption]/[BFW_Drives_Running])+10505)/1000),,,,turbine,BFW_C_Turb,%,1
BFW_C_Turb_Steam_cons,raw_pi_input,,,,,turbine,BFW_C_Turb,-,1
BFW_C_Turb_Steam_raw,raw_pi_input,,,,,turbine,BFW_C_Turb,KG/ HR,1
BFW_C_Turb_Steam_warmup,parameter,"if([BFW_C_Turb_Steam_raw]>100 && [BFW_C_Turb_Steam_raw]<8000 && [BFW_C_Turb_Status]==0,[BFW_C_Turb_Steam_raw]/1000,0)",,,,turbine,BFW_C_Turb,,1
BFW_D_Motor_Power,decision_variable,[BFW_D_Motor_Status]*([BFW_D_Motor_Power_cons]-[BFW_D_Motor_Power_Imbalance]),0,2,0,bfw_system,,KW,1
BFW_D_Motor_Power_Imbalance,decision_variable,[BFW_D_Motor_Status]*([BFW_D_Motor_Power_Regression]-((-0.0016*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_D_Motor_Status])))**2+ 1.8045*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_D_Motor_Status]))) + 401.61)/1000)/0.95),-5,5,0,bfw_system,,MT/ HR,1
BFW_D_Motor_Power_Regression,parameter,((-0.0016*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+1.8045*([BFW_Flow_Consumption]/[BFW_Drives_Running])+401.61)/1000)/0.95,,,,bfw_system,,%,1
BFW_D_Motor_Power_cons,parameter,"if([BFW_D_Motor_Status]==1,[BFW_D_Motor_Power],[BFW_D_Motor_Power_Regression])",,,,bfw_system,,-,1
BFW_D_Motor_Status,decision_variable,,"if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_D_Motor_Status],0),0)","if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_D_Motor_Status],if([BFW_D_Motor_Status]==1,1,if(max((1-[BFW_A_Motor_Status])*80 , (1-[BFW_D_Motor_Status])*75 , (1-[BFW_F_Motor_Status])*70) == 75,1,0))),1)",1,bfw_system,,Number,1
BFW_Drives_Running,decision_variable,[BFW_A_Motor_Status]+ [BFW_B_Turb_Status] + [BFW_C_Turb_Status] + [BFW_D_Motor_Status] + [BFW_E_Turb_Status] + [BFW_F_Motor_Status],"if([Whatif_running]==0,[BFW_Drives_Running],[BFW_Drives_Running])","if([Whatif_running]==0,[BFW_Drives_Running],[BFW_Drives_Running])",1,bfw_system,,KW,1
BFW_E_Turb_Status,decision_variable,,"if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_E_Turb_Status],0),0)","if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_E_Turb_Status],1),1)",1,turbine,BFW_E_Turb,Number,1
BFW_E_Turb_Steam,decision_variable,[BFW_E_Turb_Status]*([BFW_E_Turb_Steam_cons]-[BFW_E_Turb_Steam_Imbalance]) + (1-[BFW_E_Turb_Status])*[BFW_E_Turb_Steam_warmup],0,20,0,turbine,BFW_E_Turb,MT/ HR,1
BFW_E_Turb_Steam_Imbalance,decision_variable,[BFW_E_Turb_Status]*([BFW_E_Turb_Steam_Regression]-((-0.0233*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_E_Turb_Status])))**2 + 26.665*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_E_Turb_Status]))) + 10505)/1000)),-5,5,0,turbine,BFW_E_Turb,GJ/ HR,1
BFW_E_Turb_Steam_Regression,parameter,((-0.0233*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+26.665*([BFW_Flow_Consumption]/[BFW_Drives_Running])+10505)/1000),,,,turbine,BFW_E_Turb,MT/ HR,1
BFW_E_Turb_Steam_cons,raw_pi_input,,,,,turbine,BFW_E_Turb,-,1
BFW_E_Turb_Steam_raw,raw_pi_input,,,,,turbine,BFW_E_Turb,KG/ HR,1
BFW_E_Turb_Steam_warmup,parameter,"if([BFW_E_Turb_Steam_raw]>100 && [BFW_E_Turb_Steam_raw]<8000 && [BFW_E_Turb_Status]==0,[BFW_E_Turb_Steam_raw]/1000,0)",,,,turbine,BFW_E_Turb,,1
BFW_F_Motor_Power,decision_variable,[BFW_F_Motor_Status]*([BFW_F_Motor_Power_cons]-[BFW_F_Motor_Power_Imbalance]),0,2,0,bfw_system,,MW,1
BFW_F_Motor_Power_Imbalance,decision_variable,[BFW_F_Motor_Status]*([BFW_F_Motor_Power_Regression]-((-0.0016*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_F_Motor_Status])))**2+ 1.8045*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_F_Motor_Status]))) + 401.61)/1000)/0.95),-5,5,0,bfw_system,,$/ HR,1
BFW_F_Motor_Power_Regression,parameter,((-0.0016*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+1.8045*([BFW_Flow_Consumption]/[BFW_Drives_Running])+401.61)/1000)/0.95,,,,bfw_system,,MT/ HR,1
BFW_F_Motor_Power_cons,parameter,"if([BFW_F_Motor_Status]==1,[BFW_F_Motor_Power],[BFW_F_Motor_Power_Regression])",,,,bfw_system,,-,1
BFW_F_Motor_Status,decision_variable,,"if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_F_Motor_Status],0),0)","if([Whatif_running]==0,if(([LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO])<10,[BFW_F_Motor_Status],if([BFW_F_Motor_Status]==1,1,if(max((1-[BFW_A_Motor_Status])*80 , (1-[BFW_D_Motor_Status])*75 , (1-[BFW_F_Motor_Status])*70) == 70,1,0))),1)",1,bfw_system,,Number,1
