tag_name,role,formula,lower_bound,upper_bound,flag_integer,equipment_category,equipment_id,uom,active_flag
AC_A_Flow_To_Header,post_optimizer,"if([Air_Compressor_Turbine_A_Status]==0,0,[Total_Air_Demand]/[Air_Compressor_Drives_Running])",,,,system,,MT/ HR,1
AC_A_Max_Alloc,post_optimizer,[act_AIR_COMPRESSOR_A_Vent_flow]*[Air_Compressor_Turbine_A_Status],,,,system,,°C,1
AC_B_Flow_To_Header,post_optimizer,"if([Air_Compressor_Motor_B_Status]==0,0,[Total_Air_Demand]/[Air_Compressor_Drives_Running])",,,,system,,MT/ HR,1
AC_B_Max_Alloc,post_optimizer,[act_AIR_COMPRESSOR_B_Vent_flow]*[Air_Compressor_Motor_B_Status],,,,system,,°C,1
AC_C_Flow_To_Header,post_optimizer,"if([Air_Compressor_Motor_C_Status]==0,0,[Total_Air_Demand]/[Air_Compressor_Drives_Running])",,,,system,,MT/ HR,1
AC_C_Max_Alloc,post_optimizer,[act_AIR_COMPRESSOR_C_Vent_flow]*[Air_Compressor_Motor_C_Status],,,,system,,$/ HR,1
AC_D_Flow_To_Header,post_optimizer,"if([Air_Compressor_Turbine_D_Status]==0,0,[Total_Air_Demand]/[Air_Compressor_Drives_Running])",,,,system,,MT/ HR,1
AC_D_Max_Alloc,post_optimizer,[act_AIR_COMPRESSOR_D_Vent_flow]*[Air_Compressor_Turbine_D_Status],,,,system,,-,1
AC_total_Max_Alloc,post_optimizer,[AC_A_Max_Alloc]+[AC_B_Max_Alloc]+[AC_C_Max_Alloc]+[AC_D_Max_Alloc],,,,system,,-,1
AIR_COMPRESSOR_A_Vent_flow,post_optimizer,"if([AC_total_Max_Alloc]==0,0,[AC_A_Max_Alloc]*[Total_air_vent]/[AC_total_Max_Alloc])",,,,air_compressor,,%,1
AIR_COMPRESSOR_B_Vent_flow,post_optimizer,"if([AC_total_Max_Alloc]==0,0,[AC_B_Max_Alloc]*[Total_air_vent]/[AC_total_Max_Alloc])",,,,air_compressor,,%,1
AIR_COMPRESSOR_C_Vent_flow,post_optimizer,"if([AC_total_Max_Alloc]==0,0,[AC_C_Max_Alloc]*[Total_air_vent]/[AC_total_Max_Alloc])",,,,air_compressor,,%,1
AIR_COMPRESSOR_D_Vent_flow,post_optimizer,"if([AC_total_Max_Alloc]==0,0,[AC_D_Max_Alloc]*[Total_air_vent]/[AC_total_Max_Alloc])",,,,air_compressor,,%,1
Air_Compressor_A_Rated_Flow,parameter,15.435,,,,air_compressor,,MT/ HR,1
Air_Compressor_B_Rated_Flow,parameter,15.435,,,,air_compressor,,MT/ HR,1
Air_Compressor_C_Rated_Flow,parameter,11.27,,,,air_compressor,,MT/ HR,1
Air_Compressor_D_Rated_Flow,parameter,11.27,,,,air_compressor,,MT/ HR,1
Air_Compressor_Drives_Running,decision_variable,[Air_Compressor_Turbine_A_Status]+[Air_Compressor_Turbine_D_Status]+[Air_Compressor_Motor_C_Status]+[Air_Compressor_Motor_B_Status],"if([Whatif_running]==0,if(([Total_Air_Demand]+ [Buffer_in_Air_Flow_Margin])>28,min([Air_Compressor_Drives_Running],3),2),0)","if([Whatif_running]==0,if(([Total_Air_Demand]+ [Buffer_in_Air_Flow_Margin])>28,min([Air_Compressor_Drives_Running],3),2),4)",1,air_compressor,,Number,1
Air_Compressor_Motor_B_Power,decision_variable,[Air_Compressor_Motor_B_Status]*([act_Air_Compressor_Motor_B_Status]*[Air_Compressor_Motor_B_Power_param]*(1-[Air_Compressor_Motor_B_Power_Imbalance])+(1-[act_Air_Compressor_Motor_B_Status])*((0.0930*([Air_compressor_B_Discharge_flow]))/0.9)),0,3,0,air_compressor,,MW,1
Air_Compressor_Motor_B_Power_Imbalance,decision_variable,[Air_Compressor_Motor_B_Status]*([Air_Compressor_Motor_B_Power_Regression]-((0.0930*([Air_compressor_B_Discharge_flow]))/0.9))/((0.0930*([Air_compressor_B_Discharge_flow]+(1-[Air_Compressor_Motor_B_Status])))/0.9),-100,100,0,air_compressor,,Number,1
Air_Compressor_Motor_B_Power_Regression,parameter,(0.0930*([Air_compressor_B_Discharge_flow])/0.9),,,,air_compressor,,BARG,1
Air_Compressor_Motor_B_Power_param,parameter,[Air_Compressor_Motor_B_Power],,,,air_compressor,,%,1
Air_Compressor_Motor_B_Status,decision_variable,,0,1,1,air_compressor,,Number,1
Air_Compressor_Motor_C_Power,decision_variable,[Air_Compressor_Motor_C_Status]*([act_Air_Compressor_Motor_C_Status]*[Air_Compressor_Motor_C_Power_param]*(1-[Air_Compressor_Motor_C_Power_Imbalance])+(1-[act_Air_Compressor_Motor_C_Status])*((0.0896*([Air_compressor_C_Discharge_flow]))/0.9)),0,3,0,air_compressor,,MW,1
Air_Compressor_Motor_C_Power_Imbalance,decision_variable,[Air_Compressor_Motor_C_Status]*([Air_Compressor_Motor_C_Power_Regression]-((0.0896*([Air_compressor_C_Discharge_flow]))/0.9))/((0.0896*([Air_compressor_C_Discharge_flow]+(1-[Air_Compressor_Motor_C_Status])))/0.9),-100,100,0,air_compressor,,°C,1
Air_Compressor_Motor_C_Power_Regression,parameter,(0.0896*([Air_compressor_C_Discharge_flow])/0.9),,,,air_compressor,,,1
Air_Compressor_Motor_C_Power_param,parameter,[Air_Compressor_Motor_C_Power],,,,air_compressor,,%,1
Air_Compressor_Motor_C_Status,decision_variable,,0,1,1,air_compressor,,Number,1
Air_Compressor_Motors_Running,decision_variable,[Air_Compressor_Motor_B_Status]+[Air_Compressor_Motor_C_Status],"if([Whatif_running]==0,0,0)",2,1,air_compressor,,MT/ HR,1
Air_Compressor_Turbine_A_Status,decision_variable,,0,"if([Whatif_running]==0,[Air_Compressor_Turbine_A_Status],1)",1,turbine,,Number,1
Air_Compressor_Turbine_A_Steam,decision_variable,[Air_Compressor_Turbine_A_Status]*([act_Air_Compressor_Turbine_A_Status]*[Air_Compressor_Turbine_A_Steam_param]*(1-[Air_Compressor_Turbine_A_Steam_Imbalance])+(1-[act_Air_Compressor_Turbine_A_Status])*((14.691*([Air_compressor_A_Discharge_flow])*89.55 + 5079)/0.9/1000)) + (1-[Air_Compressor_Turbine_A_Status])*[Air_Compressor_Turbine_A_Steam_warmup],0,40,0,turbine,,MT/ HR,1
