=== SHEET: derived_equations ===
Shape: 117 rows x 4 columns

COLUMN HEADERS:
  [0] 'tag_name'
  [1] 'formula_expression'
  [2] 'active'
  [3] 'source_flag'

ALL ROWS:
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0] tag_name: FD_Fan_BLR_1_Steam | formula_expression: (1-[FDF_A_Motor_Status])*[BLR_1_Status]*(([FD_Fan_BLR_1_Steam_raw]/1000)-([FD_Fan_BLR_1_Steam_reg]-((0.4255*[BLR_1_HPS_Gen]**2 - 32.667*[BLR_1_HPS_Gen] + 4378.1)/1000)))+(1-[BLR_1_Status])*(1-[FDF_A_Motor_Status])*[FD_Fan_BLR_1_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[1] tag_name: BLR_1_HPS_Gen | formula_expression: [Fuel_BLR_1] * [LHV] / [Spec_En_Cons_BLR_1]*[BLR_1_Status] + (1-[BLR_1_Status])*[BLR_1_HPS_Gen_warmup] | active: 1 | source_flag: DB_ACTIVE
[2] tag_name: FD_Fan_BLR_2_Steam | formula_expression: (1-[FDF_B_Motor_Status])*[BLR_2_Status]*(([FD_Fan_BLR_2_Steam_raw]/1000)-([FD_Fan_BLR_2_Steam_reg]-((0.4601*[BLR_2_HPS_Gen]**2 - 39.276*[BLR_2_HPS_Gen] + 4711.7)/1000)))+(1-[BLR_2_Status])*(1-[FDF_B_Motor_Status])*[FD_Fan_BLR_2_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[3] tag_name: BLR_2_HPS_Gen | formula_expression: [Fuel_BLR_2] * [LHV] / [Spec_En_Cons_BLR_2]*[BLR_2_Status]+ (1-[BLR_2_Status])*[BLR_2_HPS_Gen_warmup] | active: 1 | source_flag: DB_ACTIVE
[4] tag_name: FD_Fan_BLR_3_Steam | formula_expression: [BLR_3_Status]*(([FD_Fan_BLR_3_Steam_raw]/1000)-([FD_Fan_BLR_3_Steam_reg]-((0.4481*[BLR_3_HPS_Gen]**2 - 35.004*[BLR_3_HPS_Gen] + 4701.3)/1000))) + (1-[BLR_3_Status])*[FD_Fan_BLR_3_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[5] tag_name: BLR_3_HPS_Gen | formula_expression: [Fuel_BLR_3] * [LHV] / [Spec_En_Cons_BLR_3]*[BLR_3_Status]+ (1-[BLR_3_Status])*[BLR_3_HPS_Gen_warmup] | active: 1 | source_flag: DB_ACTIVE
[6] tag_name: FD_Fan_BLR_4_Steam | formula_expression: [BLR_4_Status]*(([FD_Fan_BLR_4_Steam_raw]/1000)-([FD_Fan_BLR_4_Steam_reg]-((0.4828*[BLR_4_HPS_Gen]**2 - 46.088*[BLR_4_HPS_Gen] + 5015.5)/1000)))+ (1-[BLR_4_Status])*[FD_Fan_BLR_4_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[7] tag_name: BLR_4_HPS_Gen | formula_expression: [Fuel_BLR_4] * [LHV] / [Spec_En_Cons_BLR_4]*[BLR_4_Status]+ (1-[BLR_4_Status])*[BLR_4_HPS_Gen_warmup] | active: 1 | source_flag: DB_ACTIVE
[8] tag_name: FD_Fan_BLR_5_Steam | formula_expression: [BLR_5_Status]*(([FD_Fan_BLR_5_Steam_raw]/1000)-([FD_Fan_BLR_5_Steam_reg]-((0.0843*[BLR_5_HPS_Gen]**2 + 9.2624*[BLR_5_HPS_Gen] + 4772.4)/1000)))+ (1-[BLR_5_Status])*[FD_Fan_BLR_5_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[9] tag_name: BLR_5_HPS_Gen | formula_expression: [Fuel_BLR_5] * [LHV] / [Spec_En_Cons_BLR_5]*[BLR_5_Status] + (1-[BLR_5_Status])*[BLR_5_HPS_Gen_warmup] | active: 1 | source_flag: DB_ACTIVE
[10] tag_name: BFW_A_Motor_Power | formula_expression: [BFW_A_Motor_Status]*([BFW_A_Motor_Power_cons]-[BFW_A_Motor_Power_Imbalance]) | active: 1 | source_flag: DB_ACTIVE
