,tag_name,formula_expression,Category
0,Voltage_LP,4000,LP Steam Header
1,BFW_to_EOEG_3,"if([EOEG3_Plant_Status]==0,0,[BFW_to_EOEG_3_raw])",EG3 Plant
2,BLR_1_HPS_Gen,"if([BLR_1_HPS_Gen_raw]<0,0,[BLR_1_HPS_Gen_raw]/1000)",Boiler -- Steam Generation
3,BLR_2_HPS_Gen,"if([BLR_2_HPS_Gen_raw]<0,0,[BLR_2_HPS_Gen_raw]/1000)",Boiler -- Steam Generation
4,BLR_3_HPS_Gen,"if([BLR_3_HPS_Gen_raw]<0,0,[BLR_3_HPS_Gen_raw]/1000)",Boiler -- Steam Generation
5,BLR_4_HPS_Gen,"if([BLR_4_HPS_Gen_raw]<0,0,[BLR_4_HPS_Gen_raw]/1000)",Boiler -- Steam Generation
6,BLR_5_HPS_Gen,"if([BLR_5_HPS_Gen_raw]<0,0,[BLR_5_HPS_Gen_raw]/1000)",Boiler -- Steam Generation
7,BFW_B_Turb_Steam,"if([BFW_B_Turb_Steam_raw]<100,0,[BFW_B_Turb_Steam_raw]/1000)",Steam Turbine
8,BFW_C_Turb_Steam,"if([BFW_C_Turb_Steam_raw]<100,0,[BFW_C_Turb_Steam_raw]/1000)",Steam Turbine
9,BFW_E_Turb_Steam,"if([BFW_E_Turb_Steam_raw]<100,0,[BFW_E_Turb_Steam_raw]/1000)",Steam Turbine
10,FD_Fan_BLR_1_Steam,"if([FD_Fan_BLR_1_Steam_raw]<500,0,[FD_Fan_BLR_1_Steam_raw]/1000)",Boiler -- Air System
11,FD_Fan_BLR_2_Steam,"if([FD_Fan_BLR_2_Steam_raw]<500,0,[FD_Fan_BLR_2_Steam_raw]/1000)",Boiler -- Air System
12,FD_Fan_BLR_3_Steam,"if([FD_Fan_BLR_3_Steam_raw]<500,0,[FD_Fan_BLR_3_Steam_raw]/1000)",Boiler -- Air System
13,FD_Fan_BLR_4_Steam,"if([FD_Fan_BLR_4_Steam_raw]<500,0,[FD_Fan_BLR_4_Steam_raw]/1000)",Boiler -- Air System
14,FD_Fan_BLR_5_Steam,"if([FD_Fan_BLR_5_Steam_raw]<500,0,[FD_Fan_BLR_5_Steam_raw]/1000)",Boiler -- Air System
15,VHP_BFW_B_Turb_Steam,"if([VHP_BFW_B_Turb_Steam_raw]<100,0,[VHP_BFW_B_Turb_Steam_raw]/1000)",VHP Steam Header
16,VHP_BFW_C_Turb_Steam,"if([VHP_BFW_C_Turb_Steam_raw]<100,0,[VHP_BFW_C_Turb_Steam_raw]/1000)",VHP Steam Header
17,Air_Compressor_Turbine_A_Steam,"if([Air_Compressor_Turbine_A_Steam_raw]<100,0,[Air_Compressor_Turbine_A_Steam_raw]/1000)",Steam Turbine
18,Air_Compressor_Turbine_D_Steam,"if([Air_Compressor_Turbine_D_Steam_raw]<100,0,[Air_Compressor_Turbine_D_Steam_raw]/1000)",Steam Turbine
19,DMW_Turbine_A_Steam,"if([DMW_Turbine_A_Steam_raw]<100,0,[DMW_Turbine_A_Steam_raw]/1000)",Steam Turbine
20,DMW_Turbine_C_Steam,"if([DMW_Turbine_C_Steam_raw]<100,0,[DMW_Turbine_C_Steam_raw]/1000)",Steam Turbine
21,Deaerator_A_LPS,[Deaerator_A_LPS_raw]/1000,Deaerator
22,Deaerator_B_LPS,[Deaerator_B_LPS_raw]/1000,Deaerator
23,BFW_TO_LAO,"if([LAO_Plant_Status]==0,0,[BFW_TO_LAO_raw]/1000)",Boiler -- BFW System
24,DSP_BFW_TO_CAUSTIC_DILUTION,[DSP_BFW_TO_CAUSTIC_DILUTION_raw]/1000,Boiler -- BFW System
25,Condensate_From_P_7106_to_Deaerator_Header,[LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[Boiler_CBD]+[Condensate_from_Traps],Steam Turbine
26,BFW_pump_Rated_Flow,336,Boiler -- BFW System
27,VHP_pump_Rated_Flow,326,VHP Steam Header
28,Air_Compressor_A_Rated_Flow,15.435,Plant / Instrument Air
29,Air_Compressor_B_Rated_Flow,15.435,Plant / Instrument Air
30,Air_Compressor_C_Rated_Flow,11.27,Plant / Instrument Air
31,Air_Compressor_D_Rated_Flow,11.27,Plant / Instrument Air
32,CW_Pump_Rated_Flow,12326,Cooling Water
33,DMW_Pump_Rated_Flow,350,Demin / Treated Water
34,power_factor,0.9,Power & Electrical
35,BFW_to_MP_to_LP_Letdown_Flow_In,0,Letdown / Desuperheater
36,VHP_Steam_Enthalpy,(-2.4610118074113*[VHP_Steam_Pressure]+3.35070975622248*[VHP_Steam_Temperature]+2008.00318529056)/4.184,VHP Steam Header
37,Power_Rate,13.334000,Power & Electrical
38,Fuel_Rate,2.040000,Boiler -- Combustion & Fuel
39,DMW_Rate,1.957333,Demin / Treated Water
40,EG1_EOE,"(max(0,[EG1_MEG_production_flow]*0.71)+max(0,[EG1_DEG_production_flow]*0.83)+max(0,([EG1_TEG_production_flow]/1000*0.88))+max(0,([EG1_HEG_production_flow]/1000*0.91)))",EG1 Plant
41,EG2_EOE,"(max(0,[EG2_MEG_production_flow]*0.71)+max(0,[EG2_DEG_production_flow]*0.83)+max(0,([EG2_TEG_production_flow]/1000*0.88))+max(0,([EG2_HEG_production_flow]/1000*0.91)))",EG2 Plant
42,EG3_EOE,"(max(0,[EG3_MEG_production_flow]*0.71)+max(0,[EG3_DEG_production_flow]*0.83)+max(0,([EG3_TEG_production_flow]/1000*0.88))+max(0,([EG3_HEG_production_flow]/1000*0.91)))",EG3 Plant
43,Total_Products,[EG1_EOE]+[EG2_EOE]+[EG3_EOE]+[Total_Ethylene_Production_ETH_Plant],Energy KPI / Imbalance
44,Return_Condensate,([ETH_CLEAN_COND_TO_U_O]+[ETH_suspect_COND_TO_U_O_corrected])*[Condensate_Recovery_Ratio_ETH]+[EG1_CLEAN_COND_TO_U_O]+[EG2_CLEAN_COND_TO_U_O]+[EG3_CLEAN_COND_TO_U_O]+[EG1_suspect_COND_TO_U_O_corrected]+[EG2_suspect_COND_TO_U_O_corrected]+[EG3_suspect_COND_TO_U_O_corrected],Steam Turbine
45,VHP_BFW_to_ETH,"if([ETH_Plant_Status]==0,0,([VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O]))",VHP Steam Header
46,Total_Fuel_for_Boilers,([Fuel_BLR_1]+[Fuel_BLR_2]+[Fuel_BLR_3]+[Fuel_BLR_4]+[Fuel_BLR_5]),Boiler -- Performance & Energy
47,Fuel_Demand_in_Energy_in_GJ_Hr,[Total_Fuel_for_Boilers_corrected]*([LHV]),Boiler -- Combustion & Fuel
48,Total_BLR_HPS_Generation,([BLR_1_HPS_Gen]+[BLR_2_HPS_Gen]+[BLR_3_HPS_Gen]+[BLR_4_HPS_Gen]+[BLR_5_HPS_Gen]),Energy KPI / Imbalance
49,BFW_A_Motor_Status,"if(([BFW_A_AMPS]>60)||([BFW_A_Vibrations]>10)||([BFW_A_Bearing_temp]>60),1,0)",Boiler -- BFW System
50,BFW_B_Turb_Status,"if(([BFW_B_Turb_Steam_raw]/1000)>8,1,0)",Boiler -- BFW System
51,BFW_C_Turb_Status,"if(([BFW_C_Turb_Steam_raw]/1000)>8,1,0)",Boiler -- BFW System
52,BFW_D_Motor_Status,"if(([BFW_D_AMPS]>60)||([BFW_D_Vibrations]>10)||([BFW_D_Bearing_temp]>60),1,0)",Boiler -- BFW System
53,BFW_E_Turb_Status,"if(([BFW_E_Turb_Steam_raw]/1000)>8,1,0)",Boiler -- BFW System
54,BFW_F_Motor_Status,"if(([PM7103F_CWP_MTR_BEARING])>50,1,0)",Boiler -- BFW System
55,VHP_BFW_B_Turb_Status,"if((([VHP_BFW_B_Turb_Steam_raw]/1000))>16||([VHP_BFW_B_Discharge_flow]>150000),1,0)",VHP Steam Header
56,VHP_BFW_C_Turb_Status,"if((([VHP_BFW_C_Turb_Steam_raw]/1000))>16||([VHP_BFW_C_Discharge_flow]>150000),1,0)",VHP Steam Header
57,VHP_BFW_A_Motor_Status,"if(([VHP_BFW_A_AMPS])>150||([VHP_BFW_A_Discharge_flow]>150000)||([VHP_BFW_A_Vibration]>2),1,0)",VHP Steam Header
58,CW_Turbine_A_Status,"if(([CW_Turbine_A_Steam])>16||([CW_Turbine_A_RPM])>2100,1,0)",Steam Turbine
59,CW_Turbine_B_Status,"if(([CW_Turbine_B_Steam])>16||([CW_Turbine_B_RPM])>2100,1,0)",Steam Turbine
60,CW_Motor_C_Status,"if(([PM7801C_CWP_MTR_BEARING])>50||([CW_Motor_C_Winding_temp])>50,1,0)",Cooling Water
61,CW_Motor_D_Status,"if(([PM7801D_CWP_MTR_BEARING])>50||([CW_Motor_D_Winding_temp])>50,1,0)",Cooling Water
62,CW_Motor_E_Status,"if(([PM7801E_CWP_MTR_BEARING])>50||([CW_Motor_E_Winding_temp])>50,1,0)",Cooling Water
63,CW_Motor_F_Status,"if(([PM7801F_CWP_MTR_BEARING])>50||([CW_Motor_F_Winding_temp])>50,1,0)",Cooling Water
64,CW_Turbine_G_Status,"if(([CW_Turbine_G_Steam])>16||([CW_Turbine_G_RPM])>2100,1,0)",Steam Turbine
65,Air_Compressor_Turbine_A_Status,"if(([Air_Compressor_Turbine_A_Steam_raw]/1000)>12.5||([Air_Compressor_Turbine_A_RPM])>1750,1,0)",Steam Turbine
66,Air_Compressor_Turbine_D_Status,"if(([Air_Compressor_Turbine_D_Steam_raw]/1000)>12.5||([Air_Compressor_Turbine_D_RPM])>1750,1,0)",Steam Turbine
67,Air_Compressor_Motor_B_Status,"if([Air_Compressor_B_Discharge_Pressure]>4,1,0)",Plant / Instrument Air
68,Air_Compressor_Motor_C_Status,"if([Air_Compressor_C_Discharge_Pressure]>4,1,0)",Plant / Instrument Air
