cause_id,cause_name,cause_description,cause_expression,message_info_id,monitoring_tag_id,active,opportunity_tag_id
1,Boiler_1_Load,Boiler 1 Load,"If((BLR_1_HPS_Gen_Actual-BLR_1_HPS_Gen_Optimum) - 5 > 0,1,0)",1,178,0,NULL
2,Boiler_2_Load,Boiler 2 Load,"If((BLR_2_HPS_Gen_Actual-BLR_2_HPS_Gen_Optimum) - 5 > 0,1,0)",2,179,0,NULL
3,Boiler_3_Load,Boiler 3 Load,"If((BLR_3_HPS_Gen_Actual-BLR_3_HPS_Gen_Optimum) - 5 > 0,1,0)",3,180,0,NULL
4,Boiler_4_Load,Boiler 4 Load,"If((BLR_4_HPS_Gen_Actual-BLR_4_HPS_Gen_Optimum) - 5 > 0,1,0)",4,181,0,NULL
5,Boiler_5_Load,Boiler 5 Load,"If((BLR_5_HPS_Gen_Actual-BLR_5_HPS_Gen_Optimum) - 5 > 0,1,0)",5,182,0,NULL
8,BFW_A_Motor_Run_Status,BFW A Motor Status,"if([BFW_A_Motor_Status_actual] == [BFW_A_Motor_Status_optimum],0,if([BFW_A_Motor_Status_actual]== 1,1,0))",11,230,0,NULL
9,BFW_B_Turb_Run_Status,BFW B Turbine Status,"if([BFW_B_Turb_Status_actual] == [BFW_B_Turb_Status_optimum],0,if([BFW_B_Turb_Status_actual] ==1,1,0))",12,231,0,NULL
10,BFW_C_Turb_Run_Status,BFW C Turbine Status,"if([BFW_C_Turb_Status_actual]==[BFW_C_Turb_Status_optimum],0,if([BFW_C_Turb_Status_actual]==1,1,0))",13,232,0,NULL
11,BFW_D_Motor_Run_Status,BFW D Motor Status,"if([BFW_D_Motor_Status_actual]==[BFW_D_Motor_Status_optimum],0,if([BFW_D_Motor_Status_actual]==1,1,0))",14,233,0,NULL
12,BFW_E_Turb_Run_Status,BFW E Turbine Status,"if([BFW_E_Turb_Status_actual]==[BFW_E_Turb_Status_optimum],0,if([BFW_E_Turb_Status_actual]==1,1,0))",15,234,0,NULL
13,BFW_F_Motor_Run_Status,BFW F Motor Status,"if([BFW_F_Motor_Status_actual]==[BFW_F_Motor_Status_optimum],0,if([BFW_F_Motor_Status_actual]==1,1,0))",16,235,0,NULL
14,BFW_A_Motor_Stop_Status,BFW A Motor Status,"if([BFW_A_Motor_Status_actual]==[BFW_A_Motor_Status_optimum],0,if([BFW_A_Motor_Status_actual]==1,0,1))",17,230,0,NULL
15,BFW_B_Turb_Stop_Status,BFW B Turbine Status,"if([BFW_B_Turb_Status_actual]==[BFW_B_Turb_Status_optimum],0,if([BFW_B_Turb_Status_actual]==1,0,1))",18,231,0,NULL
16,BFW_C_Turb_Stop_Status,BFW C Turbine Status,"if([BFW_C_Turb_Status_actual]==[BFW_C_Turb_Status_optimum],0,if([BFW_C_Turb_Status_actual]==1,0,1))",19,232,0,NULL
17,BFW_D_Motor_Stop_Status,BFW D Motor Status,"if([BFW_D_Motor_Status_actual]==[BFW_D_Motor_Status_optimum],0,if([BFW_D_Motor_Status_actual]==1,0,1))",20,233,0,NULL
18,BFW_E_Turb_Stop_Status,BFW E Turbine Status,"if([BFW_E_Turb_Status_actual]==[BFW_E_Turb_Status_optimum],0,if([BFW_E_Turb_Status_actual]==1,0,1))",21,234,0,NULL
19,BFW_F_Motor_Stop_Status,BFW F Motor Status,"if([BFW_F_Motor_Status_actual]==[BFW_F_Motor_Status_optimum],0,if([BFW_F_Motor_Status_actual]==1,0,1))",22,235,0,NULL
