derived_equation_post_optimizer_id,model_tag_id,formula_expression,active
1,4042,0,1
2,3332,"if([SEU_Enable]==0,1,0)",1
3,411,"if([LAO_Plant_Status]==0,0,round([FUEL_GAS_From_UO_to_LAO]-([FUEL_GAS_From_UO_to_LAO_delta]),3))",1
4,374,"if([ETH_Plant_Status]==0,0,round(([FUEL_GAS_From_UO_to_ETH]-[FUEL_GAS_From_UO_to_ETH_delta]),3))",1
5,4074,"[FUEL_GAS_From_UO_to_ETH] + [FUEL_GAS_From_UO_to_LAO] ",1
6,4075,[Fuel_Consumption_Plants_fixed]+[Fuel_Consumption_Plants_changes],1
7,2912,[EOEG3_Plant_Status]*[CW_Motor_7814A_Status],1
8,2913,[EOEG3_Plant_Status]*[CW_Motor_7814B_Status],1
9,2914,[EOEG3_Plant_Status]*[CW_Motor_7814C_Status],1
10,5088,[CW_Motor_7814A_Status]*2.55*0.9,1
11,5089,[CW_Motor_7814B_Status]*2.55*0.9,1
12,5090,[CW_Motor_7814C_Status]*2.55*0.9,1
13,2915,[CW_Motor_7814A_Status]+[CW_Motor_7814B_Status]+[CW_Motor_7814C_Status],1
14,2917,((-1017.6*[CW_Header_2_Pressure]*[CW_Header_2_Pressure]+8495.3*[CW_Header_2_Pressure]-1655)*[Total_CW_Motors_Header_2_Running])*[EOEG3_Plant_Status],1
15,3362,"if([Whatif_running]==0, if(([Sea_water_cond_CT_LIMS]<85000)&&([CW_Circuit_1_return_temp]<38), [act_Sea_water_makeup_CW]-500, [act_Sea_water_makeup_CW]) ,[act_Sea_water_makeup_CW]*([CW_Demand_Header_2]+[Total_CW_Demand])/[act_Total_CW_Demand_including_EG3])",1
16,4081,[Total_Power_for_Drives]+[Power_Consumption_Plant_U_O]+[CW_Motor_7814A_Power] +[CW_Motor_7814B_Power]+[CW_Motor_7814C_Power]+[Sea_CT_Fans_all]*[Sea_CT_Fan_power]/1000,1
17,403,[Power_Consumption_Plants]+[Power_Consumption_Plant_U_O],1
18,404,[Total_Power_Consumption_without_Drives] + [Total_Power_for_Drives],1
19,118,183.333-(sqrt(8.1796-0.0312*[HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO]))/0.0156,1
20,119,183.333-(sqrt(8.1796-0.0312*[HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO]))/0.0156,1
21,114,(sqrt(0.002209+0.0156*[MP_to_LP_Letdown_MPS_Flow_In_PV013A_UO])/0.0078)-6.02564,1
22,115,(sqrt(0.002209+0.0156*[MP_to_LP_Letdown_MPS_Flow_In_PV013B_UO])/0.0078)-6.02564,1
23,52,[Spec_En_Cons_BLR_1]*[BLR_1_Status],1
24,53,[Spec_En_Cons_BLR_2]*[BLR_2_Status],1
25,54,[Spec_En_Cons_BLR_3]*[BLR_3_Status],1
26,55,[Spec_En_Cons_BLR_4]*[BLR_4_Status],1
27,56,[Spec_En_Cons_BLR_5]*[BLR_5_Status],1
28,425,[Total_BLR_HPS_Generation]/0.99,1
29,197,[Deaerator_A_LPS_percent]*[Deaerator_LPS],1
30,198,[Deaerator_B_LPS_percent]*[Deaerator_LPS],1
31,30,[HP_Steam_Vent_valve_PV0012_Steam_flow_out_UO]/2.059,1
32,32,[LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]/0.724,1
33,116,[MP_to_LP_Letdown_MPS_Flow_In_PV31_UO]/0.677,1
34,117,[MP_to_LP_Letdown_MPS_Flow_In_PV32_UO]/0.677,1
35,31,[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO]/1.208,1
36,274,([Deaerator_A_LPS]*0.02),1
37,275,([Deaerator_B_LPS]*0.02),1
38,161,[Air_Compressor_Turbine_A_Status]*[Air_compressor_A_Discharge_flow],1
39,162,[Air_Compressor_Motor_B_Status]*[Air_compressor_B_Discharge_flow],1
40,163,[Air_Compressor_Motor_C_Status]*[Air_compressor_C_Discharge_flow],1
41,164,[Air_Compressor_Turbine_D_Status]*[Air_compressor_D_Discharge_flow],1
42,157,"if([Air_Compressor_Turbine_A_Status]==0,0,[Total_Air_Demand]/[Air_Compressor_Drives_Running])",1
43,158,"if([Air_Compressor_Motor_B_Status]==0,0,[Total_Air_Demand]/[Air_Compressor_Drives_Running])",1
44,159,"if([Air_Compressor_Motor_C_Status]==0,0,[Total_Air_Demand]/[Air_Compressor_Drives_Running])",1
45,160,"if([Air_Compressor_Turbine_D_Status]==0,0,[Total_Air_Demand]/[Air_Compressor_Drives_Running])",1
46,5574,[act_AIR_COMPRESSOR_A_Vent_flow]*[Air_Compressor_Turbine_A_Status],1
47,5575,[act_AIR_COMPRESSOR_B_Vent_flow]*[Air_Compressor_Motor_B_Status],1
48,5576,[act_AIR_COMPRESSOR_C_Vent_flow]*[Air_Compressor_Motor_C_Status],1
49,5577,[act_AIR_COMPRESSOR_D_Vent_flow]*[Air_Compressor_Turbine_D_Status],1
50,5578,[AC_A_Max_Alloc]+[AC_B_Max_Alloc]+[AC_C_Max_Alloc]+[AC_D_Max_Alloc],1
51,2790,"if([AC_total_Max_Alloc]==0,0,[AC_A_Max_Alloc]*[Total_air_vent]/[AC_total_Max_Alloc])",1
52,2791,"if([AC_total_Max_Alloc]==0,0,[AC_B_Max_Alloc]*[Total_air_vent]/[AC_total_Max_Alloc])",1
53,2792,"if([AC_total_Max_Alloc]==0,0,[AC_C_Max_Alloc]*[Total_air_vent]/[AC_total_Max_Alloc])",1
54,2793,"if([AC_total_Max_Alloc]==0,0,[AC_D_Max_Alloc]*[Total_air_vent]/[AC_total_Max_Alloc])",1
55,15,"if([EOEG1_Plant_Status]==0,0,if(([EOEG_1_MPS_Demand]-[EOEG_1_MPS_Demand_delta])<0,0,([EOEG_1_MPS_Demand]-[EOEG_1_MPS_Demand_delta])))",1
56,19,"if([EOEG1_Plant_Status]==0,0,if(([EOEG_1_LPS_Demand]-[EOEG_1_LPS_Demand_delta])<0,0,([EOEG_1_LPS_Demand]-[EOEG_1_LPS_Demand_delta])))",1
57,16,"if([EOEG2_Plant_Status]==0,0,if(([EOEG_2_MPS_Demand]-[EOEG_2_MPS_Demand_delta])<0,0,([EOEG_2_MPS_Demand]-[EOEG_2_MPS_Demand_delta])))",1
58,20,"if([EOEG2_Plant_Status]==0,0,if(([EOEG_2_LPS_Demand]-[EOEG_2_LPS_Demand_delta])<0,0,([EOEG_2_LPS_Demand]-[EOEG_2_LPS_Demand_delta])))",1
59,17,"if([EOEG3_Plant_Status]==0,0,if(([EOEG_3_MPS_Demand]-[EOEG_3_MPS_Demand_delta])<0,0,([EOEG_3_MPS_Demand]-[EOEG_3_MPS_Demand_delta])))",1
60,21,"if([EOEG3_Plant_Status]==0,0,if(([EOEG_3_LPS_Demand]-[EOEG_3_LPS_Demand_delta])<0,0,([EOEG_3_LPS_Demand]-[EOEG_3_LPS_Demand_delta])))",1
61,2490,"if([ETH_Plant_Status]==0,0,if(([ETH_HPS_Demand]-([ETH_HPS_Demand_delta]))<0,0,([ETH_HPS_Demand]-([ETH_HPS_Demand_delta]))))",1
62,18,"if([ETH_Plant_Status]==0,0,if(([ETH_LPS_Demand]-([ETH_LPS_Demand_delta]))<0,0,([ETH_LPS_Demand]-([ETH_LPS_Demand_delta]))))",1
63,2921,[EOEG_1_HPS_Demand] + [EOEG_2_HPS_Demand] + [EOEG_3_HPS_Demand] + [ETH_HPS_Demand],1
64,2922,[EOEG_1_MPS_Demand] + [EOEG_2_MPS_Demand] + [EOEG_3_MPS_Demand],1
65,2923,[EOEG_1_LPS_Demand] + [EOEG_2_LPS_Demand] + [EOEG_3_LPS_Demand] + [ETH_LPS_Demand] + [LAO_LP_Steam_Demand],1
66,2995,[Plant_HP_Steam_Demand]*[HP_Steam_Cost] + [Plant_MP_Steam_Demand]*[MP_steam_generation_Cost] + [Plant_LP_Steam_Demand]*[LP_Steam_Cost]+ [Fuel_Consumption_Plants]*[LHV]*[Fuel_Rate] + [Power_Consumption_Plants]*3.6*[Power_Rate],1
67,3366,"if([BOILER_A_FLUE_GAS_OXGYGEN_flag]==0,[BOILER_A_STACK_TEMPERATURE],min([BOILER_A_STACK_TEMPERATURE],(0.368798083 * [BLR_1_HPS_Gen] + 0.356735113 * [BOILER_A_FLUE_GAS_OXGYGEN] + 117.0923065))*[BLR_1_Status])",1
68,3367,"if([BOILER_B_FLUE_GAS_OXGYGEN_flag]==0,[BOILER_B_STACK_TEMPERATURE],min([BOILER_B_STACK_TEMPERATURE],(0.446275852 * [BLR_2_HPS_Gen] + 0.310062436 * [BOILER_B_FLUE_GAS_OXGYGEN] + 110.2389869))*[BLR_2_Status])",1
69,3368,"if([BOILER_C_FLUE_GAS_OXGYGEN_flag]==0,[BOILER_C_STACK_TEMPERATURE],min([BOILER_C_STACK_TEMPERATURE],(0.399051143 * [BLR_3_HPS_Gen] - 0.176072266 * [BOILER_C_FLUE_GAS_OXGYGEN] + 116.3971552))*[BLR_3_Status])",1
70,3369,"if([BOILER_D_FLUE_GAS_OXGYGEN_flag]==0,[BOILER_D_STACK_TEMPERATURE],min([BOILER_D_STACK_TEMPERATURE],(0.399089856 * [BLR_4_HPS_Gen] - 0.482676221 * [BOILER_D_FLUE_GAS_OXGYGEN] + 114.6594118))*[BLR_4_Status])",1
71,3370,"if([Boiler_5_O2_flag]==0,[BOILER_E_STACK_TEMPERATURE],min([BOILER_E_STACK_TEMPERATURE],(0.313555668 * [BLR_5_HPS_Gen] + 0.475167776 * [BOILER_E_FLUE_GAS_OXGYGEN] + 132.5695951))*[BLR_5_Status])",1
72,326,[ETH_HPS_Demand] +[EOEG_1_HPS_Demand]+[EOEG_2_HPS_Demand]+[EOEG_3_HPS_Demand]+ [BFW_E_Turb_Steam] + [BFW_B_Turb_Steam] + [BFW_C_Turb_Steam] + [VHP_BFW_B_Turb_Steam] + [VHP_BFW_C_Turb_Steam] + [CW_Turbine_A_Steam] + [CW_Turbine_B_Steam] + [CW_Turbine_G_Steam] + [Air_Compressor_Turbine_A_Steam] + [Air_Compressor_Turbine_D_Steam] + [FD_Fan_BLR_1_Steam] + [FD_Fan_BLR_2_Steam] + [FD_Fan_BLR_3_Steam] + [FD_Fan_BLR_4_Steam] + [FD_Fan_BLR_5_Steam] + [MP_Steam_Generation]*0.91+ [HP_Steam_Vent_valve_PV0012_Steam_flow_out_UO],1
73,329,[EOEG_1_MPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_3_MPS_Demand]+[DMW_Turbine_A_Steam]+ [DMW_Turbine_C_Steam]+ [MP_to_LP_Letdown_MPS_Flow_In_PV013A_UO]+ [MP_to_LP_Letdown_MPS_Flow_In_PV013B_UO]+ [MP_to_LP_Letdown_MPS_Flow_In_PV31_UO]+ [MP_to_LP_Letdown_MPS_Flow_In_PV32_UO],1
74,332,[ETH_LPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_LPS_Demand]+[Deaerator_LPS]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO]+[LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO] +[LAO_LP_Steam_Demand],1
75,3049,[CBD_energy_saving_BLR1]*[BLR_1_Status],1
76,3050,[CBD_energy_saving_BLR2]*[BLR_2_Status],1
77,3051,[CBD_energy_saving_BLR3]*[BLR_3_Status],1
78,3052,[CBD_energy_saving_BLR4]*[BLR_4_Status],1
79,3053,[CBD_energy_saving_BLR5]*[BLR_5_Status],1
80,281,[Total_Boilers_Running] +[BFW_Turbines_Running] +[VHP_BFW_B_Turb_Status] +[VHP_BFW_C_Turb_Status] +[CW_Turbine_A_Status] +[CW_Turbine_B_Status] +[CW_Turbine_G_Status] +[Air_Compressor_Turbine_A_Status] +[Air_Compressor_Turbine_D_Status] +[DMW_Turbine_A_Status] +[DMW_Turbine_C_Status]-[FDF_A_Motor_Status]-[FDF_B_Motor_Status],1
81,358,[BFW_Drives_Running]+[VHP_BFW_Drives_Running]+[CW_Drives_Running]+[Air_Compressor_Drives_Running]+[DMW_Drives_Running]+[Total_Boilers_Running],1
82,359,[Total_Drives_Running] -[Total_Steam_Turbines_Running],1
