equipment_availability_id,equipment_id,availability,must_run,created_on,created_by
2,1,1,0,2025-02-20 14:29:42,30759546
3,2,1,0,2025-02-20 14:29:43,30759546
4,3,1,0,2025-02-20 14:29:43,30759546
5,4,0,0,2025-02-20 14:29:44,30759546
6,5,1,0,2025-02-20 14:29:44,30759546
7,6,1,0,2025-02-20 14:29:45,30759546
8,7,1,0,2025-02-20 14:29:45,30759546
9,8,1,1,2025-02-20 14:29:46,30759546
10,9,1,0,2025-02-20 14:29:46,30759546
11,10,1,0,2025-02-20 14:29:47,30759546
12,11,1,1,2025-02-20 14:29:47,30759546
13,12,1,1,2025-02-20 14:29:48,30759546
14,13,1,1,2025-02-20 14:29:48,30759546
15,14,1,1,2025-02-20 14:29:49,30759546
16,15,1,1,2025-02-20 14:29:49,30759546
17,16,1,1,2025-02-20 14:29:50,30759546
18,17,1,0,2025-02-20 14:29:50,30759546
19,18,1,0,2025-02-20 14:29:51,30759546
20,19,1,0,2025-02-20 14:29:51,30759546
21,20,1,0,2025-02-20 14:29:52,30759546
22,21,1,0,2025-02-20 14:29:52,30759546
23,22,1,1,2025-02-20 14:29:53,30759546
24,23,1,1,2025-02-20 14:29:53,30759546
25,24,1,0,2025-02-20 14:29:54,30759546
26,25,1,1,2025-02-20 14:29:54,30759546
27,26,1,1,2025-02-20 14:29:55,30759546
28,27,1,1,2025-02-20 14:29:55,30759546
29,28,1,1,2025-02-20 14:29:56,30759546
30,1,1,0,2025-02-20 17:52:14,1
31,2,1,1,2025-02-20 17:52:14,1
66,30,0,0,2025-02-21 13:27:54,1
67,31,1,0,2025-02-21 13:27:54,2
68,13,1,1,2025-02-21 13:27:54,1
69,14,1,1,2025-02-21 13:27:54,1
70,15,1,1,2025-02-21 13:27:54,1
71,16,1,1,2025-02-21 13:27:54,1
80,1,1,1,2025-02-21 13:32:25,1
81,1,1,1,2025-02-21 13:32:58,1
82,1,1,1,2025-02-21 13:33:20,1
83,1,1,1,2025-02-21 13:45:00,30768425
85,29,1,0,2025-02-21 13:49:40,2
86,30,1,0,2025-02-21 13:49:40,2
87,32,1,0,2025-02-21 13:49:40,2
