inferred_detail_id,model_tag_id,formula_expression,active
1,176,4000,1
2,177,"if([EOEG3_Plant_Status]==0,0,[BFW_to_EOEG_3_raw])",1
3,178,"if([BLR_1_HPS_Gen_raw]<0,0,[BLR_1_HPS_Gen_raw]/1000)",1
4,179,"if([BLR_2_HPS_Gen_raw]<0,0,[BLR_2_HPS_Gen_raw]/1000)",1
5,180,"if([BLR_3_HPS_Gen_raw]<0,0,[BLR_3_HPS_Gen_raw]/1000)",1
6,181,"if([BLR_4_HPS_Gen_raw]<0,0,[BLR_4_HPS_Gen_raw]/1000)",1
7,182,"if([BLR_5_HPS_Gen_raw]<0,0,[BLR_5_HPS_Gen_raw]/1000)",1
8,183,"if([BFW_B_Turb_Steam_raw]<100,0,[BFW_B_Turb_Steam_raw]/1000)",1
9,184,"if([BFW_C_Turb_Steam_raw]<100,0,[BFW_C_Turb_Steam_raw]/1000)",1
10,185,"if([BFW_E_Turb_Steam_raw]<100,0,[BFW_E_Turb_Steam_raw]/1000)",1
11,186,"if([FD_Fan_BLR_1_Steam_raw]<500,0,[FD_Fan_BLR_1_Steam_raw]/1000)",1
12,187,"if([FD_Fan_BLR_2_Steam_raw]<500,0,[FD_Fan_BLR_2_Steam_raw]/1000)",1
13,188,"if([FD_Fan_BLR_3_Steam_raw]<500,0,[FD_Fan_BLR_3_Steam_raw]/1000)",1
14,189,"if([FD_Fan_BLR_4_Steam_raw]<500,0,[FD_Fan_BLR_4_Steam_raw]/1000)",1
15,190,"if([FD_Fan_BLR_5_Steam_raw]<500,0,[FD_Fan_BLR_5_Steam_raw]/1000)",1
16,191,"if([VHP_BFW_B_Turb_Steam_raw]<100,0,[VHP_BFW_B_Turb_Steam_raw]/1000)",1
17,192,"if([VHP_BFW_C_Turb_Steam_raw]<100,0,[VHP_BFW_C_Turb_Steam_raw]/1000)",1
18,193,"if([Air_Compressor_Turbine_A_Steam_raw]<100,0,[Air_Compressor_Turbine_A_Steam_raw]/1000)",1
19,194,"if([Air_Compressor_Turbine_D_Steam_raw]<100,0,[Air_Compressor_Turbine_D_Steam_raw]/1000)",1
20,195,"if([DMW_Turbine_A_Steam_raw]<100,0,[DMW_Turbine_A_Steam_raw]/1000)",1
21,196,"if([DMW_Turbine_C_Steam_raw]<100,0,[DMW_Turbine_C_Steam_raw]/1000)",1
22,197,[Deaerator_A_LPS_raw]/1000,1
23,198,[Deaerator_B_LPS_raw]/1000,1
24,199,"if([LAO_Plant_Status]==0,0,[BFW_TO_LAO_raw]/1000)",1
25,200,[DSP_BFW_TO_CAUSTIC_DILUTION_raw]/1000,1
26,201,"if([BLR_1_Status]!=0,[LHV_Raw],if([BLR_2_Status]!=0,[LHV_Raw_2],if([BLR_3_Status]!=0,[LHV_Raw_3],if([BLR_4_Status]!=0,[LHV_Raw_4],if([BLR_5_Status]!=0,[LHV_Raw_5],0)))))*4.184/1000",0
27,202,[LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[Boiler_CBD]+[Condensate_from_Traps],1
28,203,336,1
29,204,326,1
30,205,15.435,1
31,206,15.435,1
32,207,11.27,1
33,208,11.27,1
34,209,12326,1
35,210,350,1
36,211,0.9,1
37,212,0,1
38,213,(-2.4610118074113*[VHP_Steam_Pressure]+3.35070975622248*[VHP_Steam_Temperature]+2008.00318529056)/4.184,1
39,214,((2175.54628147543-1.32764297764643*([HP_Steam_Pressure])+2.66244961166282*[HP_Steam_Temperature])*0.239+2),0
40,215,740,0
41,216,(2276.1762+[LP_Steam_Pressure]*18.641+[LP_Steam_Temperature]*2.26789)/4.184,0
42,217,([BFW_Pressure]*0.0678913878546345+[BFW_Temperature]*4.22416911685416-3.01717714574329)/4.184,0
43,218,13.334,1
44,219,2.04,1
45,220,7.34/3.75,1
46,221,"(max(0,[EG1_MEG_production_flow]*0.71)+max(0,[EG1_DEG_production_flow]*0.83)+max(0,([EG1_TEG_production_flow]/1000*0.88))+max(0,([EG1_HEG_production_flow]/1000*0.91)))",1
47,222,"(max(0,[EG2_MEG_production_flow]*0.71)+max(0,[EG2_DEG_production_flow]*0.83)+max(0,([EG2_TEG_production_flow]/1000*0.88))+max(0,([EG2_HEG_production_flow]/1000*0.91)))",1
48,223,"(max(0,[EG3_MEG_production_flow]*0.71)+max(0,[EG3_DEG_production_flow]*0.83)+max(0,([EG3_TEG_production_flow]/1000*0.88))+max(0,([EG3_HEG_production_flow]/1000*0.91)))",1
49,224,[EG1_EOE]+[EG2_EOE]+[EG3_EOE]+[Total_Ethylene_Production_ETH_Plant],1
50,225,([ETH_CLEAN_COND_TO_U_O]+[ETH_suspect_COND_TO_U_O_corrected])*[Condensate_Recovery_Ratio_ETH]+[EG1_CLEAN_COND_TO_U_O]+[EG2_CLEAN_COND_TO_U_O]+[EG3_CLEAN_COND_TO_U_O]+[EG1_suspect_COND_TO_U_O_corrected]+[EG2_suspect_COND_TO_U_O_corrected]+[EG3_suspect_COND_TO_U_O_corrected],1
51,226,"if([ETH_Plant_Status]==0,0,([VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O]))",1
52,227,([Fuel_BLR_1]+[Fuel_BLR_2]+[Fuel_BLR_3]+[Fuel_BLR_4]+[Fuel_BLR_5]),1
53,228,[Total_Fuel_for_Boilers_corrected]*([LHV]),1
54,229,([BLR_1_HPS_Gen]+[BLR_2_HPS_Gen]+[BLR_3_HPS_Gen]+[BLR_4_HPS_Gen]+[BLR_5_HPS_Gen]),1
55,230,"if(([BFW_A_AMPS]>60)||([BFW_A_Vibrations]>10)||([BFW_A_Bearing_temp]>60),1,0)",1
56,231,"if(([BFW_B_Turb_Steam_raw]/1000)>8,1,0)",1
57,232,"if(([BFW_C_Turb_Steam_raw]/1000)>8,1,0)",1
58,233,"if(([BFW_D_AMPS]>60)||([BFW_D_Vibrations]>10)||([BFW_D_Bearing_temp]>60),1,0)",1
59,234,"if(([BFW_E_Turb_Steam_raw]/1000)>8,1,0)",1
60,235,"if(([PM7103F_CWP_MTR_BEARING])>50,1,0)",1
61,236,"if((([VHP_BFW_B_Turb_Steam_raw]/1000))>16||([VHP_BFW_B_Discharge_flow]>150000),1,0)",1
62,237,"if((([VHP_BFW_C_Turb_Steam_raw]/1000))>16||([VHP_BFW_C_Discharge_flow]>150000),1,0)",1
63,238,"if(([VHP_BFW_A_AMPS])>150||([VHP_BFW_A_Discharge_flow]>150000)||([VHP_BFW_A_Vibration]>2),1,0)",1
64,239,"if(([CW_Turbine_A_Steam])>16||([CW_Turbine_A_RPM])>2100,1,0)",1
65,240,"if(([CW_Turbine_B_Steam])>16||([CW_Turbine_B_RPM])>2100,1,0)",1
