model_tag_id,model_id,tag_id,uom_id,flag_parameter,flag_ma,flag_ma_filter,flag_data_available_check,flag_output,flag_output_run_always,design_expression,polarity_expression,active,flag_part_of_seu,peeo_model_id,peeo_tag_name
1,1,1,1,0,0,0,0,0,1,103,NULL,0,1,NULL,NULL
3,1,3,1,0,0,0,0,1,1,45,NULL,1,1,NULL,NULL
4,1,4,2,0,0,0,0,1,1,400,NULL,1,1,NULL,NULL
5,1,5,NULL,0,0,0,0,0,1,NULL,NULL,0,1,NULL,NULL
6,1,6,2,0,0,0,0,1,1,280,NULL,1,1,NULL,NULL
7,1,7,1,0,0,0,0,1,1,5,NULL,1,1,NULL,NULL
8,1,8,2,0,0,0,0,1,1,230,NULL,1,1,204,NULL
9,1,9,1,0,0,0,0,0,0,58.7,NULL,1,1,NULL,NULL
10,1,10,2,0,0,0,0,0,0,410,NULL,1,1,NULL,NULL
11,1,11,3,0,0,0,0,1,1,NULL,NULL,1,0,NULL,NULL
12,1,12,3,1,0,0,0,1,1,0,"if([EOEG_1_HPS_Demand_actual]>[EOEG_1_HPS_Demand_optimum],1,0)",1,0,NULL,NULL
13,1,13,3,1,0,0,0,1,1,0,"if([EOEG_2_HPS_Demand_actual]>[EOEG_2_HPS_Demand_optimum],1,0)",1,0,NULL,NULL
14,1,14,3,1,0,0,0,1,1,0,"if([EOEG_3_HPS_Demand_actual]>[EOEG_3_HPS_Demand_optimum],1,0)",1,0,NULL,NULL
15,1,15,3,1,0,0,1,1,1,67.680000000000007,"if([EOEG_1_MPS_Demand_actual]>[EOEG_1_MPS_Demand_optimum],1,0)",1,0,NULL,NULL
16,1,16,3,1,0,0,0,1,1,67.680000000000007,"if([EOEG_2_MPS_Demand_actual]>[EOEG_2_MPS_Demand_optimum],1,0)",1,0,NULL,NULL
17,1,17,3,1,0,0,0,1,1,54.14,"if([EOEG_3_MPS_Demand_actual]>[EOEG_3_MPS_Demand_optimum],1,0)",1,0,NULL,NULL
18,1,18,3,1,0,0,1,1,1,45,"if([ETH_LPS_Demand_actual]>[ETH_LPS_Demand_optimum],1,0)",1,0,NULL,NULL
19,1,19,3,1,0,0,0,1,1,80.8,"if([EOEG_1_LPS_Demand_actual]>[EOEG_1_LPS_Demand_optimum],1,0)",1,0,NULL,NULL
20,1,20,3,1,0,0,0,1,1,80.8,"if([EOEG_2_LPS_Demand_actual]>[EOEG_2_LPS_Demand_optimum],1,0)",1,0,NULL,NULL
21,1,21,3,1,0,0,0,1,1,10.119999999999999,"if([EOEG_3_LPS_Demand_actual]>[EOEG_3_LPS_Demand_optimum],1,0)",1,0,NULL,NULL
22,1,22,3,1,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
23,1,23,3,1,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
24,1,24,3,0,0,0,0,0,0,NULL,NULL,1,1,NULL,NULL
25,1,25,4,0,0,0,0,1,1,150000,NULL,1,0,NULL,NULL
26,1,26,4,0,0,0,0,1,1,150000,NULL,1,0,NULL,NULL
27,1,27,4,0,0,0,0,1,1,150000,NULL,1,0,NULL,NULL
28,1,28,4,0,0,0,0,1,1,150000,NULL,1,0,NULL,NULL
29,1,29,4,0,0,0,0,1,1,150000,NULL,1,0,NULL,NULL
30,1,30,5,0,0,0,0,1,1,NULL,NULL,1,0,NULL,NULL
31,1,31,5,0,0,0,0,1,1,NULL,NULL,1,0,NULL,NULL
32,1,32,5,0,0,0,0,1,1,NULL,NULL,1,0,NULL,NULL
33,1,33,4,1,0,0,0,1,1,11420,NULL,1,0,NULL,NULL
34,1,34,4,1,0,0,0,1,1,11420,NULL,1,0,NULL,NULL
35,1,35,4,1,0,0,0,1,1,11420,NULL,1,0,NULL,NULL
36,1,36,4,1,0,0,0,1,1,11420,NULL,1,0,NULL,NULL
37,1,37,4,1,0,0,0,1,1,11420,NULL,1,0,NULL,NULL
38,1,38,4,0,0,0,0,1,1,19300,NULL,1,1,NULL,NULL
39,1,39,4,0,0,0,0,1,1,19300,NULL,1,1,NULL,NULL
40,1,40,4,0,0,0,0,1,1,19300,NULL,1,1,NULL,NULL
41,1,41,4,0,0,0,0,1,1,34040,NULL,1,1,NULL,NULL
42,1,42,4,0,0,0,0,1,1,34040,NULL,1,1,NULL,NULL
43,1,43,3,0,0,0,0,1,1,34.619999999999997,"if([CW_Turbine_A_Steam_actual]-[CW_Turbine_A_Steam_optimum]>0.02,1,0)",1,1,NULL,NULL
44,1,44,3,0,0,0,0,1,1,34.619999999999997,"if([CW_Turbine_B_Steam_actual]-[CW_Turbine_B_Steam_optimum]>0.02,1,0)",1,1,NULL,NULL
45,1,45,3,0,0,0,0,1,1,34.619999999999997,"if([CW_Turbine_G_Steam_actual]-[CW_Turbine_G_Steam_optimum]>0.02,1,0)",1,1,NULL,NULL
46,1,46,4,0,0,0,0,1,1,35000,NULL,1,1,NULL,NULL
47,1,47,4,0,0,0,0,1,1,35000,NULL,1,1,NULL,NULL
48,1,48,4,0,0,0,0,1,1,5890,NULL,1,0,NULL,NULL
49,1,49,4,0,0,0,0,1,1,5890,NULL,1,0,NULL,NULL
50,1,50,4,0,0,0,0,0,0,NULL,NULL,1,1,NULL,NULL
51,1,51,4,0,0,0,0,0,0,NULL,NULL,1,1,NULL,NULL
52,1,52,6,0,0,0,0,1,1,2.9260000000000002,"if(round([Spec_En_Cons_BLR_1_actual],2)>round([Spec_En_Cons_BLR_1_optimum],2),1,0)",1,0,NULL,NULL
53,1,53,6,0,0,0,0,1,1,2.9260000000000002,"if(round([Spec_En_Cons_BLR_2_actual],2)>round([Spec_En_Cons_BLR_2_optimum],2),1,0)",1,0,NULL,NULL
54,1,54,6,0,0,0,0,1,1,2.9260000000000002,"if(round([Spec_En_Cons_BLR_3_actual],2)>round([Spec_En_Cons_BLR_3_optimum],2),1,0)",1,0,NULL,NULL
55,1,55,6,0,0,0,0,1,1,2.9260000000000002,"if(round([Spec_En_Cons_BLR_4_actual],2)>round([Spec_En_Cons_BLR_4_optimum],2),1,0)",1,0,NULL,NULL
56,1,56,6,0,0,0,0,1,1,2.9260000000000002,"if(round([Spec_En_Cons_BLR_5_actual],2)>round([Spec_En_Cons_BLR_5_optimum],2),1,0)",1,0,NULL,NULL
57,1,57,7,0,0,0,1,0,0,NULL,NULL,1,0,NULL,NULL
58,1,58,21,0,0,0,0,1,1,1,NULL,1,0,NULL,NULL
59,1,59,21,0,0,0,0,1,1,1,NULL,1,0,NULL,NULL
60,1,60,21,0,0,0,0,1,1,1,NULL,1,0,NULL,NULL
61,1,61,21,0,0,0,0,1,1,1,NULL,1,0,NULL,NULL
62,1,62,21,0,0,0,0,1,1,1,NULL,1,0,NULL,NULL
63,1,63,21,0,0,0,0,1,1,NULL,NULL,1,0,NULL,NULL
64,1,64,4,0,0,0,0,0,0,10920,NULL,1,0,NULL,NULL
65,1,65,4,0,0,0,0,0,0,10920,NULL,1,0,NULL,NULL
66,1,66,4,0,0,0,0,0,0,10920,NULL,1,0,NULL,NULL
67,1,67,4,0,0,0,0,0,0,10920,NULL,1,0,NULL,NULL
68,1,68,4,0,0,0,0,0,0,10920,NULL,1,0,NULL,NULL
69,1,69,3,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
70,1,70,3,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
71,1,71,3,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
72,1,72,3,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
73,1,73,3,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
74,1,74,3,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
75,1,75,3,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
76,1,76,3,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
77,1,77,3,1,0,0,0,1,1,NULL,NULL,1,0,NULL,NULL
78,1,78,3,1,0,0,0,1,1,NULL,NULL,1,0,NULL,NULL
79,1,79,4,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
80,1,80,4,0,0,0,0,1,1,NULL,NULL,1,1,NULL,NULL
81,1,81,9,0,0,0,0,0,0,168,NULL,1,1,NULL,NULL
82,1,82,10,0,0,0,0,0,0,NULL,NULL,1,1,NULL,NULL
83,1,83,2,0,0,0,0,0,0,100,NULL,1,1,NULL,NULL
84,1,84,9,0,0,0,0,0,0,168,NULL,1,1,NULL,NULL
85,1,85,10,0,0,0,0,0,0,NULL,NULL,1,1,NULL,NULL
86,1,86,2,0,0,0,0,0,0,100,NULL,1,1,NULL,NULL
87,1,87,2,0,0,0,0,0,0,NULL,NULL,1,1,NULL,NULL
88,1,88,10,0,0,0,0,0,0,NULL,NULL,1,1,NULL,NULL
89,1,89,4,0,0,0,0,1,1,326,"if([VHP_BFW_B_Discharge_flow_actual]>[VHP_BFW_B_Discharge_flow_optimum],1,0)",1,1,NULL,NULL
