mst_sub_model_parameter_id,parameter_name,default_value,description,active
1,number_of_folds,6,number of folds,1
2,num_trees_min,2,num trees min,1
3,num_trees_max,140,num trees max,1
4,num_trees_step_size,10,num trees step size,1
5,max_depth_min,1,max depth min,1
6,max_depth_max,20,max depth max,1
7,max_depth_step_size,2,max depth step size,1
8,retrain_days,400d,retrain days,1
9,model_selection,2,model selection,1
10,pullpi_timeinterval,1h,pullpi timeinterval,1
11,pullpi_rootpath,\\PI-DA.sabic.com,pullpi rootpath,1
12,ma_left_filter,23,ma left filter,1
13,ma_right_filter,1,ma right filter,1
14,retrain_frequency,15d,retrain frequency,1
15,validation_frequency,1d,validation frequency,1
16,min_rows_for_retraining,100,minimum row for retraining the model,1
