operation_decision_support_id,model_id,cause_id,effect_id,active,ods_actionable_tolerance
1,1,1,1,0,NULL
2,1,2,1,0,NULL
3,1,3,1,0,NULL
4,1,4,1,0,NULL
5,1,5,1,0,NULL
6,1,8,5,0,NULL
7,1,9,5,0,NULL
8,1,10,5,0,NULL
9,1,11,5,0,NULL
10,1,12,5,0,NULL
11,1,13,5,0,NULL
12,1,14,5,0,NULL
13,1,15,5,0,NULL
14,1,16,5,0,NULL
15,1,17,5,0,NULL
16,1,18,5,0,NULL
17,1,19,5,0,NULL
18,1,20,5,0,NULL
19,1,21,5,0,NULL
20,1,22,5,0,NULL
21,1,23,5,0,NULL
22,1,24,5,0,NULL
23,1,25,5,0,NULL
24,1,26,5,0,NULL
25,1,27,5,0,NULL
26,1,28,5,0,NULL
27,1,29,5,0,NULL
28,1,30,5,0,NULL
29,1,31,5,0,NULL
30,1,32,5,0,NULL
31,1,33,5,0,NULL
32,1,34,5,0,NULL
33,1,35,5,0,NULL
34,1,36,5,0,NULL
35,1,37,5,0,NULL
36,1,38,5,0,NULL
37,1,39,5,0,NULL
38,1,40,5,0,NULL
39,1,41,5,0,NULL
40,1,42,5,0,NULL
41,1,43,5,0,NULL
42,1,44,5,0,NULL
43,1,45,5,0,NULL
44,1,46,5,0,NULL
45,1,47,5,0,NULL
46,1,48,5,0,NULL
47,1,49,5,0,NULL
48,1,50,5,0,NULL
49,1,51,5,0,NULL
50,1,52,5,0,NULL
51,1,53,5,0,NULL
52,1,54,5,0,NULL
53,1,55,5,0,NULL
54,1,56,5,0,NULL
55,1,57,5,0,NULL
56,1,58,5,0,NULL
57,1,59,5,0,NULL
58,1,60,5,0,NULL
59,1,61,5,0,NULL
60,1,62,5,0,NULL
61,1,63,5,0,NULL
62,1,8,4,0,NULL
63,1,11,4,0,NULL
64,1,13,4,0,NULL
65,1,20,4,0,NULL
66,1,28,4,0,NULL
67,1,29,4,0,NULL
68,1,30,4,0,NULL
69,1,31,4,0,NULL
70,1,41,4,0,NULL
71,1,43,4,0,NULL
72,1,49,4,0,NULL
73,1,64,3,0,5
74,1,65,3,0,NULL
75,1,66,3,0,NULL
76,1,67,3,0,NULL
77,1,68,3,0,NULL
78,1,69,2,0,NULL
79,1,70,2,0,NULL
80,1,71,2,0,NULL
81,1,72,2,0,NULL
82,1,73,2,0,NULL
83,1,74,2,0,NULL
84,1,75,2,0,NULL
85,1,76,2,0,NULL
86,1,77,2,0,NULL
87,1,78,2,0,NULL
88,1,64,2,0,NULL
89,1,65,2,0,NULL
90,1,66,2,0,NULL
91,1,67,2,0,NULL
92,1,68,2,0,NULL
93,1,79,9,0,NULL
94,1,80,6,0,NULL
95,1,54,6,0,NULL
96,1,55,6,0,NULL
97,1,81,9,0,NULL
98,1,82,6,0,NULL
99,1,56,6,0,NULL
100,1,57,6,0,NULL
101,1,83,9,0,NULL
102,1,84,6,0,NULL
103,1,58,6,0,NULL
104,1,59,6,0,NULL
105,1,85,9,0,NULL
106,1,86,6,0,NULL
107,1,60,6,0,NULL
108,1,61,6,0,NULL
109,1,87,9,0,NULL
110,1,88,6,0,NULL
111,1,62,6,0,NULL
112,1,63,6,0,NULL
113,1,79,10,0,NULL
114,1,80,7,0,NULL
115,1,54,7,0,NULL
116,1,55,7,0,NULL
117,1,81,10,0,NULL
118,1,82,7,0,NULL
119,1,56,7,0,NULL
120,1,57,7,0,NULL
121,1,83,10,0,NULL
122,1,84,7,0,NULL
123,1,58,7,0,NULL
124,1,59,7,0,NULL
125,1,85,10,0,NULL
126,1,86,7,0,NULL
127,1,60,7,0,NULL
128,1,61,7,0,NULL
129,1,87,10,0,NULL
130,1,88,7,0,NULL
131,1,62,7,0,NULL
132,1,63,7,0,NULL
133,1,74,5,0,NULL
134,1,75,5,0,NULL
135,1,76,5,0,NULL
136,1,77,5,0,NULL
137,1,78,5,0,NULL
138,1,64,5,0,NULL
139,1,65,5,0,NULL
140,1,66,5,0,NULL
141,1,67,5,0,NULL
142,1,68,5,0,NULL
143,1,69,5,0,NULL
144,1,70,5,0,NULL
145,1,71,5,0,NULL
146,1,72,5,0,NULL
147,1,73,5,0,NULL
148,1,85,6,0,NULL
149,1,79,6,0,NULL
150,1,81,6,0,NULL
151,1,83,6,0,NULL
152,1,87,6,0,NULL
153,1,79,7,0,NULL
154,1,81,7,0,NULL
155,1,83,7,0,NULL
156,1,85,7,0,NULL
157,1,87,7,0,NULL
158,2,74,5,1,NULL
159,2,75,5,1,NULL
160,2,76,5,1,NULL
161,2,77,5,1,NULL
162,2,78,5,0,NULL
163,2,64,5,1,NULL
164,2,65,5,1,NULL
165,2,66,5,1,NULL
167,2,68,5,1,NULL
168,2,79,9,1,NULL
169,2,80,6,0,NULL
170,2,54,6,1,NULL
171,2,55,6,1,NULL
172,2,81,9,1,NULL
173,2,82,6,1,NULL
174,2,56,6,1,NULL
175,2,57,6,1,NULL
176,2,83,9,1,NULL
177,2,84,6,0,NULL
178,2,58,6,1,NULL
179,2,59,6,1,NULL
180,2,85,9,1,NULL
181,2,86,6,1,NULL
182,2,60,6,1,NULL
183,2,61,6,1,NULL
184,2,87,9,1,NULL
185,2,88,6,1,NULL
186,2,63,6,1,NULL
187,2,79,10,1,NULL
188,2,80,7,0,NULL
189,2,54,7,1,NULL
190,2,55,7,1,NULL
191,2,81,10,1,NULL
192,2,82,7,1,NULL
193,2,56,7,1,NULL
194,2,57,7,1,NULL
195,2,83,10,1,NULL
196,2,84,7,0,NULL
197,2,58,7,1,NULL
198,2,59,7,1,NULL
199,2,85,10,1,NULL
200,2,86,7,1,NULL
201,2,60,7,1,NULL
202,2,61,7,1,NULL
203,2,87,10,1,NULL
204,2,88,7,1,NULL
205,2,63,7,1,NULL
206,2,85,6,1,NULL
207,2,79,6,1,NULL
208,2,81,6,1,NULL
209,2,83,6,1,NULL
210,2,87,6,1,NULL
211,2,79,7,1,NULL
212,2,81,7,1,NULL
213,2,83,7,1,NULL
214,2,85,7,1,NULL
215,2,87,7,1,NULL
219,2,67,7,0,NULL
220,1,90,13,0,NULL
221,1,91,13,0,NULL
222,1,92,13,0,NULL
223,1,93,4,0,NULL
224,1,95,4,0,NULL
225,1,94,5,0,NULL
226,1,95,5,0,NULL
227,1,96,14,0,NULL
228,1,97,13,0,NULL
229,1,98,13,0,NULL
230,1,99,13,0,NULL
231,1,100,13,0,NULL
232,1,101,13,0,NULL
233,1,102,5,0,NULL
234,1,103,15,0,NULL
235,1,104,15,0,NULL
236,1,105,15,0,NULL
237,1,106,16,0,NULL
238,1,107,17,0,NULL
239,1,108,18,0,NULL
240,1,109,19,0,NULL
241,1,110,20,0,NULL
242,1,111,21,0,NULL
243,1,93,22,0,NULL
244,1,95,22,0,NULL
245,1,94,23,1,NULL
246,1,103,22,1,NULL
247,1,104,22,1,NULL
248,1,105,22,1,NULL
249,1,74,24,1,NULL
250,1,75,24,1,NULL
251,1,76,24,1,NULL
252,1,77,24,1,NULL
253,1,78,24,1,NULL
254,1,102,24,1,NULL
255,1,79,24,0,NULL
256,1,80,24,0,NULL
257,1,54,24,0,NULL
258,1,55,24,0,NULL
259,1,81,24,0,NULL
260,1,82,24,0,NULL
261,1,56,24,0,NULL
262,1,57,24,0,NULL
263,1,83,24,0,NULL
264,1,84,24,0,NULL
265,1,58,24,0,NULL
266,1,59,24,0,NULL
267,1,85,24,0,NULL
268,1,86,24,0,NULL
269,1,60,24,0,NULL
270,1,61,24,0,NULL
271,1,87,24,0,NULL
272,1,88,24,0,NULL
273,1,63,24,0,NULL
274,1,90,24,0,NULL
275,1,91,24,0,NULL
276,1,92,24,1,NULL
277,1,96,24,1,NULL
278,1,97,24,1,NULL
279,1,98,24,1,NULL
280,1,99,24,1,NULL
281,1,100,24,1,NULL
282,1,101,24,1,NULL
283,1,106,26,1,NULL
284,1,107,26,1,NULL
285,1,108,26,1,NULL
286,1,109,26,1,NULL
287,1,110,26,1,NULL
288,1,111,25,1,NULL
289,1,112,22,0,NULL
290,1,113,24,1,NULL
291,1,114,24,1,NULL
292,1,115,24,1,NULL
293,1,116,24,1,NULL
294,1,117,24,1,NULL
295,1,118,24,1,NULL
296,1,119,24,1,NULL
297,1,120,24,1,NULL
298,1,121,24,1,NULL
299,1,122,24,1,NULL
300,1,123,24,0,NULL
301,1,124,24,0,NULL
302,1,125,24,0,NULL
303,1,126,24,0,NULL
304,1,127,24,0,NULL
305,1,128,24,0,NULL
306,1,129,24,0,NULL
307,1,130,24,0,NULL
308,1,131,24,1,NULL
309,1,132,24,1,NULL
310,1,133,22,0,NULL
311,1,134,22,0,NULL
312,1,143,24,1,NULL
313,1,144,24,1,NULL
314,1,145,22,1,NULL
315,1,146,22,1,NULL
316,1,147,24,1,NULL
317,1,148,24,1,NULL
318,1,149,24,1,NULL
319,1,150,24,1,NULL
320,1,151,24,1,NULL
321,1,152,24,1,NULL
322,1,153,24,1,NULL
323,1,154,24,1,NULL
324,1,155,24,1,NULL
325,1,156,24,1,NULL
326,1,157,22,1,NULL
327,1,158,22,1,NULL
328,1,159,22,1,NULL
329,1,160,22,1,NULL
330,1,161,22,1,NULL
331,1,162,22,1,NULL
332,1,163,22,1,NULL
333,1,164,22,1,NULL
334,1,165,24,1,NULL
335,1,166,24,1,NULL
336,1,167,24,1,NULL
337,1,168,24,1,NULL
338,1,169,24,1,NULL
339,1,170,24,1,NULL
340,1,171,24,1,NULL
341,1,172,24,1,NULL
342,1,173,24,1,NULL
343,1,174,24,1,NULL
344,1,175,24,1,NULL
345,1,176,24,1,NULL
346,1,177,24,0,NULL
347,1,178,24,1,NULL
348,1,179,24,0,NULL
349,1,180,24,1,NULL
350,1,179,22,1,NULL
