output_pi_name,seu_id,tag_id,category,output_type,active
UN.CO2.KM-5020.KEV_Pressure_Ratio_Optimum_EO_CALC_OUTPUT,NULL,3548,Non_SEU,optimum,1
UN.CO2.KM-5020.KEV_Process_flow_Optimum_EO_CALC_OUTPUT,NULL,3546,Non_SEU,optimum,1
UN.CO2.KM-5020.KEV_Temperature_Ratio_Optimum_EO_CALC_OUTPUT,NULL,3547,Non_SEU,optimum,1
UN.CO2.KM-5070.KEV_ASCV_Opening_Optimum_EO_CALC_OUTPUT,NULL,3552,Non_SEU,optimum,1
UN.CO2.KM-5070.KEV_CO2_Sale_Current_Flow_Optimum_EO_CALC_OUTPUT,NULL,3554,Non_SEU,optimum,1
UN.CO2.KM-5070.KEV_K_5071_Discharge_Flow_Optimum_EO_CALC_OUTPUT,NULL,3553,Non_SEU,optimum,1
UN.CO2.PK-5020.Wet_Compressor_Target_Energy_EO_CALC_OUTPUT,NULL,3601,Non_SEU,optimum,1
UN.CO2.PK-5070.Product_Compressor_Target_Energy_EO_CALC_OUTPUT,NULL,3602,Non_SEU,optimum,1
UN.EG1.C-2220.KEV_Fractional_Conversion_Bicarbonate_Optimum_EO_CALC_OUTPUT,NULL,3093,Non_SEU,optimum,1
UN.EG1.C-2220.KEV_Regenerator_Bottom_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3091,Non_SEU,optimum,1
UN.EG1.C-2220.KEV_Total_Steam_To_Regenerator_Optimum_EO_CALC_OUTPUT,NULL,3092,Non_SEU,optimum,1
UN.EG1.C-2310.KEV_C2310_Bottom_Pressure_Optimum_EO_CALC_OUTPUT,NULL,3097,Non_SEU,optimum,1
UN.EG1.C-2310.KEV_Cycle_Water_Bleed_EO_Optimum_EO_CALC_OUTPUT,NULL,3095,Non_SEU,optimum,1
UN.EG1.C-2310.KEV_Stripper_Column_Top_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3094,Non_SEU,optimum,1
UN.EG1.C-2310.KEV_Total_Steam_To_Stripping_Column_Optimum_EO_CALC_OUTPUT,NULL,3096,Non_SEU,optimum,1
UN.EG1.E-2523.EG1_LP_To_E_2523_Target_Energy_EO_CALC_OUTPUT,NULL,3572,Non_SEU,optimum,1
UN.EG1.E-2523.KEV_Glycol_Reactor_Inlet_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3098,Non_SEU,optimum,1
UN.EG1.E-2523.KEV_ReactorOutletLegTempDelta_Optimum_EO_CALC_OUTPUT,NULL,3100,Non_SEU,optimum,1
UN.EG1.E-2523.KEV_Steam_Flow_Optimum_EO_CALC_OUTPUT,NULL,3099,Non_SEU,optimum,1
UN.EG1.E-2531.EG1_MP_To_E_2531_Target_Energy_EO_CALC_OUTPUT,NULL,3573,Non_SEU,optimum,1
UN.EG1.E-2531.KEV_5th_Effect_Evaporator_Overhead_Pressure_Controller_Opening_Optimum_EO_CALC_OUTPUT,NULL,3107,Non_SEU,optimum,1
UN.EG1.E-2531.KEV_Recycle_Water_Tank_Meg_Optimum_EO_CALC_OUTPUT,NULL,3101,Non_SEU,optimum,1
UN.EG1.E-2531.KEV_Treated_Water_To_1st_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3102,Non_SEU,optimum,1
UN.EG1.E-2531.KEV_Treated_Water_To_2nd_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3103,Non_SEU,optimum,1
UN.EG1.E-2531.KEV_Treated_Water_To_3rd_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3104,Non_SEU,optimum,1
UN.EG1.E-2531.KEV_Treated_Water_To_4th_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3105,Non_SEU,optimum,1
UN.EG1.E-2531.KEV_Treated_Water_To_5th_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3106,Non_SEU,optimum,1
UN.EG1.E-2610.EG1_MP_To_E_2610_Target_Energy_EO_CALC_OUTPUT,NULL,3574,Non_SEU,optimum,1
UN.EG1.E-2610.KEV_Chest_Pressure_Optimum_EO_CALC_OUTPUT,NULL,3113,Non_SEU,optimum,1
UN.EG1.E-2610.KEV_CriticalTrayTemperature_Optimum_EO_CALC_OUTPUT,NULL,3111,Non_SEU,optimum,1
UN.EG1.E-2610.KEV_Reboiler_Steam_flow_Optimum_EO_CALC_OUTPUT,NULL,3112,Non_SEU,optimum,1
UN.EG1.E-2620.EG1_MP_To_E_2620_Target_Energy_EO_CALC_OUTPUT,NULL,3575,Non_SEU,optimum,1
UN.EG1.E-2620.KEV_Chest_Pressure_Optimum_EO_CALC_OUTPUT,NULL,3110,Non_SEU,optimum,1
UN.EG1.E-2620.KEV_CriticalTrayTemperature_Optimum_EO_CALC_OUTPUT,NULL,3108,Non_SEU,optimum,1
UN.EG1.E-2620.KEV_Total_Reboiler_Steam_flow_Actual_EO_CALC_OUTPUT,NULL,3109,Non_SEU,optimum,1
