pipeline_macro_id,model_id,category,value,active,mst_pipeline_macro_id
2,1,EO,1d,0,1
3,1,EO,\\PI-DA.sabic.com,0,1
5,1,EO,4h,0,1
6,2,EO,1d,1,1
7,2,EO,1h,1,2
8,2,EO,\\PI-DA.sabic.com,1,3
9,2,EO_Iterative,5,1,4
10,2,EO,167h,1,5
11,1,EO,5,1,6
13,1,EO,1,1,7
14,1,EO_Iterative,0.01,1,4
15,1,EO,0,1,8
16,1,EO,1h,1,2
18,1,EO_pi_pulling,1d,0,10
19,1,EO_pi_pulling,1h,0,11
20,1,EO_pi_pulling,\\PI-DA.sabic.com,0,12
25,1,EO,1d,1,10
26,1,EO,1h,1,11
27,1,EO,\\PI-DA.sabic.com,1,12
28,1,EO_Iterative,0.01,1,4
29,1,EO,1,1,13
30,1,EO,\\PI-DA.sabic.com,1,14
31,1,EO,5h,1,15
32,1,EO,1,1,16
33,1,EO,4h,1,5
34,1,EO,1,1,17
35,1,EO,\\PI-DA.sabic.com,1,3
36,1,EO,1,1,18
