seu_suggestions_mapping_id,seu_id,operation_decision_support_id,solution_source,active,expression
1,114,4795,external,0,NULL
4,90,100,internal,0,NULL
5,91,101,internal,0,NULL
6,62,4798,external,1,"if([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum],0,1)"
7,62,4804,external,1,"if([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum],0,1)"
8,62,9275,external,0,"if([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum],0,1)"
9,62,4793,external,0,NULL
10,62,4805,external,0,NULL
11,62,7600,external,0,NULL
12,112,4527,external,1,"if(([EG1_LP_to_C_2220_actual]+[EG1_LP_to_E_2220_actual])==([EG1_LP_to_C_2220_optimum]+[EG1_LP_to_E_2220_optimum]),0,1)"
13,112,9282,external,1,"if(([EG1_LP_to_C_2220_actual]+[EG1_LP_to_E_2220_actual])==([EG1_LP_to_C_2220_optimum]+[EG1_LP_to_E_2220_optimum]),0,1)"
14,110,4795,external,1,"if(([EG1_LP_to_C_2310_actual]+[EG1_LP_to_E_2310_actual])==([EG1_LP_to_C_2310_optimum]+[EG1_LP_to_E_2310_optimum]),0,1)"
15,61,4806,external,1,"if([EG1_LP_to_E_2523_actual]==[EG1_LP_to_E_2523_optimum],0,1)"
16,67,1558,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
17,67,1564,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
18,67,2032,external,0,NULL
19,113,3261,external,1,"if(([EG2_LP_to_C_4220_actual]+[EG2_LP_to_E_4220_actual])==([EG2_LP_to_C_4220_optimum]+[EG2_LP_to_E_4220_optimum]),0,1)"
20,113,10350,external,1,"if(([EG2_LP_to_C_4220_actual]+[EG2_LP_to_E_4220_actual])==([EG2_LP_to_C_4220_optimum]+[EG2_LP_to_E_4220_optimum]),0,1)"
21,111,1556,external,1,"if(([EG2_LP_to_C_4310_actual]+[EG2_LP_to_E_4310_actual])==([EG2_LP_to_C_4310_optimum]+[EG2_LP_to_E_4310_optimum]),0,1)"
22,66,1566,external,1,"if([EG2_LP_to_E_4523_actual]==[EG2_LP_to_E_4523_optimum],0,1)"
23,70,6897,external,0,NULL
24,70,6909,external,0,NULL
25,70,6908,external,1,"if([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum],0,1)"
26,114,6946,external,1,"if([EG3_LP_to_E_6220_actual]==[EG3_LP_to_E_6220_optimum],0,1)"
27,114,10345,external,1,"if([EG3_LP_to_C_6220_actual]==[EG3_LP_to_C_6220_optimum],0,1)"
28,86,5759,external,1,"if([Total_specific_Power_actual]>[Total_specific_Power_optimum],1,0)"
29,86,7030,external,1,"if([Total_specific_Power_actual]>[Total_specific_Power_optimum],1,0)"
30,86,5760,external,1,"if([Total_specific_Power_actual]>[Total_specific_Power_optimum],1,0)"
31,86,9279,external,1,"if([Total_specific_Power_actual]>[Total_specific_Power_optimum],1,0)"
32,87,5803,external,1,"if([Ethane_feed_saturator_inlet_steam_flow_actual]==[Ethane_feed_saturator_inlet_steam_flow_optimum],0,1)"
33,87,5804,external,1,"if([Ethane_feed_saturator_inlet_steam_flow_actual]==[Ethane_feed_saturator_inlet_steam_flow_optimum],0,1)"
34,87,5805,external,1,"if([Ethane_feed_saturator_inlet_steam_flow_actual]==[Ethane_feed_saturator_inlet_steam_flow_optimum],0,1)"
35,87,5806,external,1,"if([Ethane_feed_saturator_inlet_steam_flow_actual]==[Ethane_feed_saturator_inlet_steam_flow_optimum],0,1)"
36,63,237,internal,1,1
37,64,238,internal,1,1
38,68,239,internal,1,1
39,69,240,internal,1,1
40,71,241,internal,1,1
41,62,4802,external,1,"if([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum],0,1)"
42,62,4807,external,1,"if([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum],0,1)"
43,62,4799,external,1,"if([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum],0,1)"
44,62,4800,external,1,"if([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum],0,1)"
45,62,4801,external,1,"if([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum],0,1)"
46,67,1567,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
47,67,1559,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
48,67,1560,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
49,67,1561,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
50,67,1562,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
51,67,10666,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
52,67,10667,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
53,67,10668,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
54,67,10669,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
55,67,10670,external,1,"if([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum],0,1)"
56,70,6911,external,1,"if([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum],0,1)"
57,70,6914,external,1,"if([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum],0,1)"
58,70,6913,external,1,"if([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum],0,1)"
59,70,6906,external,1,"if([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum],0,1)"
60,70,6905,external,1,"if([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum],0,1)"
61,70,6904,external,1,"if([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum],0,1)"
62,70,6903,external,1,"if([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum],0,1)"
63,70,6902,external,1,"if([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum],0,1)"
64,86,6606,external,0,1
65,86,6629,external,0,1
66,86,6630,external,0,1
67,86,6062,external,0,1
68,86,6063,external,0,1
69,86,6064,external,0,1
70,86,6066,external,0,1
71,86,6632,external,0,1
72,86,6633,external,0,1
73,86,6634,external,0,1
74,86,6635,external,0,1
75,86,6636,external,0,1
76,121,6606,external,1,"if([Specific_energy_consumption_in_C2R_actual]>[Specific_energy_consumption_in_C2R_optimum],1,0)"
