sub_model_child_id,sub_model_id,child_model_tag_id,active,flag_sub_model_input
1,52,221,1,1
2,52,1042,1,1
3,53,222,1,1
4,53,1043,1,1
5,54,223,0,0
6,54,1044,0,0
7,54,1173,0,0
8,54,1174,0,0
9,54,3098,0,0
10,54,3099,0,0
12,53,3095,1,1
13,53,3096,0,0
14,53,3097,0,0
15,53,4133,0,0
16,53,5116,0,0
17,53,1172,1,0
18,52,3092,1,1
19,53,143,1,0
20,53,144,1,0
21,53,145,1,0
22,53,146,1,0
23,53,391,1,0
24,53,2749,1,0
25,53,1171,1,0
26,52,139,1,0
27,52,1170,1,0
28,52,140,1,0
29,52,141,1,0
30,52,142,1,0
31,52,1171,1,0
32,52,2748,1,0
33,52,390,1,0
34,52,1169,1,0
