what_if_energy_optimization_output_id,scenario_id,model_tag_id,optimum,actual,polarity,data_timestamp
1001,31,22,158.647412582619,149.42922462972,NULL,2025-09-08 01:00:00.000
1002,31,23,136.291118991048,133.069687067456,NULL,2025-09-08 01:00:00.000
1003,31,177,189.990678879592,192.347990811666,NULL,2025-09-08 01:00:00.000
1004,31,199,6,5.25833705088298,0,2025-09-08 01:00:00.000
1005,31,426,200,200,NULL,2025-09-08 01:00:00.000
1006,31,1213,51.23,50.6122505859375,NULL,2025-09-08 01:00:00.000
1007,31,2917,22513.9611609252,22601.5825883911,1,2025-09-08 01:00:00.000
1008,31,2920,1800,1800,NULL,2025-09-08 01:00:00.000
1009,31,155,19484.1542473958,19509.4500421549,NULL,2025-09-08 01:00:00.000
1010,31,156,19484.1542473958,19509.4500421549,0,2025-09-08 01:00:00.000
1011,31,153,34664.4069688585,34867.4703241645,0,2025-09-08 01:00:00.000
1012,31,154,3486.52886197916,3368.99871223958,0,2025-09-08 01:00:00.000
1013,31,152,1658.6729206302,1660.92055486111,NULL,2025-09-08 01:00:00.000
1014,31,2415,0,0,NULL,2025-09-08 01:00:00.000
1015,31,220,1.96,1.95733333333333,NULL,2025-09-08 01:00:00.000
1016,31,2645,83.42,83.4288197716395,NULL,2025-09-08 01:00:00.000
1017,31,221,52.01,51.8669864967929,NULL,2025-09-08 01:00:00.000
1018,31,2646,86.68,87.6946181955446,NULL,2025-09-08 01:00:00.000
1019,31,222,58.15,56.1622193695153,NULL,2025-09-08 01:00:00.000
1020,31,2647,89.41,89.3862860708274,NULL,2025-09-08 01:00:00.000
1021,31,223,74.5,74.3499850535767,NULL,2025-09-08 01:00:00.000
1022,31,12,0,0,0,2025-09-08 01:00:00.000
1023,31,19,56.2705491191211,58.858109223956,1,2025-09-08 01:00:00.000
1024,31,15,49.6659858438757,50.3854414788367,1,2025-09-08 01:00:00.000
1025,31,13,0,0,0,2025-09-08 01:00:00.000
1026,31,20,35.2627476124986,28.6728923972448,0,2025-09-08 01:00:00.000
1027,31,16,58.6993380414302,83.2210490265952,1,2025-09-08 01:00:00.000
1028,31,14,0,0,0,2025-09-08 01:00:00.000
1029,31,21,28.2589086631606,29.8371381666925,1,2025-09-08 01:00:00.000
1030,31,17,22.4644912578006,22.2630099352201,0,2025-09-08 01:00:00.000
1031,31,2490,46.6691045130427,58.8906185950173,NULL,2025-09-08 01:00:00.000
1032,31,18,40.3188297362084,41.4277026557922,1,2025-09-08 01:00:00.000
1033,31,374,12.3106636511505,12.746,1,2025-09-08 01:00:00.000
1034,31,411,3.085,3.099,1,2025-09-08 01:00:00.000
1035,31,219,2.04,2.04,NULL,2025-09-08 01:00:00.000
1036,31,1212,12.96,13.2816888315837,NULL,2025-09-08 01:00:00.000
1037,31,2638,1,0.641156568527222,NULL,2025-09-08 01:00:00.000
1038,31,218,13.33,13.334,NULL,2025-09-08 01:00:00.000
1039,31,353,16.0800744190444,26.1210702388997,1,2025-09-08 01:00:00.000
1040,31,1190,438.82,435.953324247131,NULL,2025-09-08 01:00:00.000
1041,31,335,30.2455603805881,31.4535446166992,1,2025-09-08 01:00:00.000
1042,31,226,484.27948693772,478.404902668397,0,2025-09-08 01:00:00.000
1043,31,4123,1.09987387763129,1.09987387763129,0,2025-09-08 01:00:00.000
1044,31,4266,1.09984199449089,1.09984199449089,0,2025-09-08 01:00:00.000
1045,31,4139,1.39977452137038,1.39977452137038,0,2025-09-08 01:00:00.000
1046,31,4289,1.39821496161156,1.39821496161156,0,2025-09-08 01:00:00.000
1047,31,4152,1.17496631110381,1.17496631110381,0,2025-09-08 01:00:00.000
