tag_name,formula_expression
BLR_1_HPS_Gen,"if([BLR_1_HPS_Gen_raw]<0,0,[BLR_1_HPS_Gen_raw]/1000)"
BLR_2_HPS_Gen,"if([BLR_2_HPS_Gen_raw]<0,0,[BLR_2_HPS_Gen_raw]/1000)"
BLR_3_HPS_Gen,"if([BLR_3_HPS_Gen_raw]<0,0,[BLR_3_HPS_Gen_raw]/1000)"
BLR_4_HPS_Gen,"if([BLR_4_HPS_Gen_raw]<0,0,[BLR_4_HPS_Gen_raw]/1000)"
BLR_5_HPS_Gen,"if([BLR_5_HPS_Gen_raw]<0,0,[BLR_5_HPS_Gen_raw]/1000)"
FD_Fan_BLR_1_Steam,"if([FD_Fan_BLR_1_Steam_raw]<500,0,[FD_Fan_BLR_1_Steam_raw]/1000)"
FD_Fan_BLR_2_Steam,"if([FD_Fan_BLR_2_Steam_raw]<500,0,[FD_Fan_BLR_2_Steam_raw]/1000)"
FD_Fan_BLR_3_Steam,"if([FD_Fan_BLR_3_Steam_raw]<500,0,[FD_Fan_BLR_3_Steam_raw]/1000)"
FD_Fan_BLR_4_Steam,"if([FD_Fan_BLR_4_Steam_raw]<500,0,[FD_Fan_BLR_4_Steam_raw]/1000)"
FD_Fan_BLR_5_Steam,"if([FD_Fan_BLR_5_Steam_raw]<500,0,[FD_Fan_BLR_5_Steam_raw]/1000)"
Total_Fuel_for_Boilers,([Fuel_BLR_1]+[Fuel_BLR_2]+[Fuel_BLR_3]+[Fuel_BLR_4]+[Fuel_BLR_5])
Total_BLR_HPS_Generation,([BLR_1_HPS_Gen]+[BLR_2_HPS_Gen]+[BLR_3_HPS_Gen]+[BLR_4_HPS_Gen]+[BLR_5_HPS_Gen])
Steam_Generation_from_Boilers,([BLR_1_HPS_Gen]*[BLR_1_Status]+[BLR_2_HPS_Gen]*[BLR_2_Status]+[BLR_3_HPS_Gen]*[BLR_3_Status]+[BLR_4_HPS_Gen]*[BLR_4_Status]+[BLR_5_HPS_Gen]*[BLR_5_Status])
Boilers_Specific_Energy_Consumption,([Spec_En_Cons_BLR_1]*[BLR_1_Status]+[Spec_En_Cons_BLR_2]*[BLR_2_Status]+[Spec_En_Cons_BLR_3]*[BLR_3_Status]+[Spec_En_Cons_BLR_4]*[BLR_4_Status]+[Spec_En_Cons_BLR_5]*[BLR_5_Status])/[Total_Boilers_Running]
Buffer_Steam_in_Boilers,100
BLR_1_Capacity,150
BLR_2_Capacity,150
BLR_3_Capacity,150
BLR_4_Capacity,150
BLR_5_Capacity,150
Fuel_BLR_1,"if((([Boielr_A_Fuel_Gas_Flow]-[Fuel_BLR_1_raw])/[Boielr_A_Fuel_Gas_Flow]*100 > 2) || (([Boielr_A_Fuel_Gas_Flow]-[Fuel_BLR_1_raw])/[Boielr_A_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_1_raw],[Boielr_A_Fuel_Gas_Flow])*[BLR_1_Status]/1000 "
Fuel_BLR_2,"if((([Boielr_B_Fuel_Gas_Flow]-[Fuel_BLR_2_raw])/[Boielr_B_Fuel_Gas_Flow]*100 > 2) ||(([Boielr_B_Fuel_Gas_Flow]-[Fuel_BLR_2_raw])/[Boielr_B_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_2_raw],[Boielr_B_Fuel_Gas_Flow])*[BLR_2_Status]/1000"
Fuel_BLR_3,"if((([Boielr_C_Fuel_Gas_Flow]-[Fuel_BLR_3_raw])/[Boielr_C_Fuel_Gas_Flow]*100 > 2 )||(([Boielr_C_Fuel_Gas_Flow]-[Fuel_BLR_3_raw])/[Boielr_C_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_3_raw],[Boielr_C_Fuel_Gas_Flow])*[BLR_3_Status]/1000"
Fuel_BLR_4,"if((([Boielr_D_Fuel_Gas_Flow]-[Fuel_BLR_4_raw])/[Boielr_D_Fuel_Gas_Flow]*100 > 2) ||(([Boielr_D_Fuel_Gas_Flow]-[Fuel_BLR_4_raw])/[Boielr_D_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_4_raw],[Boielr_D_Fuel_Gas_Flow])*[BLR_4_Status]/1000"
Fuel_BLR_5,"if(((([Boielr_E_Fuel_Gas_Flow]/1.295)-[Fuel_BLR_5_raw])/([Boielr_E_Fuel_Gas_Flow]/1.295)*100 > 2) ||((([Boielr_E_Fuel_Gas_Flow]/1.295)-[Fuel_BLR_5_raw])/([Boielr_E_Fuel_Gas_Flow]/1.295)*100 < (-2)),[Fuel_BLR_5_raw],[Boielr_E_Fuel_Gas_Flow]/1.295)*[BLR_5_Status]/1000"
Fuel_BLR_1_Energy,([Fuel_BLR_1_corrected]*[BLR_1_Status]*[LHV])
Fuel_BLR_2_Energy,([Fuel_BLR_2_corrected]*[BLR_2_Status]*[LHV])
Fuel_BLR_3_Energy,([Fuel_BLR_3_corrected]*[BLR_3_Status]*[LHV])
Fuel_BLR_4_Energy,([Fuel_BLR_4_corrected]*[BLR_4_Status]*[LHV])
Fuel_BLR_5_Energy,([Fuel_BLR_5_corrected]*[BLR_5_Status]*[LHV])
BLR_1_HPS_Gen_Energy,[BLR_1_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000
BLR_2_HPS_Gen_Energy,[BLR_2_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000
BLR_3_HPS_Gen_Energy,[BLR_3_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000
BLR_4_HPS_Gen_Energy,[BLR_4_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000
BLR_5_HPS_Gen_Energy,[BLR_5_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000
FD_Fan_BLR_1_Steam_Energy,[FD_Fan_BLR_1_Steam]*([HP_Steam_Enthalpy]-[LP_Steam_Enthalpy])*4.184/1000
