tag_name,pi_name,tag_type,data_type
BLR_1_HPS_Gen_raw,UN.UO.71FI1101.PV,pi,real
BLR_2_HPS_Gen_raw,UN.UO.71FI1201.PV,pi,real
BLR_3_HPS_Gen_raw,UN.UO.71FI1301.PV,pi,real
BLR_4_HPS_Gen_raw,UN.UO.71FI1401.PV,pi,real
BLR_5_HPS_Gen_raw,UN.UO.71FI1501A.PV,pi,real
FD_Fan_BLR_1_Steam_raw,UN.UO.71FI1108.PV,pi,real
FD_Fan_BLR_2_Steam_raw,UN.UO.71FI1208.PV,pi,real
FD_Fan_BLR_3_Steam_raw,UN.UO.71FI1308.PV,pi,real
FD_Fan_BLR_4_Steam_raw,UN.UO.71FI1408.PV,pi,real
FD_Fan_BLR_5_Steam_raw,UN.UO.71FI1508.PV,pi,real
BLR_1_Status,,inferred,real
BLR_2_Status,,inferred,real
BLR_3_Status,,inferred,real
BLR_4_Status,,inferred,real
BLR_5_Status,,inferred,real
Total_Boilers_Running,,inferred,real
Fuel_BLR_1_raw,UN.UO.BO-7101A.Boiler_Corrected_Fuel_Flow_PEEO_CALC_OUTPUT,pi,real
Fuel_BLR_2_raw,UN.UO.BO-7101B.Boiler_Corrected_Fuel_Flow_PEEO_CALC_OUTPUT,pi,real
Fuel_BLR_3_raw,UN.UO.BO-7101C.Boiler_Corrected_Fuel_Flow_PEEO_CALC_OUTPUT,pi,real
Fuel_BLR_4_raw,UN.UO.BO-7101D.Boiler_Corrected_Fuel_Flow_PEEO_CALC_OUTPUT,pi,real
Fuel_BLR_5_raw,UN.UO.PK-7104E.Boiler_Corrected_Fuel_Flow_PEEO_CALC_OUTPUT,pi,real
BLR_1_HPS_Gen,,inferred,real
BLR_2_HPS_Gen,,inferred,real
BLR_3_HPS_Gen,,inferred,real
BLR_4_HPS_Gen,,inferred,real
BLR_5_HPS_Gen,,inferred,real
FD_Fan_BLR_1_Steam,,inferred,real
FD_Fan_BLR_2_Steam,,inferred,real
FD_Fan_BLR_3_Steam,,inferred,real
FD_Fan_BLR_4_Steam,,inferred,real
FD_Fan_BLR_5_Steam,,inferred,real
Total_Fuel_for_Boilers,,inferred,real
Total_BLR_HPS_Generation,,inferred,real
Steam_Generation_from_Boilers,UN.UO.Steam_Generation_From_Boilers_EO_CALC_OUTPUT,pi,real
Boilers_Specific_Energy_Consumption,UN.UO.Boilers_Specific_Energy_Consumption_EO_CALC_OUTPUT,pi,real
Buffer_Steam_in_Boilers,,inferred,real
BLR_1_Capacity,,inferred,real
BLR_2_Capacity,,inferred,real
BLR_3_Capacity,,inferred,real
BLR_4_Capacity,,inferred,real
BLR_5_Capacity,,inferred,real
Boiler_A_DSP_outlet_Temp,UN.UO.71TC1111.PV,pi,real
Boiler_A_DSP_outlet_Pressure,UN.UO.71PI1113.PV,pi,real
Boiler_B_DSP_outlet_Temp,UN.UO.71TC1211.PV,pi,real
Boiler_B_DSP_outlet_Pressure,UN.UO.71PI1213.PV,pi,real
Boiler_C_DSP_outlet_Temp,UN.UO.71TC1311.PV,pi,real
Boiler_C_DSP_outlet_Pressure,UN.UO.71PI1313.PV,pi,real
Boiler_D_DSP_outlet_Temp,UN.UO.71TC1411.PV,pi,real
Boiler_D_DSP_outlet_Pressure,UN.UO.71PI1413.PV,pi,real
Boiler_E_DSP_outlet_Temp,UN.UO.71TC1511.PV,pi,real
Boiler_E_DSP_outlet_Pressure,UN.UO.71PC1513.PV,pi,real
BOILER_FG_CH4_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51211.PV,pi,real
BOILER_FG_CO2_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51217.PV,pi,real
BOILER_FG_ETHANE_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51212.PV,pi,real
BOILER_FG_IC4_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51215.PV,pi,real
BOILER_FG_IC5_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI512111.PV,pi,real
BOILER_FG_N2_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51219.PV,pi,real
BOILER_FG_NC4_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51214.PV,pi,real
BOILER_FG_NC5_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI512110.PV,pi,real
BOILER_FG_PROPANE_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51213.PV,pi,real
Boiler_A_Combustion_Air_Temperature,UN.UO.71TI1114B.PV,pi,real
Boielr_A_Fuel_Gas_Flow,UN.UO.71FC1104.PV,pi,real
Boielr_B_Fuel_Gas_Flow,UN.UO.71FC1204.PV,pi,real
Boielr_C_Fuel_Gas_Flow,UN.UO.71FC1304.PV,pi,real
Boielr_D_Fuel_Gas_Flow,UN.UO.71FC1404.PV,pi,real
Boielr_E_Fuel_Gas_Flow,UN.UO.71FC1504.PV,pi,real
Fuel_BLR_1,,inferred,real
Fuel_BLR_2,,inferred,real
Fuel_BLR_3,,inferred,real
Fuel_BLR_4,,inferred,real
Fuel_BLR_5,,inferred,real
Fuel_BLR_1_Energy,,inferred,real
Fuel_BLR_2_Energy,,inferred,real
Fuel_BLR_3_Energy,,inferred,real
Fuel_BLR_4_Energy,,inferred,real
Fuel_BLR_5_Energy,,inferred,real
BLR_1_HPS_Gen_Energy,UN.UO.BO-7101A.Boiler_1_HPS_Generation_Energy_EO_CALC_OUTPUT,pi,real
BLR_2_HPS_Gen_Energy,UN.UO.BO-7101B.Boiler_2_HPS_Generation_Energy_EO_CALC_OUTPUT,pi,real
BLR_3_HPS_Gen_Energy,UN.UO.BO-7101C.Boiler_3_HPS_Generation_Energy_EO_CALC_OUTPUT,pi,real
BLR_4_HPS_Gen_Energy,UN.UO.BO-7101D.Boiler_4_HPS_Generation_Energy_EO_CALC_OUTPUT,pi,real
BLR_5_HPS_Gen_Energy,UN.UO.PK-7104E.Boiler_5_HPS_Generation_Energy_EO_CALC_OUTPUT,pi,real
FD_Fan_BLR_1_Steam_Energy,,inferred,real
FD_Fan_BLR_2_Steam_Energy,,inferred,real
FD_Fan_BLR_3_Steam_Energy,,inferred,real
FD_Fan_BLR_4_Steam_Energy,,inferred,real
FD_Fan_BLR_5_Steam_Energy,,inferred,real
BOILER_A_CBD,UN.UO.71FC1100.PV,pi,real
BOILER_B_CBD,UN.UO.71FC1200.PV,pi,real
BOILER_C_CBD,UN.UO.71FC1300.PV,pi,real
BOILER_D_CBD,UN.UO.71FC1400.PV,pi,real
BOILER_E_CBD,UN.UO.71FC1500.PV,pi,real
Boiler_CBD,UN.UO.Boiler_CBD_EO_CALC_OUTPUT,pi,real
BOILER_A_CO2_Fuel_Emission_Factor,UN.UO.BO-7101A.Boiler_Co2_Formed_PEEO_CALC_OUTPUT,pi,real
BOILER_B_CO2_Fuel_Emission_Factor,UN.UO.BO-7101B.Boiler_Co2_Formed_PEEO_CALC_OUTPUT,pi,real
BOILER_C_CO2_Fuel_Emission_Factor,UN.UO.BO-7101C.Boiler_Co2_Formed_PEEO_CALC_OUTPUT,pi,real
BOILER_D_CO2_Fuel_Emission_Factor,UN.UO.BO-7101D.Boiler_Co2_Formed_PEEO_CALC_OUTPUT,pi,real
BOILER_E_CO2_Fuel_Emission_Factor,UN.UO.PK-7104E.Boiler_Co2_Formed_PEEO_CALC_OUTPUT,pi,real
Costing_total_Fuel_Cost,,inferred,real
Total_BLR_HPS_Generation_ub,UN.UO.Total_BLR_HPS_Generation_Upper_Bound_EO_CALC_OUTPUT,pi,real
Steam_Generation_from_Boilers_Benefit,,inferred,real
Total_BLR_HPS_Generation_Benefit,,inferred,real
BLR_1_HPS_Gen_Benefit,,inferred,real
BLR_2_HPS_Gen_Benefit,,inferred,real
BLR_3_HPS_Gen_Benefit,,inferred,real
BLR_4_HPS_Gen_Benefit,,inferred,real
BLR_5_HPS_Gen_Benefit,,inferred,real
Total_Fuel_for_Boilers_Benefit,,inferred,real
FD_Fan_BLR_1_Steam_Benefit,,inferred,real
FD_Fan_BLR_2_Steam_Benefit,,inferred,real
FD_Fan_BLR_3_Steam_Benefit,,inferred,real
FD_Fan_BLR_4_Steam_Benefit,,inferred,real
FD_Fan_BLR_5_Steam_Benefit,,inferred,real
Boiler_A_Duty,,inferred,real
Boiler_B_Duty,,inferred,real
Boiler_C_Duty,,inferred,real
Boiler_D_Duty,,inferred,real
Boiler_E_Duty,,inferred,real
Total_Fuel_for_Boilers_benifit,,inferred,real
BOILER_A_FLUE_GAS_OXGYGEN,UN.UO.71AC1104.PV,pi,real
BOILER_B_FLUE_GAS_OXGYGEN,UN.UO.71AC1204.PV,pi,real
BOILER_C_FLUE_GAS_OXGYGEN,UN.UO.71AC1304.PV,pi,real
BOILER_D_FLUE_GAS_OXGYGEN,UN.UO.71AC1404.PV,pi,real
Boiler_5_O2,UN.UO.71AC1504AA.PV,pi,real
BOILER_A_CONDUCTIVITY,UN.UO.71AC1101.PV,pi,real
BOILER_B_CONDUCTIVITY,UN.UO.71AC1201.PV,pi,real
BOILER_C_CONDUCTIVITY,UN.UO.71AC1301.PV,pi,real
BOILER_D_CONDUCTIVITY,UN.UO.71AC1401.PV,pi,real
BOILER_E_CONDUCTIVITY,UN.UO.71AC1501A.PV,pi,real
