model_id,tag_name,data_enrichment_inferred_calculation,post_optimizer_inferred_calculation,pre_optimizer_iterative_inferred,data_ingestion_seu_seec_inferred_calc,data_enrichment_peeo_adjusted_inferred,whatif_inferred
1.0,Buffer_Steam_in_Boilers,1.0,,,,,1.0
1.0,BLR_1_Capacity,1.0,,,,,1.0
1.0,BLR_2_Capacity,1.0,,,,,1.0
1.0,BLR_3_Capacity,1.0,,,,,1.0
1.0,BLR_4_Capacity,1.0,,,,,1.0
1.0,BLR_5_Capacity,1.0,,,,,1.0
1.0,Boiler_Fg_Ethylene_Concentration,1.0,,,,,1.0
1.0,Boiler_A_Air_Cp_Ref_T,1.0,,,,,1.0
1.0,Boiler_B_Air_Cp_Ref_T,1.0,,,,,1.0
1.0,Boiler_C_Air_Cp_Ref_T,1.0,,,,,1.0
1.0,Boiler_D_Air_Cp_Ref_T,1.0,,,,,1.0
1.0,Boiler_E_Air_Cp_Ref_T,1.0,,,,,1.0
1.0,BLR_1_HPS_Gen,1.0,,,1.0,,1.0
1.0,BLR_2_HPS_Gen,1.0,,,1.0,,1.0
1.0,BLR_3_HPS_Gen,1.0,,,1.0,,1.0
1.0,BLR_4_HPS_Gen,1.0,,,1.0,,1.0
1.0,BLR_5_HPS_Gen,1.0,,,1.0,,1.0
1.0,Total_BLR_HPS_Generation,1.0,,,,,1.0
1.0,Fuel_BLR_1,1.0,,,1.0,,1.0
1.0,Fuel_BLR_2,1.0,,,1.0,,1.0
1.0,Fuel_BLR_3,1.0,,,1.0,,1.0
1.0,Fuel_BLR_4,1.0,,,1.0,,1.0
1.0,Fuel_BLR_5,1.0,,,1.0,,1.0
1.0,Boiler_opt_running,1.0,,,,,1.0
1.0,Boiler_B_Cp_Of_H2O_At_Stack_Temperature,1.0,,,,,1.0
1.0,Boiler_A_Boiler_Load,1.0,,,,,1.0
1.0,Boiler_A_Status,1.0,,,,,1.0
1.0,Boiler_Fg_N2_Concentration,1.0,,,,,1.0
1.0,Boiler_Fg_Ch4_Concentration,1.0,,,,,1.0
1.0,Boiler_Fg_Ethane_Concentration,1.0,,,,,1.0
1.0,Boiler_Fg_Propane_Concentration,1.0,,,,,1.0
1.0,Boiler_Fg_Nc4_Concentration,1.0,,,,,1.0
1.0,Boiler_Fg_Ic4_Concentration,1.0,,,,,1.0
1.0,Boiler_Fg_Nc5_Concentration,1.0,,,,,1.0
1.0,Boiler_Fg_Ic5_Concentration,1.0,,,,,1.0
1.0,Boiler_Fg_Hydrogen_Concentration,1.0,,,,,1.0
1.0,Boiler_A_Fuel_Composition_Total,1.0,,,,,1.0
1.0,Boiler_A_Fg_Mw,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ch4_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ethane_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ethylene_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Propane_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Nitrogen_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Hydrogen_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ic4_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Nc4_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Nc5_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ic5_Mass_Percentage,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ch4_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ethane_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ethylene_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_A_Fg_Propane_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_A_Fg_Nitrogen_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_A_Fg_Hydrogen_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ic4_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_A_Fg_Nc4_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_A_Fg_Nc5_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_A_Fg_Ic5_Mass_Fraction,1.0,,,,,1.0
1.0,Boiler_Lhv,1.0,,,,,1.0
1.0,Boiler_A_Air_Required_For_H2_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Air_Required_For_Ch4_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Air_Required_For_Ethane_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Air_Required_For_Ethylene_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Air_Required_For_Propane_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Air_Required_For_Nc4_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Air_Required_For_Ic4_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Air_Required_For_Nc5_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Air_Required_For_Ic5_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Ch4_Co2_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Ethane_Co2_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Ethylene_Co2_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Propane_Co2_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Nc4_Co2_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Ic4_Co2_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Nc5_Co2_Combustion,1.0,,,,,1.0
1.0,Boiler_A_Ic5_Co2_Combustion,1.0,,,,,1.0
