asset_name,key,value
HOUSE,total_steam_demand_t_h,650.0
HOUSE,total_max_fuel_consumption_gj_h,2200.0
HOUSE,total_steam_generation_t_h,710.0
HOUSE,total_fuel_consumption_gj_h,1895.057028
HOUSE,overall_efficiency_pct,92.32774398478712
HOUSE,overall_sec_gj_per_t_steam,2.669094405633803
HOUSE,constraint_violations,[BLR-1] Mass balance deviation (5.24%) exceeds threshold (±2.0%) | [BLR-1] Energy balance deviation (-8.36%) exceeds threshold (±2.0%) | [BLR-2] Mass balance deviation (5.18%) exceeds threshold (±2.0%) | [BLR-2] Energy balance deviation (-8.40%) exceeds threshold (±2.0%) | [BLR-3] Mass balance deviation (4.91%) exceeds threshold (±2.0%) | [BLR-3] Energy balance deviation (-8.42%) exceeds threshold (±2.0%) | [BLR-4] Mass balance deviation (5.96%) exceeds threshold (±2.0%) | [BLR-4] Energy balance deviation (-9.02%) exceeds threshold (±2.0%) | [BLR-5] Mass balance deviation (4.77%) exceeds threshold (±2.0%) | [BLR-5] Energy balance deviation (-7.81%) exceeds threshold (±2.0%) | [BLR-6] Mass balance deviation (5.23%) exceeds threshold (±2.0%) | [BLR-6] Energy balance deviation (-9.51%) exceeds threshold (±2.0%)
BLR-1,steam_flow_t_h,118.0
BLR-1,steam_pressure_bar,63.0
BLR-1,steam_temperature_c,485.0
BLR-1,feedwater_flow_t_h,122.0
BLR-1,feedwater_temperature_c,138.0
BLR-1,fuel_flow_nm3_h,8350.0
BLR-1,fuel_ch4_mol_pct,90.5
BLR-1,fuel_c2h6_mol_pct,4.8
BLR-1,fuel_c3h8_mol_pct,1.9
BLR-1,fuel_c4h10_mol_pct,0.4
BLR-1,fuel_h2_mol_pct,0.1
BLR-1,fuel_co_mol_pct,0.0
BLR-1,fuel_co2_mol_pct,1.3
BLR-1,fuel_n2_mol_pct,1.0
BLR-1,flue_o2_pct,3.2
BLR-1,stack_temperature_c,168.0
BLR-1,ambient_t_c,32.0
BLR-1,radiation_loss_pct,0.8
BLR-1,cbd_flow_m3_h,2.2
BLR-1,attemperator_spray_t_h,4.5
BLR-1,co2_emission_factor_kg_per_gj,56.1
BLR-1,eco_fw_inlet_t_c,138.0
BLR-1,eco_fw_outlet_t_c,195.0
BLR-1,eco_fw_cp_kj_kg_k,4.18
BLR-1,eco_flue_inlet_t_c,310.0
BLR-1,eco_flue_outlet_t_c,168.0
BLR-1,eco_design_ua_kw_k,160.0
BLR-1,sh1_steam_pressure_bar,63.0
BLR-1,sh1_steam_inlet_t_c,285.0
BLR-1,sh1_steam_outlet_t_c,360.0
BLR-1,sh1_steam_flow_t_h,118.0
BLR-1,sh1_flue_inlet_t_c,750.0
BLR-1,sh1_flue_outlet_t_c,500.0
BLR-1,sh1_design_ua_kw_k,95.0
BLR-1,sh2_steam_pressure_bar,63.0
BLR-1,sh2_steam_inlet_t_c,360.0
BLR-1,sh2_steam_outlet_t_c,485.0
BLR-1,sh2_steam_flow_t_h,118.0
BLR-1,sh2_flue_inlet_t_c,1050.0
BLR-1,sh2_flue_outlet_t_c,750.0
BLR-1,sh2_design_ua_kw_k,75.0
BLR-1,desuperheater_water_t_c,138.0
BLR-1,desuperheater_steam_inlet_t_c,400.0
BLR-1,desuperheater_steam_outlet_t_c,360.0
