asset_name,key,value
HOUSE,total_steam_demand_t_h,118
HOUSE,total_max_fuel_consumption_gj_h,400
HOUSE,total_steam_generation_t_h,118
HOUSE,total_fuel_consumption_gj_h,315.213669
HOUSE,overall_efficiency_pct,92.79205718
HOUSE,overall_sec_gj_per_t_steam,2.67130228
HOUSE,constraint_violations,[BLR-1] Mass balance deviation (5.24%) exceeds threshold (±2.0%) | [BLR-1] Energy balance deviation (-8.36%) exceeds threshold (±2.0%)
BLR-1,steam_flow_t_h,118
BLR-1,steam_pressure_bar,63
BLR-1,steam_temperature_c,485
BLR-1,feedwater_flow_t_h,122
BLR-1,feedwater_temperature_c,138
BLR-1,fuel_flow_nm3_h,8350
BLR-1,fuel_ch4_mol_pct,90.5
BLR-1,fuel_c2h6_mol_pct,4.8
BLR-1,fuel_c3h8_mol_pct,1.9
BLR-1,fuel_c4h10_mol_pct,0.4
BLR-1,fuel_h2_mol_pct,0.1
BLR-1,fuel_co_mol_pct,0
BLR-1,fuel_co2_mol_pct,1.3
BLR-1,fuel_n2_mol_pct,1
BLR-1,flue_o2_pct,3.2
BLR-1,stack_temperature_c,168
BLR-1,ambient_t_c,32
BLR-1,radiation_loss_pct,0.8
BLR-1,cbd_flow_m3_h,2.2
BLR-1,attemperator_spray_t_h,4.5
BLR-1,co2_emission_factor_kg_per_gj,56.1
BLR-1,eco_fw_inlet_t_c,138
BLR-1,eco_fw_outlet_t_c,195
BLR-1,eco_fw_cp_kj_kg_k,4.18
BLR-1,eco_flue_inlet_t_c,310
BLR-1,eco_flue_outlet_t_c,168
BLR-1,eco_design_ua_kw_k,160
BLR-1,sh1_steam_pressure_bar,63
BLR-1,sh1_steam_inlet_t_c,285
BLR-1,sh1_steam_outlet_t_c,360
BLR-1,sh1_steam_flow_t_h,118
BLR-1,sh1_flue_inlet_t_c,750
BLR-1,sh1_flue_outlet_t_c,500
BLR-1,sh1_design_ua_kw_k,95
BLR-1,sh2_steam_pressure_bar,63
BLR-1,sh2_steam_inlet_t_c,360
BLR-1,sh2_steam_outlet_t_c,485
BLR-1,sh2_steam_flow_t_h,118
BLR-1,sh2_flue_inlet_t_c,1050
BLR-1,sh2_flue_outlet_t_c,750
BLR-1,sh2_design_ua_kw_k,75
BLR-1,desuperheater_water_t_c,138
BLR-1,desuperheater_steam_inlet_t_c,400
BLR-1,desuperheater_steam_outlet_t_c,360
BLR-1,aph_air_inlet_t_c,32
BLR-1,aph_air_outlet_t_c,210
BLR-1,aph_air_flow_nm3_h,86000
BLR-1,aph_air_cp_kj_kg_k,1.006
BLR-1,aph_air_density_kg_nm3,1.2
BLR-1,min_steam_flow_t_h,50
BLR-1,max_steam_flow_t_h,140
BLR-1,max_fuel_flow_nm3_h,10500
BLR-1,mass_balance_threshold_pct,2
BLR-1,energy_balance_threshold_pct,2
BLR-1,use_direct_efficiency,0
BLR-1,fuel_lhv_mj_per_nm3,37.75014
BLR-1,total_energy_supply_gj_h,315.213669
BLR-1,useful_heat_gj_h,330.2738775
BLR-1,boiler_efficiency_pct,92.79205718
BLR-1,indirect_efficiency_pct,92.79205718
BLR-1,sec_gj_per_t_steam,2.67130228
BLR-1,mass_balance_deviation_pct,5.241264559
BLR-1,energy_balance_deviation_pct,-8.363760093
BLR-1,economizer_duty_gj_h,29.06772
BLR-1,economizer_ua_kw_k,127.6447888
BLR-1,economizer_approach_c,30
BLR-1,economizer_fouling_factor,0.253478513
BLR-1,economizer_fouling_resistance_k_kw,0.001584241
BLR-1,sh1_duty_gj_h,29.96703534
BLR-1,sh1_ua_kw_k,28.32639776
BLR-1,sh1_approach_c,215
BLR-1,sh1_fouling_factor,2.353762127
BLR-1,sh1_fouling_resistance_k_kw,0.024776443
BLR-1,sh2_duty_gj_h,37.62489992
BLR-1,sh2_ua_kw_k,22.13771425
BLR-1,sh2_approach_c,390
BLR-1,sh2_fouling_factor,2.387883643
BLR-1,sh2_fouling_resistance_k_kw,0.031838449
BLR-1,desuperheater_duty_gj_h,11.16034237
BLR-1,desuperheater_temp_drop_c,40
