tag_name,category,formula,status,value,missing_inputs
Air_Comp_Flag,Boiler -- Air System,"if([Air_Compressor_Drives_Running]-if(([Total_Air_Demand_Adjusted]+ [Buffer_in_Air_Flow_Margin])>32,3,2)==0,1,0)",missing_inputs,,Air_Compressor_Drives_Running; Total_Air_Demand_Adjusted
Air_Imbalance,Boiler -- Air System,[Total_Air_to_Header]-[Total_Air_Consumption],pi_value,10.787547,
Air_KPI_doller,Boiler -- Air System,(([Air_Compressor_Turbine_A_Steam]+[Air_Compressor_Turbine_D_Steam])*(([HP_Steam_Enthalpy]-[LP_Steam_Enthalpy])*4.184*[HP_Steam_enthalpy_Cost]/1000)+([Air_Compressor_Motor_B_Power]+[Air_Compressor_Mot,missing_inputs,,Air_compressor_A_Discharge_flow; Air_compressor_D_Discharge_flow; HP_Steam_enthalpy_Cost
Air_cost_factor,Boiler -- Air System,((([Air_Compressor_Turbine_A_Steam_optimum]+[Air_Compressor_Turbine_D_Steam_optimum])*(([HP_Steam_Enthalpy_optimum]-[LP_Steam_Enthalpy_optimum])*4.184*[HP_Steam_enthalpy_Cost_optimum]/1000)+([Air_Comp,missing_inputs,,Air_Compressor_Motor_B_Power_actual; Air_Compressor_Motor_B_Power_optimum; Air_Compressor_Motor_C_Power_actual; Air_Compressor_Motor_C_Power_optimum; Air_Compressor_Turbine_A_Steam_actual; Air_Compressor_Turbine_A_Steam_optimum; Air_Compressor_Turbine_D_Steam_actual; Air_Compressor_Turbine_D_Steam_optimum; Air_compressor_A_Discharge_flow_actual; Air_compressor_A_Discharge_flow_optimum; Air_compressor_B_Discharge_flow_actual; Air_compressor_B_Discharge_flow_optimum; Air_compressor_C_Discharge_flow_actual; Air_compressor_C_Discharge_flow_optimum; Air_compressor_D_Discharge_flow_actual; Air_compressor_D_Discharge_flow_optimum; HP_Steam_Enthalpy_actual; HP_Steam_Enthalpy_optimum; HP_Steam_enthalpy_Cost_actual; HP_Steam_enthalpy_Cost_optimum; LP_Steam_Enthalpy_actual; LP_Steam_Enthalpy_optimum; Power_Rate_actual; Power_Rate_optimum
Air_cost_from_motors,Boiler -- Air System,([Air_Compressor_Motor_B_Power]+[Air_Compressor_Motor_C_Power])*3.6*[Power_Rate]/([Air_compressor_B_Discharge_flow]+[Air_compressor_C_Discharge_flow]),computed,4.988711,
Air_cost_target,Boiler -- Air System,[Air_cost_factor_actual]*[Air_KPI_doller_actual],missing_inputs,,Air_KPI_doller_actual; Air_cost_factor_actual
Air_density,Boiler -- Air System,1.2929999999999999,computed,1.293,
Air_vent_upper_bound,Boiler -- Air System,10,computed,10.0,
BFW_A_Cost,Boiler -- BFW System,[BFW_A_Motor_Power]*3.6*[Power_Rate],missing_inputs,,BFW_A_Motor_Power
BFW_A_Motor_Status,Boiler -- BFW System,"if(([BFW_A_AMPS]>60)||([BFW_A_Vibrations]>10)||([BFW_A_Bearing_temp]>60),1,0)","eval_error:SyntaxError:invalid syntax (<string>, line 1)",,
BFW_B_Turb_Status,Boiler -- BFW System,"if(([BFW_B_Turb_Steam_raw]/1000)>8,1,0)",computed,1.0,
BFW_C_Turb_Status,Boiler -- BFW System,"if(([BFW_C_Turb_Steam_raw]/1000)>8,1,0)",computed,1.0,
BFW_Cost,Boiler -- BFW System,[Total_BFW_cost_per_hour]/[Total_BLR_HPS_Generation],missing_inputs,,Total_BFW_cost_per_hour
BFW_D_Cost,Boiler -- BFW System,[BFW_D_Motor_Power]*3.6*[Power_Rate],missing_inputs,,BFW_D_Motor_Power
BFW_D_Motor_Status,Boiler -- BFW System,"if(([BFW_D_AMPS]>60)||([BFW_D_Vibrations]>10)||([BFW_D_Bearing_temp]>60),1,0)","eval_error:SyntaxError:invalid syntax (<string>, line 1)",,
