tag_name,kind,blr_scope,blr_unit,priority_minlp,hierarchy_element_path,hierarchy_leaf_element,hierarchy_attribute_name,pi_sensor,pi_status,depends_on_pi_sensors,n_pi_sensors,formula,refs
Total_BLR_HPS_Generation,inferred,boiler,,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,([BLR_1_HPS_Gen]+[BLR_2_HPS_Gen]+[BLR_3_HPS_Gen]+[BLR_4_HPS_Gen]+[BLR_5_HPS_Gen]),BLR_1_HPS_Gen; BLR_2_HPS_Gen; BLR_3_HPS_Gen; BLR_4_HPS_Gen; BLR_5_HPS_Gen
Total_Boilers_Running,inferred,boiler,,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,[BLR_1_Status]+[BLR_2_Status]+[BLR_3_Status]+[BLR_4_Status]+[BLR_5_Status],BLR_1_Status; BLR_2_Status; BLR_3_Status; BLR_4_Status; BLR_5_Status
VHP_BFW_Drives_Running,inferred,boiler,,1,,,,,,,0,[VHP_BFW_B_Turb_Status]+[VHP_BFW_C_Turb_Status]+[VHP_BFW_A_Motor_Status],VHP_BFW_A_Motor_Status; VHP_BFW_B_Turb_Status; VHP_BFW_C_Turb_Status
VHP_BFW_Turbines_Running,inferred,boiler,,1,,,,,,,0,[VHP_BFW_B_Turb_Status]+[VHP_BFW_C_Turb_Status],VHP_BFW_B_Turb_Status; VHP_BFW_C_Turb_Status
VHP_BFW_to_ETH,inferred,boiler,,1,,,,,,,0,"if([ETH_Plant_Status]==0,0,([VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O]))",ETH_Plant_Status; VHP_BFW_FROM_U_O; VHP_DESPHTR_BFW_FROM_U_O
BLR_1_HPS_Gen,inferred,boiler,BLR_1,1,,,,,,UN.UO.71FI1101.PV,1,"if([BLR_1_HPS_Gen_raw]<0,0,[BLR_1_HPS_Gen_raw]/1000)",BLR_1_HPS_Gen_raw
FD_Fan_BLR_1_Steam,inferred,boiler,BLR_1,1,,,,,,,0,"if([FD_Fan_BLR_1_Steam_raw]<500,0,[FD_Fan_BLR_1_Steam_raw]/1000)",FD_Fan_BLR_1_Steam_raw
Fuel_BLR_1,inferred,boiler,BLR_1,1,,,,,,UN.UO.71FC1104.PV; UN.UO.71FI1101.PV,2,"if((([Boielr_A_Fuel_Gas_Flow]-[Fuel_BLR_1_raw])/[Boielr_A_Fuel_Gas_Flow]*100 > 2) || (([Boielr_A_Fuel_Gas_Flow]-[Fuel_BLR_1_raw])/[Boielr_A_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_1_raw],[Boielr_A_Fuel_Gas_Flow])*[BLR_1_Status]/1000 ",BLR_1_Status; Boielr_A_Fuel_Gas_Flow; Fuel_BLR_1_raw
Spec_En_Cons_BLR_1,inferred,boiler,BLR_1,1,,,,,,UN.UO.71FC1104.PV; UN.UO.71FI1101.PV,2,"if([BLR_1_HPS_Gen]==0,0,[Fuel_BLR_1]*[LHV]/[BLR_1_HPS_Gen])",BLR_1_HPS_Gen; Fuel_BLR_1; LHV
VHP_BFW_A_Motor_Power,inferred,boiler,BLR_1,1,,,,,,,0,1.73*[Voltage_LP]*[VHP_BFW_A_AMPS]*[VHP_BFW_A_Motor_Status]*[power_factor]/1000/1000,VHP_BFW_A_AMPS; VHP_BFW_A_Motor_Status; Voltage_LP; power_factor
