tag_name,pi_sensor,scope,blr_unit,measurement_type,pi_found
BOILER_FG_CH4_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51211.PV,boiler_equipment,ARRAZI,Flue Gas Composition (Arrazi),True
BOILER_FG_ETHANE_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51212.PV,boiler_equipment,ARRAZI,Flue Gas Composition (Arrazi),True
BOILER_FG_IC4_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51215.PV,boiler_equipment,ARRAZI,Flue Gas Composition (Arrazi),True
BOILER_FG_IC5_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI512111.PV,boiler_equipment,ARRAZI,Flue Gas Composition (Arrazi),True
BOILER_FG_N2_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51219.PV,boiler_equipment,ARRAZI,Flue Gas Composition (Arrazi),True
BOILER_FG_NC4_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51214.PV,boiler_equipment,ARRAZI,Flue Gas Composition (Arrazi),True
BOILER_FG_NC5_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI512110.PV,boiler_equipment,ARRAZI,Flue Gas Composition (Arrazi),True
BOILER_FG_PROPANE_CONCENTRATION_ARRAZI,AR.AR5.DCS.Process.AI51213.PV,boiler_equipment,ARRAZI,Flue Gas Composition (Arrazi),True
BLR_1_HPS_Gen_raw,UN.UO.71FI1101.PV,boiler_equipment,BLR_1,Steam Generation,True
BOILER_A_CBD,UN.UO.71FC1100.PV,boiler_equipment,BLR_1,Continuous Blowdown,True
BOILER_A_CO2_Fuel_Emission_Factor,UN.UO.BO-7101A.Boiler_Co2_Formed_PEEO_CALC_OUTPUT,boiler_equipment,BLR_1,CO2 Emission Factor (PEEO),True
BOILER_A_CONDUCTIVITY,UN.UO.71AC1101.PV,boiler_equipment,BLR_1,Boiler Water Conductivity,True
BOILER_A_FLUE_GAS_OXGYGEN,UN.UO.71AC1104.PV,boiler_equipment,BLR_1,Other,True
BOILER_A_PH_ANALYZER,UN.UO.71AI1102.PV,boiler_equipment,BLR_1,Boiler Water pH,True
BOILER_A_STACK_TEMPERATURE,UN.UO.71TI1107.PV,boiler_equipment,BLR_1,Stack Temperature,True
Boielr_A_Fuel_Gas_Flow,UN.UO.71FC1104.PV,boiler_equipment,BLR_1,Fuel Gas Flow,True
Boiler_A_Combustion_Air_Temperature,UN.UO.71TI1114B.PV,boiler_equipment,BLR_1,Combustion Air Temperature,True
Boiler_A_Main_Fuel_Gas_Temperature,UN.UO.71TI1113.PV,boiler_equipment,BLR_1,Fuel Gas Temperature,True
FD_Fan_BLR_1_Steam_raw,UN.UO.71FI1108.PV,boiler_equipment,BLR_1,FD Fan Inlet Steam,True
Fuel_BLR_1_raw,UN.UO.BO-7101A.Boiler_Corrected_Fuel_Flow_PEEO_CALC_OUTPUT,boiler_equipment,BLR_1,Fuel Flow (PEEO corrected),True
BFW_B_Turb_Steam_raw,UN.UO.71FI1812.PV,boiler_equipment,BLR_2,BFW Pump Driver Steam,True
BLR_2_HPS_Gen_raw,UN.UO.71FI1201.PV,boiler_equipment,BLR_2,Steam Generation,True
BOILER_B_CBD,UN.UO.71FC1200.PV,boiler_equipment,BLR_2,Continuous Blowdown,True
BOILER_B_CO2_Fuel_Emission_Factor,UN.UO.BO-7101B.Boiler_Co2_Formed_PEEO_CALC_OUTPUT,boiler_equipment,BLR_2,CO2 Emission Factor (PEEO),True
BOILER_B_CONDUCTIVITY,UN.UO.71AC1201.PV,boiler_equipment,BLR_2,Boiler Water Conductivity,True
BOILER_B_FLUE_GAS_OXGYGEN,UN.UO.71AC1204.PV,boiler_equipment,BLR_2,Other,True
BOILER_B_PH_ANALYZER,UN.UO.71AI1202.PV,boiler_equipment,BLR_2,Boiler Water pH,True
BOILER_B_STACK_TEMPERATURE,UN.UO.71TI1207.PV,boiler_equipment,BLR_2,Stack Temperature,True
Boielr_B_Fuel_Gas_Flow,UN.UO.71FC1204.PV,boiler_equipment,BLR_2,Fuel Gas Flow,True
Boiler_B_Combustion_Air_Temperature,UN.UO.71TI1214B.PV,boiler_equipment,BLR_2,Combustion Air Temperature,True
Boiler_B_Main_Fuel_Gas_Temperature,UN.UO.71TI1213.PV,boiler_equipment,BLR_2,Fuel Gas Temperature,True
FD_Fan_BLR_2_Steam_raw,UN.UO.71FI1208.PV,boiler_equipment,BLR_2,FD Fan Inlet Steam,True
Fuel_BLR_2_raw,UN.UO.BO-7101B.Boiler_Corrected_Fuel_Flow_PEEO_CALC_OUTPUT,boiler_equipment,BLR_2,Fuel Flow (PEEO corrected),True
VHP_BFW_B_Turb_Steam_raw,UN.UO.71FI1814.PV,boiler_equipment,BLR_2,BFW Pump Driver Steam,True
BFW_C_Turb_Steam_raw,UN.UO.71FI1813.PV,boiler_equipment,BLR_3,BFW Pump Driver Steam,True
