asset_name,key,value
HOUSE,total_steam_demand_t_h,550
HOUSE,total_max_fuel_consumption_gj_h,2000
BLR-1,steam_flow_t_h,120
BLR-1,steam_pressure_bar,63
BLR-1,steam_temperature_c,485
BLR-1,feedwater_flow_t_h,124
BLR-1,feedwater_temperature_c,140
BLR-1,fuel_flow_nm3_h,8400
BLR-1,fuel_ch4_mol_pct,90
BLR-1,fuel_c2h6_mol_pct,5
BLR-1,fuel_c3h8_mol_pct,2
BLR-1,fuel_c4h10_mol_pct,0.5
BLR-1,fuel_h2_mol_pct,0
BLR-1,fuel_co_mol_pct,0
BLR-1,fuel_co2_mol_pct,1.5
BLR-1,fuel_n2_mol_pct,1
BLR-1,flue_o2_pct,4
BLR-1,stack_temperature_c,180
BLR-1,ambient_t_c,25
BLR-1,radiation_loss_pct,1
BLR-1,cbd_flow_m3_h,2.5
BLR-1,attemperator_spray_t_h,0
BLR-1,co2_emission_factor_kg_per_gj,56.1
BLR-1,eco_fw_inlet_t_c,140
BLR-1,eco_fw_outlet_t_c,220
BLR-1,eco_fw_cp_kj_kg_k,4.18
BLR-1,sh1_steam_pressure_bar,63
BLR-1,sh1_steam_inlet_t_c,280
BLR-1,sh1_steam_outlet_t_c,350
BLR-1,sh1_steam_flow_t_h,120
BLR-1,sh2_steam_pressure_bar,63
BLR-1,sh2_steam_inlet_t_c,350
BLR-1,sh2_steam_outlet_t_c,485
BLR-1,sh2_steam_flow_t_h,120
BLR-1,aph_air_inlet_t_c,25
BLR-1,aph_air_outlet_t_c,180
BLR-1,aph_air_flow_nm3_h,88000
BLR-1,aph_air_cp_kj_kg_k,1.006
BLR-1,aph_air_density_kg_nm3,1.2
BLR-1,min_steam_flow_t_h,50
BLR-1,max_steam_flow_t_h,150
BLR-1,max_fuel_flow_nm3_h,10000
BLR-1,eco_flue_inlet_t_c,300
BLR-1,eco_flue_outlet_t_c,150
BLR-1,eco_design_ua_kw_k,150
BLR-1,eco_fw_inlet_t_c,120
BLR-1,eco_fw_outlet_t_c,180
BLR-1,eco_fw_cp_kj_kg_k,4.2
BLR-1,desuperheater_water_t_c,120
BLR-1,desuperheater_steam_inlet_t_c,380
BLR-1,desuperheater_steam_outlet_t_c,350
BLR-1,attemperator_spray_t_h,5
BLR-2,steam_flow_t_h,120
BLR-2,steam_pressure_bar,63
BLR-2,steam_temperature_c,485
BLR-2,feedwater_flow_t_h,124
BLR-2,feedwater_temperature_c,140
BLR-2,fuel_flow_nm3_h,8400
BLR-2,fuel_ch4_mol_pct,90
