element_id,element_path,element_type,attribute_name,inferred_tag,value,is_on
k_ykcy36,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerA-specific_boiler_a > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Flame Status,Boiler_A_Status,1.0,True
k_ykcy36,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerA-specific_boiler_a > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Pilot Status,Boiler_A_Status,1.0,True
k_1clqogn,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerA-specific_boiler_a > Utility Unit Specific Boiler Soot Blower SystemA,Utility Unit Specific Boiler Soot Blower System,Cycle Status,Boiler_A_Status,1.0,True
k_1tc26aa,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerB-specific_boiler_b > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Flame Status,Boiler_B_Status,1.0,True
k_1tc26aa,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerB-specific_boiler_b > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Pilot Status,Boiler_B_Status,1.0,True
k_1ah3llj,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerB-specific_boiler_b > Utility Unit Specific Boiler Soot Blower SystemA,Utility Unit Specific Boiler Soot Blower System,Cycle Status,Boiler_B_Status,1.0,True
k_6uh1ua,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerC-specific_boiler_c > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Flame Status,Boiler_C_Status,1.0,True
k_6uh1ua,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerC-specific_boiler_c > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Pilot Status,Boiler_C_Status,1.0,True
k_1su9mqf,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerC-specific_boiler_c > Utility Unit Specific Boiler Soot Blower SystemA,Utility Unit Specific Boiler Soot Blower System,Cycle Status,Boiler_C_Status,1.0,True
k_wop07m,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerD-specific_boiler_d > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Flame Status,Boiler_D_Status,1.0,True
k_wop07m,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerD-specific_boiler_d > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Pilot Status,Boiler_D_Status,1.0,True
k_11ufjfb,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerD-specific_boiler_d > Utility Unit Specific Boiler Soot Blower SystemA,Utility Unit Specific Boiler Soot Blower System,Cycle Status,Boiler_D_Status,1.0,True
k_1mifhxu,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerE-specific_boiler_e > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Flame Status,Boiler_E_Status,1.0,True
k_1mifhxu,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerE-specific_boiler_e > Utility Unit Specific Boiler Combustion SystemA > Utility Unit Specific Boiler BurnerA,Utility Unit Specific Boiler Burner,Pilot Status,Boiler_E_Status,1.0,True
k_54fbyv,United > Fuel Network > Utility Unit [UTI]A > Fuel ConsumersA > Utility Unit Specific BoilerE-specific_boiler_e > Utility Unit Specific Boiler Soot Blower SystemA,Utility Unit Specific Boiler Soot Blower System,Cycle Status,Boiler_E_Status,1.0,True
k_1q38va7,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerA-fuel fired boiler a > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Flame Status,BLR_1_Status,1.0,True
k_1q38va7,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerA-fuel fired boiler a > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Pilot Status,BLR_1_Status,1.0,True
k_1o0m2ay,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerA-fuel fired boiler a > UB HP-2 Fuel Fired Boiler Soot Blower SystemA,UB HP-2 Fuel Fired Boiler Soot Blower System,Cycle Status,BLR_1_Status,1.0,True
k_1ohvsv3,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerB-fuel fired boiler b > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Flame Status,BLR_2_Status,1.0,True
k_1ohvsv3,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerB-fuel fired boiler b > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Pilot Status,BLR_2_Status,1.0,True
k_5jmv8q,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerB-fuel fired boiler b > UB HP-2 Fuel Fired Boiler Soot Blower SystemA,UB HP-2 Fuel Fired Boiler Soot Blower System,Cycle Status,BLR_2_Status,1.0,True
k_xjuehr,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerC-fuel fired boiler c > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Flame Status,BLR_3_Status,1.0,True
k_xjuehr,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerC-fuel fired boiler c > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Pilot Status,BLR_3_Status,1.0,True
k_sdx8dm,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerC-fuel fired boiler c > UB HP-2 Fuel Fired Boiler Soot Blower SystemA,UB HP-2 Fuel Fired Boiler Soot Blower System,Cycle Status,BLR_3_Status,1.0,True
k_1ie4ggv,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerD-fuel fired boiler d > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Flame Status,BLR_4_Status,1.0,True
k_1ie4ggv,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerD-fuel fired boiler d > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Pilot Status,BLR_4_Status,1.0,True
k_664zsa,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerD-fuel fired boiler d > UB HP-2 Fuel Fired Boiler Soot Blower SystemA,UB HP-2 Fuel Fired Boiler Soot Blower System,Cycle Status,BLR_4_Status,1.0,True
k_ute63j,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerE-fuel fired boiler e > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Flame Status,BLR_5_Status,1.0,True
k_ute63j,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerE-fuel fired boiler e > UB HP-2 Fuel Fired Boiler Combustion SystemA > UB HP-2 Fuel Fired Boiler BurnerA,UB HP-2 Fuel Fired Boiler Burner,Pilot Status,BLR_5_Status,1.0,True
k_a4f8kq,United > Steam Network > Utility Block [UB]A > Steam Generators & TurbinesA > UB HP-2 Fuel Fired BoilerE-fuel fired boiler e > UB HP-2 Fuel Fired Boiler Soot Blower SystemA,UB HP-2 Fuel Fired Boiler Soot Blower System,Cycle Status,BLR_5_Status,1.0,True
k_11hxmyj,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceA-furnace a > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Flame Status,Furnace_1_Status,0.0,False
k_11hxmyj,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceA-furnace a > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Pilot Status,Furnace_1_Status,0.0,False
k_7py46z,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceB-furnace b > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Flame Status,Furnace_2_Status,1.0,True
k_7py46z,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceB-furnace b > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Pilot Status,Furnace_2_Status,1.0,True
k_mrz057,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceC-furnace c > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Flame Status,Furnace_3_Status,1.0,True
k_mrz057,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceC-furnace c > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Pilot Status,Furnace_3_Status,1.0,True
k_rx46gr,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceD-furnace d > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Flame Status,Furnace_4_Status,1.0,True
k_rx46gr,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceD-furnace d > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Pilot Status,Furnace_4_Status,1.0,True
k_qc6t7,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceE-furnace e > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Flame Status,Furnace_5_Status,1.0,True
k_qc6t7,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceE-furnace e > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Pilot Status,Furnace_5_Status,1.0,True
k_15zgq0r,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceF-furnace f > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Flame Status,Furnace_6_Status,1.0,True
k_15zgq0r,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceF-furnace f > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Pilot Status,Furnace_6_Status,1.0,True
k_1l1hlyz,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceG-furnace g > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Flame Status,Furnace_7_Status,1.0,True
k_1l1hlyz,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceG-furnace g > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Pilot Status,Furnace_7_Status,1.0,True
k_evp9rv,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceH-furnace h > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Flame Status,Furnace_8_Status,1.0,True
k_evp9rv,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceH-furnace h > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Pilot Status,Furnace_8_Status,1.0,True
k_1mq1c3f,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceI-furnace i > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Flame Status,Furnace_9_Status,1.0,True
k_1mq1c3f,United > Specific Energy Consumers > OLF [OLF]A > Fuel EnergyA > OLF FurnaceI-furnace i > OLF Furnace Combustion SystemA > OLF Furnace BurnerA,OLF Furnace Burner,Pilot Status,Furnace_9_Status,1.0,True
k_v4w36k,United > Specific Energy Consumers > LAO [LAO]A > Fuel EnergyA > LAO Feed PreheaterA-feed preheater a > LAO Feed Preheater Combustion SystemA > LAO Feed Preheater BurnerA,LAO Feed Preheater Burner,Flame Status,LAO_Plant_Status,1.0,True
k_v4w36k,United > Specific Energy Consumers > LAO [LAO]A > Fuel EnergyA > LAO Feed PreheaterA-feed preheater a > LAO Feed Preheater Combustion SystemA > LAO Feed Preheater BurnerA,LAO Feed Preheater Burner,Pilot Status,LAO_Plant_Status,1.0,True
k_1k8uhbs,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerA-boiler a > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Flame Status,Boiler_A_Status,1.0,True
