short_name,network,plant,group,element_type,instance,pi_tag_base,status_tag,status_value,is_on,element_path
UTI Instrument Air CompressorA,Air Network,Utility Unit [UTI],Air Generators,UTI Instrument Air Compressor,A,UTIL.UTI.IAC-101,Air_Compressor_Turbine_A_Status,0.0,False,United > Air Network > Utility Unit [UTI] > Air Generators > UTI Instrument Air CompressorA
UTI Instrument Air CompressorB,Air Network,Utility Unit [UTI],Air Generators,UTI Instrument Air Compressor,B,UTIL.UTI.IAC-102,Air_Compressor_Motor_B_Status,1.0,True,United > Air Network > Utility Unit [UTI] > Air Generators > UTI Instrument Air CompressorB
UTI Instrument Air CompressorC,Air Network,Utility Unit [UTI],Air Generators,UTI Instrument Air Compressor,C,UTIL.UTI.IAC-103,Air_Compressor_Motor_C_Status,0.0,False,United > Air Network > Utility Unit [UTI] > Air Generators > UTI Instrument Air CompressorC
OLF Air Consumer (PCV/Inst.)A,Air Network,Utility Unit [UTI],Air Consumers,OLF Air Consumer (PCV/Inst.),A,UTIL.UTI.AU-101,ETH_Plant_Status,1.0,True,United > Air Network > Utility Unit [UTI] > Air Consumers > OLF Air Consumer (PCV/Inst.)A
EG1 Air Consumer (PCV/Inst.)A,Air Network,Utility Unit [UTI],Air Consumers,EG1 Air Consumer (PCV/Inst.),A,UTIL.UTI.AU-101,EOEG1_Plant_Status,0.0,False,United > Air Network > Utility Unit [UTI] > Air Consumers > EG1 Air Consumer (PCV/Inst.)A
EG2 Air Consumer (PCV/Inst.)A,Air Network,Utility Unit [UTI],Air Consumers,EG2 Air Consumer (PCV/Inst.),A,UTIL.UTI.AU-101,EOEG2_Plant_Status,0.0,False,United > Air Network > Utility Unit [UTI] > Air Consumers > EG2 Air Consumer (PCV/Inst.)A
EG3 Air Consumer (PCV/Inst.)A,Air Network,Utility Unit [UTI],Air Consumers,EG3 Air Consumer (PCV/Inst.),A,UTIL.UTI.AU-101,EOEG3_Plant_Status,1.0,True,United > Air Network > Utility Unit [UTI] > Air Consumers > EG3 Air Consumer (PCV/Inst.)A
CO2 Air Consumer (PCV/Inst.)A,Air Network,Utility Unit [UTI],Air Consumers,CO2 Air Consumer (PCV/Inst.),A,UTIL.UTI.AU-101,CO2_Plant_Status,1.0,True,United > Air Network > Utility Unit [UTI] > Air Consumers > CO2 Air Consumer (PCV/Inst.)A
UTI Fuel Import To ComplexA,Fuel Network,Utility Unit [UTI],Fuel Sources,UTI Fuel Import To Complex,A,UTIL.UTI.FIN-101,UO_Plant_Status,1.0,True,United > Fuel Network > Utility Unit [UTI] > Fuel Sources > UTI Fuel Import To ComplexA
Utility Unit Specific BoilerA,Fuel Network,Utility Unit [UTI],Fuel Consumers,Utility Unit Specific Boiler,A,UTIL.UTI.BLR-101,Boiler_A_Status,1.0,True,United > Fuel Network > Utility Unit [UTI] > Fuel Consumers > Utility Unit Specific BoilerA
Utility Unit Specific BoilerB,Fuel Network,Utility Unit [UTI],Fuel Consumers,Utility Unit Specific Boiler,B,UTIL.UTI.BLR-102,Boiler_B_Status,1.0,True,United > Fuel Network > Utility Unit [UTI] > Fuel Consumers > Utility Unit Specific BoilerB
Utility Unit Specific BoilerC,Fuel Network,Utility Unit [UTI],Fuel Consumers,Utility Unit Specific Boiler,C,UTIL.UTI.BLR-103,Boiler_C_Status,1.0,True,United > Fuel Network > Utility Unit [UTI] > Fuel Consumers > Utility Unit Specific BoilerC
Utility Unit Specific BoilerD,Fuel Network,Utility Unit [UTI],Fuel Consumers,Utility Unit Specific Boiler,D,UTIL.UTI.BLR-104,Boiler_D_Status,1.0,True,United > Fuel Network > Utility Unit [UTI] > Fuel Consumers > Utility Unit Specific BoilerD
Utility Unit Specific BoilerE,Fuel Network,Utility Unit [UTI],Fuel Consumers,Utility Unit Specific Boiler,E,UTIL.UTI.BLR-105,Boiler_E_Status,1.0,True,United > Fuel Network > Utility Unit [UTI] > Fuel Consumers > Utility Unit Specific BoilerE
OLF FurnaceA,Specific Energy Consumers,OLF [OLF],Fuel Energy,OLF Furnace,A,OLF.OLF.FRN-101,Furnace_1_Status,0.0,False,United > Specific Energy Consumers > OLF [OLF] > Fuel Energy > OLF FurnaceA
OLF FurnaceB,Specific Energy Consumers,OLF [OLF],Fuel Energy,OLF Furnace,B,OLF.OLF.FRN-102,Furnace_2_Status,1.0,True,United > Specific Energy Consumers > OLF [OLF] > Fuel Energy > OLF FurnaceB
OLF FurnaceC,Specific Energy Consumers,OLF [OLF],Fuel Energy,OLF Furnace,C,OLF.OLF.FRN-103,Furnace_3_Status,1.0,True,United > Specific Energy Consumers > OLF [OLF] > Fuel Energy > OLF FurnaceC
OLF FurnaceD,Specific Energy Consumers,OLF [OLF],Fuel Energy,OLF Furnace,D,OLF.OLF.FRN-104,Furnace_4_Status,1.0,True,United > Specific Energy Consumers > OLF [OLF] > Fuel Energy > OLF FurnaceD
OLF FurnaceE,Specific Energy Consumers,OLF [OLF],Fuel Energy,OLF Furnace,E,OLF.OLF.FRN-105,Furnace_5_Status,1.0,True,United > Specific Energy Consumers > OLF [OLF] > Fuel Energy > OLF FurnaceE
OLF FurnaceF,Specific Energy Consumers,OLF [OLF],Fuel Energy,OLF Furnace,F,OLF.OLF.FRN-106,Furnace_6_Status,1.0,True,United > Specific Energy Consumers > OLF [OLF] > Fuel Energy > OLF FurnaceF
OLF FurnaceG,Specific Energy Consumers,OLF [OLF],Fuel Energy,OLF Furnace,G,OLF.OLF.FRN-107,Furnace_7_Status,1.0,True,United > Specific Energy Consumers > OLF [OLF] > Fuel Energy > OLF FurnaceG
