tag_name,value,is_on
Air_Compressor_Motor_B_Status,1.0,True
Air_Compressor_Motor_C_Status,0.0,False
Air_Compressor_Turbine_A_Status,0.0,False
Air_Compressor_Turbine_D_Status,0.0,False
Arrazi_Plant_Status,0.0,False
BFW_A_Motor_Status,0.0,False
BFW_B_Turb_Status,1.0,True
BFW_C_Turb_Status,1.0,True
BFW_D_Motor_Status,0.0,False
BFW_E_Turb_Status,1.0,True
BFW_F_Motor_Status,0.0,False
BLR_1_Status,1.0,True
BLR_2_Status,1.0,True
BLR_3_Status,1.0,True
BLR_4_Status,1.0,True
BLR_5_Status,1.0,True
Boiler_A_Status,1.0,True
Boiler_B_Status,1.0,True
Boiler_C_Status,1.0,True
Boiler_D_Status,1.0,True
Boiler_E_Status,1.0,True
CO2_Plant_Status,1.0,True
CW_Motor_7814A_Status,0.0,False
CW_Motor_7814B_Status,1.0,True
CW_Motor_7814C_Status,1.0,True
CW_Motor_C_Status,0.0,False
CW_Motor_D_Status,0.0,False
CW_Motor_E_Status,0.0,False
CW_Motor_F_Status,0.0,False
CW_Turbine_A_Status,0.0,False
CW_Turbine_B_Status,0.0,False
CW_Turbine_G_Status,0.0,False
DMW_Pump_Motor_B_Status,0.0,False
DMW_Turbine_A_Status,1.0,True
DMW_Turbine_C_Status,0.0,False
Decoke_status,0.0,False
EG1_Regen_status,0.0,False
EG1_Stripping_status,0.0,False
EG2_Regen_status,0.0,False
EG2_Stripping_status,0.0,False
EG3_Regen_status,1.0,True
EOEG1_Plant_Status,0.0,False
EOEG2_Plant_Status,0.0,False
EOEG3_Plant_Status,1.0,True
ETH_Plant_Status,1.0,True
E_1102_Status,1.0,True
E_2523_Status,0.0,False
E_2531_Status,0.0,False
E_2610_Status,0.0,False
E_2620_Status,0.0,False
E_4523_Status,0.0,False
E_4531_Status,0.0,False
E_4610_Status,0.0,False
E_4620_Status,0.0,False
E_6531_Status,1.0,True
E_6620_Status,1.0,True
FDF_A_Motor_Status,0.0,False
FDF_B_Motor_Status,0.0,False
Furnace_1_Decoke_Status,0.0,False
Furnace_1_Status,0.0,False
Furnace_1_Status_PIAF,0.0,False
Furnace_2_Decoke_Status,0.0,False
Furnace_2_Status,1.0,True
Furnace_2_Status_PIAF,1.0,True
Furnace_3_Decoke_Status,0.0,False
Furnace_3_Status,1.0,True
Furnace_3_Status_PIAF,1.0,True
Furnace_4_Decoke_Status,0.0,False
Furnace_4_Status,1.0,True
Furnace_4_Status_PIAF,1.0,True
Furnace_5_Decoke_Status,0.0,False
Furnace_5_Status,1.0,True
Furnace_5_Status_PIAF,1.0,True
Furnace_6_Decoke_Status,0.0,False
Furnace_6_Status,1.0,True
Furnace_6_Status_PIAF,1.0,True
Furnace_7_Decoke_Status,0.0,False
Furnace_7_Status,1.0,True
Furnace_7_Status_PIAF,1.0,True
Furnace_8_Decoke_Status,0.0,False
Furnace_8_Status,1.0,True
Furnace_8_Status_PIAF,1.0,True
Furnace_9_Decoke_Status,0.0,False
Furnace_9_Status,1.0,True
Furnace_9_Status_PIAF,1.0,True
KM_2115_Status,0.0,False
KM_4115_Status,0.0,False
KM_6115_Status,1.0,True
KT_1200_Status,1.0,True
LAO_Plant_Status,1.0,True
PK_5020_status,1.0,True
PK_5070_status,1.0,True
Regeneration_Gas_Heater_Status,0.0,False
Sea_CT_Fan_8028_status,0.0,False
Sea_CT_Fan_8029_status,0.0,False
Sea_CT_Fan_8030_status,0.0,False
Sea_CT_Fan_8031_status,0.0,False
Sea_CT_Fan_8032_status,0.0,False
Sea_CT_Fan_8033_status,0.0,False
Sea_CT_Fan_8034_status,0.0,False
Sea_CT_Fan_8035_status,0.0,False
Sea_CT_Fan_8036_status,0.0,False
Sea_CT_Fan_8037_status,0.0,False
Sea_CT_Fan_8038_status,0.0,False
Sea_CT_Fan_8039_status,0.0,False
Sea_CT_Fan_8040_status,1.0,True
Sea_CT_Fan_8041_status,1.0,True
Sea_CT_Fan_8409_status,1.0,True
Sea_CT_Fan_8410_status,0.0,False
Sea_CT_Fan_8411_status,0.0,False
Sea_CT_Fan_8412_status,0.0,False
Sea_CT_Fan_8413_status,0.0,False
Sea_CT_Fan_8414_status,0.0,False
Sea_CT_Fan_8602_status,0.0,False
Sea_CT_Fan_8604_status,0.0,False
Sea_CT_Fan_8606_status,1.0,True
Sea_CT_Fan_8608_status,1.0,True
Sea_CT_Fan_8610_status,1.0,True
Sea_CT_Fan_8612_status,1.0,True
Sea_CT_Fan_8626_status,0.0,False
Sea_CT_Fan_8627_status,0.0,False
Sea_CT_Fan_8628_status,0.0,False
Sea_CT_Fan_8629_status,0.0,False
Sea_CT_Fan_8630_status,0.0,False
Sea_CT_Fan_8631_status,0.0,False
Sea_CT_Fan_8632_status,0.0,False
Sea_CT_Fan_8633_status,0.0,False
Sea_CT_Fan_8634_status,0.0,False
Sea_CT_Fan_8635_status,0.0,False
UO_Plant_Status,1.0,True
VHP_BFW_A_Motor_Status,0.0,False
VHP_BFW_B_Turb_Status,1.0,True
VHP_BFW_C_Turb_Status,1.0,True
V_7101A_Status,1.0,True
V_7101B_Status,1.0,True
act_Air_Compressor_Motor_B_Status,1.0,True
act_Air_Compressor_Motor_C_Status,0.0,False
act_Air_Compressor_Turbine_A_Status,0.0,False
act_Air_Compressor_Turbine_D_Status,0.0,False
plant_status,1.0,True
