constraint_id,model_id,constraint_category_id,system,expression,active
1,1,3,HP_to_MP letdwown,(HP_to_MP_Letdown_MPS_Flow_Out_PV0007A_UO*701==HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO*HP_Steam_Enthalpy+BFW_to_HP_to_MP_Letdown_Flow_In_PV0007A_UO*109),0
2,1,3,HP_to_MP letdwown,(HP_to_MP_Letdown_MPS_Flow_Out_PV0007B_UO*701==HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO*HP_Steam_Enthalpy+BFW_to_HP_to_MP_Letdown_Flow_In_PV0007B_UO*109),0
3,1,4,HP_to_MP letdwown,(HP_to_MP_Letdown_MPS_Flow_Out_PV0007A_UO==HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO+BFW_to_HP_to_MP_Letdown_Flow_In_PV0007A_UO),0
4,1,4,HP_to_MP letdwown,(HP_to_MP_Letdown_MPS_Flow_Out_PV0007B_UO==HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO+BFW_to_HP_to_MP_Letdown_Flow_In_PV0007B_UO),0
5,1,4,Deaerator,(Total_BFW_Generated==Return_Condensate+DMW_Makeup+Deaerator_A_LPS-Deaerator_A_LPS_Vent+Deaerator_B_LPS-Deaerator_B_LPS_Vent+Condensate_From_P_7106_to_Deaerator_Header),0
6,1,3,Deaerator,(Total_BFW_Generated*109==Return_Condensate*75+DMW_Makeup*40+(Deaerator_A_LPS-Deaerator_A_LPS_Vent+Deaerator_B_LPS-Deaerator_B_LPS_Vent)*684+Condensate_From_P_7106_to_Deaerator_Header*75),0
7,1,1,BF Water,(Total_BFW_Consumption==VHP_BFW_FROM_U_O+VHP_DESPHTR_BFW_FROM_U_O+BFW_to_EOEG_1+BFW_to_EOEG_2+BFW_to_EOEG_3+BFW_TO_LAO+DSP_BFW_TO_ETH+DSP_BFW_TO_EG1+DSP_BFW_TO_EG2+DSP_BFW_TO_EG3+DSP_BFW_TO_CAUSTIC_DILUTION+Total_BLR_HPS_Generation/.99),0
8,1,2,BFW Drives,(BFW_pump_Rated_Flow*(BFW_A_Motor_Status+BFW_B_Turb_Status+BFW_C_Turb_Status+BFW_D_Motor_Status+BFW_E_Turb_Status+BFW_F_Motor_Status)>=BFW_Flow_Consumption),0
9,1,2,VHP_BFW Drives,(VHP_pump_Rated_Flow*(VHP_BFW_A_Motor_Status+VHP_BFW_B_Turb_Status+VHP_BFW_C_Turb_Status)>=VHP_Flow_Demand),0
10,1,2,CW Drives,((Air_Compressor_A_Rated_Flow*Air_Compressor_Turbine_A_Status+Air_Compressor_B_Rated_Flow*Air_Compressor_Motor_B_Status+Air_Compressor_C_Rated_Flow*Air_Compressor_Motor_C_Status+Air_Compressor_D_Rated_Flow*Air_Compressor_Turbine_D_Status)>=Total_Air_Demand),0
