eo_peeo_tag_mapping_id,model_tag_id,peeo_optimum_model_tag_id,active
2,2748,546,0
3,2748,542,0
4,2748,543,0
5,2751,550,0
6,2751,551,0
7,2751,552,0
8,2751,553,0
9,2751,555,0
10,2749,576,0
11,2749,577,0
12,2749,580,0
13,2752,584,0
14,2752,585,0
15,2752,586,0
16,2752,587,0
17,2752,589,0
18,2750,612,0
19,2750,613,0
20,2750,616,0
21,2753,620,0
22,2753,621,0
23,2753,622,0
24,2753,623,0
25,2753,625,0
26,11,137,0
27,11,518,0
28,15,546,1
29,15,542,1
30,15,543,1
31,19,550,1
32,19,551,1
33,19,552,1
34,19,553,1
35,19,555,1
36,16,576,1
37,16,577,1
38,16,580,1
39,20,584,1
40,20,585,1
41,20,586,1
42,20,587,1
43,20,589,1
44,17,612,1
45,17,613,1
46,17,616,1
47,21,620,1
48,21,621,1
49,21,622,1
50,21,623,1
51,21,625,1
52,2490,137,0
53,2490,518,0
54,52,52,0
55,53,53,0
56,54,54,0
57,55,55,0
58,56,56,0
59,2490,1025,0
60,2490,4887,0
61,2490,4888,0
62,18,518,1
63,2490,2724,0
64,18,4888,0
65,18,4824,1
66,2490,4841,1
67,2490,5528,1
68,784,3001,1
69,374,3136,0
70,374,648,1
71,374,649,1
72,374,650,1
73,374,651,1
74,374,652,1
75,374,653,1
76,374,654,1
77,374,655,1
78,374,656,1
