equipment_id,equipment_name,equipment_category_id,status_model_tag_id,active
1,BFW Motor F,1,235,1
2,BFW Turbine E,2,234,1
3,VHP BFW Turbine C,6,237,1
4,VHP BFW Motor A,5,238,1
5,CW Turbine G,4,245,1
6,CW Motor F,3,244,1
7,Air Compressor Turbine D,8,247,1
8,Air Compressor Motor B,7,248,1
9,DMW Turbine C,10,252,1
10,DMW Motor B,9,251,1
11,Boiler 5,11,62,1
12,BFW Motor A,1,230,1
13,BFW Turbine B,2,231,1
14,BFW Turbine C,2,232,1
15,BFW Motor D,1,233,1
16,VHP BFW Turbine B,6,236,1
17,CW Turbine A,4,239,1
18,CW Turbine B,4,240,1
19,CW Motor C,3,241,1
20,CW Motor D,3,242,1
21,CW Motor E,3,243,1
22,Air Compressor Turbine A,8,246,1
23,Air Compressor Motor C,7,249,1
24,DMW Turbine A,10,250,1
25,Boiler 1,11,58,1
26,Boiler 2,11,59,1
27,Boiler 3,11,60,1
28,Boiler 4,11,61,1
29,BFW Motor A,1,1484,1
30,BFW Turbine B,2,1485,1
31,BFW Turbine C,2,1486,1
32,BFW Motor D,1,1487,1
33,BFW Turbine E,2,1488,1
34,BFW Motor F,1,1489,1
35,VHP BFW Turbine B,6,1490,1
36,VHP BFW Turbine C,6,1491,1
37,VHP BFW Motor A,5,1492,1
38,CW Turbine A,4,1493,1
39,CW Turbine B,4,1494,1
40,CW Motor C,3,1495,1
41,CW Motor D,3,1496,1
42,CW Motor E,3,1497,1
43,CW Motor F,3,1498,1
44,CW Turbine G,4,1499,1
45,Air Compressor Turbine A,8,1500,1
46,Air Compressor Turbine D,8,1501,1
47,Air Compressor Motor C,7,1502,1
48,Air Compressor Motor B,7,1503,1
49,DMW Turbine A,10,1504,1
50,DMW Motor B,9,1505,1
51,DMW Turbine C,10,1506,1
52,Boiler 1,11,1290,1
53,Boiler 2,11,1291,1
54,Boiler 3,11,1292,1
55,Boiler 4,11,1293,1
56,Boiler 5,11,1294,1
57,FD Motor A,12,253,1
58,FD Motor B,12,254,1
