message_info_id,message,category
1,"Reduce Load in Boiler 1 In Steps of 5T/HR, Specific Energy Consumption High.",ods_cause_suggestion
2,"Reduce Load in Boiler 2 In Steps of 5T/HR, Specific Energy Consumption High.",ods_cause_suggestion
3,"Reduce Load in Boiler 3 In Steps of 5T/HR, Specific Energy Consumption High.",ods_cause_suggestion
4,"Reduce Load in Boiler 4 In Steps of 5T/HR, Specific Energy Consumption High.",ods_cause_suggestion
5,"Reduce Load in Boiler 5 In Steps of 5T/HR, Specific Energy Consumption High.",ods_cause_suggestion
6,"Increase Load in Boiler 1 In Steps of 5T/HR, Specific Energy Consumption Low.",ods_cause_suggestion
7,"Increase Load in Boiler 2 In Steps of 5T/HR, Specific Energy Consumption Low.",ods_cause_suggestion
8,"Increase Load in Boiler 3 In Steps of 5T/HR, Specific Energy Consumption Low.",ods_cause_suggestion
9,"Increase Load in Boiler 4 In Steps of 5T/HR, Specific Energy Consumption Low.",ods_cause_suggestion
10,"Increase Load in Boiler 5 In Steps of 5T/HR, Specific Energy Consumption Low.",ods_cause_suggestion
11,Stop BFW A Motor,ods_cause_suggestion
12,Stop BFW B Turbine,ods_cause_suggestion
13,Stop BFW C Turbine,ods_cause_suggestion
14,Stop BFW D Motor,ods_cause_suggestion
15,Stop BFW E Turbine,ods_cause_suggestion
16,Stop BFW F Motor,ods_cause_suggestion
17,Run BFW A Motor,ods_cause_suggestion
18,Run BFW B Turbine,ods_cause_suggestion
19,Run BFW C Turbine,ods_cause_suggestion
20,Run BFW D Motor,ods_cause_suggestion
21,Run BFW E Turbine,ods_cause_suggestion
22,Run BFW F Motor,ods_cause_suggestion
23,Stop VHP BFW A Motor,ods_cause_suggestion
24,Stop VHP BFW B Turbine,ods_cause_suggestion
25,Stop VHP BFW C Turbine,ods_cause_suggestion
26,Run VHP BFW A Motor,ods_cause_suggestion
27,Run VHP BFW B Turbine,ods_cause_suggestion
28,Run VHP BFW C Turbine,ods_cause_suggestion
29,Stop CW A Turbine,ods_cause_suggestion
30,Stop CW B Turbine,ods_cause_suggestion
31,Stop CW C Motor,ods_cause_suggestion
32,Stop CW D Motor,ods_cause_suggestion
33,Stop CW E Motor,ods_cause_suggestion
34,Stop CW F Motor,ods_cause_suggestion
35,Stop CW G Turbine,ods_cause_suggestion
36,Run CW A Turbine,ods_cause_suggestion
37,Run CW B Turbine,ods_cause_suggestion
38,Run CW C Motor,ods_cause_suggestion
39,Run CW D Motor,ods_cause_suggestion
40,Run CW E Motor,ods_cause_suggestion
41,Run CW F Motor,ods_cause_suggestion
42,Run CW G Turbine,ods_cause_suggestion
43,Stop Air Compressor A Turbine,ods_cause_suggestion
44,Stop Air Compressor B Motor,ods_cause_suggestion
