model_alert_output_id,model_id,time_stamp,tag_id,raw_value,ccp_info_id,ccp_id,switch_configuration_id
1,1,2026-03-24 23:00:00.000,11,-0.670671734682673,6,418,NULL
2,1,2026-03-24 23:00:00.000,170,-6.103515625,3,300,NULL
3,1,2026-03-24 23:00:00.000,373,-1.70828058772617,5,258,NULL
4,1,2026-03-24 23:00:00.000,1584,-0.00809571938801026,5,303,NULL
5,1,2026-03-24 23:00:00.000,1745,-2.24508462126552,6,297,NULL
6,1,2026-03-24 23:00:00.000,426,200,18,415,NULL
7,1,2026-03-24 23:00:00.000,427,150,18,59,NULL
8,1,2026-03-24 23:00:00.000,1112,45,18,323,NULL
9,1,2026-03-24 23:00:00.000,1315,2.15,18,271,NULL
10,1,2026-03-24 23:00:00.000,2125,10,18,330,NULL
11,1,2026-03-24 23:00:00.000,2173,1,18,370,NULL
12,1,2026-03-24 23:00:00.000,2902,1,18,371,NULL
13,1,2026-03-24 23:00:00.000,3864,0,18,387,NULL
14,1,2026-03-25 00:00:00.000,11,-0.735873181849212,6,418,NULL
15,1,2026-03-25 00:00:00.000,170,-6.103515625,3,300,NULL
16,1,2026-03-25 00:00:00.000,373,-1.620711913887,5,258,NULL
17,1,2026-03-25 00:00:00.000,1584,-0.013656497141411,5,303,NULL
18,1,2026-03-25 00:00:00.000,1745,-2.2197802066803,6,297,NULL
19,1,2026-03-25 00:00:00.000,426,200,18,415,NULL
20,1,2026-03-25 00:00:00.000,427,150,18,59,NULL
21,1,2026-03-25 00:00:00.000,1112,45,18,323,NULL
22,1,2026-03-25 00:00:00.000,1315,2.15,18,271,NULL
23,1,2026-03-25 00:00:00.000,2125,10,18,330,NULL
24,1,2026-03-25 00:00:00.000,2173,1,18,370,NULL
25,1,2026-03-25 00:00:00.000,2902,1,18,371,NULL
26,1,2026-03-25 00:00:00.000,3864,0,18,387,NULL
27,1,2026-03-25 01:00:00.000,11,-0.838720395579198,6,418,NULL
