mst_pipeline_macro_id,macro_name,default_value,description,active
1,pullpi_window_day,1d,pullpi window day,1
2,pullpi_timeinterval,1h,pullpi timeinterval,1
3,pullpi_rootpath,\\PI-DA.sabic.com,pullpi rootpath,1
4,tolerance,0.01,tolerance,1
5,pullpi_window_hour,23h,pullpi window hour,1
6,optimizer_iterations,5,optimizer iterations,1
7,SEU_relaxed_time_in_hrs,24,SEU_relaxed_time_in_hrs,1
8,SEU_optimization,0,SEU_optimization,1
10,data_pull_window,1d,data_pull_window,1
11,data_pull_timeinterval,1h,data_pull_timeinterval,1
12,pi_rootpath,\\PI-DA.sabic.com,pi_rootpath,1
13,flag_write_to_pi_output,0,whether to write in pi output table,1
14,CALC_OUTPUT_root_path,\\SS-JSD-DTDA-D1\,Root path tp pull PI-AF tags,1
15,max_pullpi_window_hour,5h,maximum pullpi window hour,1
16,actual_as_optimum_opt_nf,1,considered actual as optimum when optimum not found due to infeasible region,1
17,run_diagnostics,1,run_diagnostics,1
18,furnace_peeo_data_overwrite,1,furnace_peeo_data_overwrite,1
