operation_decision_support_output_id,model_id,time_stamp,operation_decision_support_id,message_info_id,opportunity_value
1,1,2026-03-24 23:00:00,245,293,28.2759688220215
2,1,2026-03-24 23:00:00,253,266,480.588189273933
3,1,2026-03-24 23:00:00,254,267,255.443615970608
4,1,2026-03-24 23:00:00,288,355,9.00000509914824
5,1,2026-03-24 23:00:00,309,358,5.44070378024742
6,1,2026-03-24 23:00:00,315,327,60.0343059941155
7,1,2026-03-24 23:00:00,349,286,NULL
8,1,2026-03-24 23:00:00,363,323,480.588189273933
9,1,2026-03-24 23:00:00,367,282,1.63278260669345
10,1,2026-03-24 23:00:00,368,283,2.95910808743269
11,1,2026-03-24 23:00:00,369,284,3.52045196193422
12,1,2026-03-24 23:00:00,372,360,4.29539710300148
13,1,2026-03-24 23:00:00,380,343,NULL
14,1,2026-03-24 23:00:00,393,371,NULL
15,1,2026-03-24 23:00:00,394,372,NULL
16,1,2026-03-25 00:00:00,253,266,474.387146195975
17,1,2026-03-25 00:00:00,254,267,260.547384521469
18,1,2026-03-25 00:00:00,288,355,8.9999995111084
19,1,2026-03-25 00:00:00,309,358,6.31440912003683
20,1,2026-03-25 00:00:00,314,290,62.3345822528983
21,1,2026-03-25 00:00:00,349,286,NULL
22,1,2026-03-25 00:00:00,363,323,474.387146195975
23,1,2026-03-25 00:00:00,367,282,1.56409425690011
24,1,2026-03-25 00:00:00,368,283,2.95770899056455
25,1,2026-03-25 00:00:00,369,284,3.53796450623539
26,1,2026-03-25 00:00:00,373,361,12.8165659462575
27,1,2026-03-25 00:00:00,380,343,NULL
28,1,2026-03-25 00:00:00,393,371,NULL
29,1,2026-03-25 00:00:00,394,372,NULL
30,1,2026-03-25 01:00:00,245,293,28.7755916019332
31,1,2026-03-25 01:00:00,253,266,477.66609120242
32,1,2026-03-25 01:00:00,254,267,254.337799451255
33,1,2026-03-25 01:00:00,288,355,8.99999817511662
34,1,2026-03-25 01:00:00,309,358,5.43807153188142
35,1,2026-03-25 01:00:00,314,290,62.6757671733641
36,1,2026-03-25 01:00:00,349,286,NULL
37,1,2026-03-25 01:00:00,363,323,477.66609120242
