peeo_ods_info_id,eo_peeo_tag_mapping_id,peeo_ods_id,suggestion_type,step_change_value,active
1,2,4798,yes,0,0
7,5,4527,yes,0,0
8,6,9282,yes,0,0
9,7,4795,yes,0,0
10,8,4795,yes,0,0
11,9,4806,yes,0,0
12,12,1558,yes,0,0
13,12,1564,yes,0,0
14,12,2032,yes,0,0
15,13,3261,yes,0,0
16,14,10350,yes,0,0
17,15,1556,yes,0,0
18,16,1556,yes,0,0
19,17,1566,yes,0,0
20,20,6897,yes,0,0
21,20,6909,yes,0,0
22,20,6908,yes,0,0
23,21,6946,yes,0,0
24,22,10345,yes,0,0
25,23,6899,yes,0,0
26,24,6899,yes,0,0
27,25,6910,yes,0,0
28,26,5759,yes,0,0
29,26,7030,yes,0,0
30,26,5760,yes,0,0
31,26,9279,yes,0,0
32,27,5803,yes,0,0
33,27,5804,yes,0,0
34,27,5805,yes,0,0
35,27,5806,yes,0,0
37,2,4804,yes,0,0
38,2,9275,yes,0,0
39,2,4793,yes,0,0
40,2,4805,yes,0,0
41,2,7600,yes,0,0
42,28,4798,yes,0,1
43,28,4804,yes,0,0
44,28,9275,yes,0,0
45,28,4793,yes,0,0
46,28,4805,yes,0,0
47,28,7600,yes,0,0
48,31,4527,yes,0,1
49,32,9282,yes,0,1
50,33,4795,yes,0,1
51,34,4795,yes,0,1
52,35,4806,yes,0,1
53,38,1558,yes,0,1
54,38,1564,yes,0,0
55,38,2032,yes,0,0
56,39,3261,yes,0,1
57,40,10350,yes,0,1
58,41,1556,yes,0,1
59,42,1556,yes,0,1
60,43,1566,yes,0,1
61,46,6897,yes,0,0
62,46,6909,yes,0,0
63,46,6908,yes,0,0
64,47,6946,yes,0,1
65,48,10345,yes,0,1
66,49,6899,yes,0,1
67,50,6899,yes,0,1
68,51,6910,yes,0,1
69,52,5759,yes,0,0
70,52,7030,yes,0,0
71,52,5760,yes,0,0
72,52,9279,yes,0,0
73,53,5803,yes,0,0
74,53,5804,yes,0,0
75,53,5805,yes,0,0
76,53,5806,yes,0,0
77,28,4802,yes,0,1
78,28,4807,yes,0,0
79,28,4799,yes,0,1
80,28,4800,yes,0,1
81,28,4801,yes,0,1
82,32,4527,yes,0,1
83,38,1567,yes,0,0
84,38,1559,yes,0,1
85,38,1560,yes,0,1
86,38,1561,yes,0,1
87,38,1562,yes,0,1
88,38,10666,yes,0,1
89,38,10667,yes,0,1
90,38,10668,yes,0,1
91,38,10669,yes,0,1
92,38,10670,yes,0,1
93,39,10350,yes,0,1
94,40,3261,yes,0,1
95,46,6911,yes,0,0
96,46,6914,yes,0,1
97,46,6913,yes,0,1
98,46,6906,yes,0,1
99,46,6905,yes,0,1
100,46,6904,yes,0,1
101,46,6903,yes,0,1
102,46,6902,yes,0,1
103,47,10345,yes,0,1
104,48,6946,yes,0,1
105,50,9355,yes,0,1
106,59,6606,yes,0,0
107,59,6629,yes,0,0
108,59,6630,yes,0,0
109,59,6062,yes,0,0
110,59,6063,yes,0,0
111,59,6064,yes,0,0
112,59,6066,yes,0,0
113,59,6632,yes,0,0
114,59,6633,yes,0,0
115,59,6634,yes,0,0
116,59,6635,yes,0,0
117,59,6636,yes,0,0
118,52,5758,yes,0,0
119,52,5378,yes,0,0
120,52,9277,yes,0,0
121,52,5379,yes,0,0
122,52,9278,yes,0,0
123,52,5380,yes,0,0
124,52,7020,yes,0,0
125,52,5381,yes,0,0
126,52,7021,yes,0,0
127,52,5382,yes,0,0
128,52,7022,yes,0,0
129,52,5383,yes,0,0
130,52,7023,yes,0,0
131,52,5384,yes,0,0
132,52,7024,yes,0,0
133,52,5385,yes,0,0
134,52,7025,yes,0,0
135,52,5752,yes,0,0
136,52,7016,yes,0,0
137,52,5753,yes,0,0
138,52,7017,yes,0,0
139,52,5754,yes,0,0
140,52,7018,yes,0,0
141,52,5755,yes,0,0
142,52,7019,yes,0,0
143,52,6958,yes,0,0
144,62,5803,yes,0,1
145,62,5804,yes,0,1
146,62,5805,yes,0,1
147,62,5806,yes,0,1
148,28,10660,yes,0,1
149,28,10661,yes,0,1
150,28,10662,yes,0,1
151,28,10663,yes,0,1
152,28,10664,yes,0,1
153,31,4529,yes,6,0
154,40,1474,yes,12,0
155,48,6948,yes,13,0
