pi_output_id,time_stamp,output_pi_name,value,created_on
178,2026-04-23 08:54:05.563,UN.UO.BO-7104A.KEV_Stack_Temp_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
179,2026-04-23 08:54:05.563,UN.UO.BO-7104A.KEV_Actual_Steam_Production_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
180,2026-04-23 08:54:05.563,UN.UO.BO-7104A.KEV_Excess_O2_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
181,2026-04-23 08:54:05.563,UN.UO.BO-7104B.KEV_Stack_Temp_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
182,2026-04-23 08:54:05.563,UN.UO.BO-7104B.KEV_Actual_Steam_Production_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
183,2026-04-23 08:54:05.563,UN.UO.BO-7104B.KEV_Excess_O2_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
184,2026-04-23 08:54:05.563,UN.UO.BO-7104C.KEV_Stack_Temp_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
185,2026-04-23 08:54:05.563,UN.UO.BO-7104C.KEV_Actual_Steam_Production_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
186,2026-04-23 08:54:05.563,UN.UO.BO-7104C.KEV_Excess_O2_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
187,2026-04-23 08:54:05.563,UN.UO.BO-7104D.KEV_Stack_Temp_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
188,2026-04-23 08:54:05.563,UN.UO.BO-7104D.KEV_Actual_Steam_Production_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
189,2026-04-23 08:54:05.563,UN.UO.BO-7104D.KEV_Excess_O2_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
190,2026-04-23 08:54:05.563,UN.UO.BO-7104E.KEV_Stack_Temp_Optimum_EO_CALC_OUTPUT,257.6503,2026-04-23 03:26:48.580
191,2026-04-23 08:54:05.563,UN.UO.BO-7104E.KEV_Actual_Steam_Production_Optimum_EO_CALC_OUTPUT,0.0154289,2026-04-23 03:26:48.580
192,2026-04-23 08:54:05.563,UN.UO.BO-7104E.KEV_Excess_O2_Optimum_EO_CALC_OUTPUT,38.4504,2026-04-23 03:26:48.580
193,2026-04-23 08:54:05.563,UN.ETH.H-1111.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
194,2026-04-23 08:54:05.563,UN.ETH.H-1111.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
195,2026-04-23 08:54:05.563,UN.ETH.H-1111.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
196,2026-04-23 08:54:05.563,UN.ETH.H-1111.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
197,2026-04-23 08:54:05.563,UN.ETH.H-1112.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
198,2026-04-23 08:54:05.563,UN.ETH.H-1112.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
199,2026-04-23 08:54:05.563,UN.ETH.H-1112.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
200,2026-04-23 08:54:05.563,UN.ETH.H-1112.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,0,2026-04-23 03:26:48.580
201,2026-04-23 08:54:05.563,UN.ETH.H-1113.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,107.0675,2026-04-23 03:26:48.580
202,2026-04-23 08:54:05.563,UN.ETH.H-1113.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,4.8698,2026-04-23 03:26:48.580
203,2026-04-23 08:54:05.563,UN.ETH.H-1113.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,47.0357,2026-04-23 03:26:48.580
204,2026-04-23 08:54:05.563,UN.ETH.H-1113.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,296.5463,2026-04-23 03:26:48.580
205,2026-04-23 08:54:05.563,UN.ETH.H-1114.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,281.312,2026-04-23 03:26:48.580
206,2026-04-23 08:54:05.563,UN.ETH.H-1114.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,10.9282,2026-04-23 03:26:48.580
207,2026-04-23 08:54:05.563,UN.ETH.H-1114.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,399.6464,2026-04-23 03:26:48.580
208,2026-04-23 08:54:05.563,UN.ETH.H-1114.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,265.661,2026-04-23 03:26:48.580
