seu_output_id,case_id,time_stamp,seu_id,actual,target,baseline,gain,enpi,enpi_benefit,gain_benefit,baseline_gjph,actual_gjph,target_gjph
1,1,2026-03-25 06:00:00.000,107,0.000793854930729061,0,0.000797,0.0425299740844096,10.7350988872211,265.196440143395,1.05064684033813,10.7776288613055,10.7350988872211,0
2,1,2026-03-25 08:00:00.000,108,0.0208280032088123,0.0208280032088123,0.030871,15.4518125346601,0,0,206.034468337158,47.4970683228783,32.0452557882182,32.0452557882182
3,1,2026-03-25 07:00:00.000,108,0.020821886311451,0.020821886311451,0.030871,15.4694411349933,0,0,206.269528094001,47.5223121241582,32.0528709891649,32.0528709891649
4,1,2026-03-25 06:00:00.000,108,0.0209324900356154,0.0209324900356154,0.030871,15.3040752643418,0,0,204.064539574734,47.5375191229435,32.2334438586017,32.2334438586017
5,1,2026-03-25 08:00:00.000,109,0.000147761493903664,0.000147772767909099,0.163,140.030420161043,-9.69408669149185E-06,-1.97759368506434E-05,285.662057128527,140.157474626273,0.127054465230325,0.127054465230325
6,1,2026-03-25 07:00:00.000,109,0.00014758329233542,0.000147576451927178,0.163,140.078661279958,5.8838256649929E-06,1.20030043565855E-05,285.760469011114,140.205606095611,0.12694481565321,0.126938931827545
7,1,2026-03-25 06:00:00.000,109,0.000147485525016392,0.000147469185045075,0.163,140.042345897755,1.4051290042616E-05,2.86646316869366E-05,285.68638563142,140.169173653383,0.126827755628116,0.126813704338074
8,1,2026-03-25 08:00:00.000,110,0,0,0,0,0,0,0,0,0,0
9,1,2026-03-25 07:00:00.000,110,0,0,0,0,0,0,0,0,0,0
10,1,2026-03-25 06:00:00.000,110,0,0,0,0,0,0,0,0,0,0
11,1,2026-03-25 08:00:00.000,111,0,0,0,0,0,0,0,0,0,0
12,1,2026-03-25 07:00:00.000,111,0,0,0,0,0,0,0,0,0,0
13,1,2026-03-25 06:00:00.000,111,0,0,0,0,0,0,0,0,0,0
14,1,2026-03-25 08:00:00.000,112,0,0,0,0,0,0,0,0,0,0
15,1,2026-03-25 07:00:00.000,112,0,0,0,0,0,0,0,0,0,0
16,1,2026-03-25 06:00:00.000,112,0,0,0,0,0,0,0,0,0,0
17,1,2026-03-25 08:00:00.000,113,0,0,0,0,0,0,0,0,0,0
18,1,2026-03-25 07:00:00.000,113,0,0,0,0,0,0,0,0,0,0
19,1,2026-03-25 06:00:00.000,113,0,0,0,0,0,0,0,0,0,0
