sub_model_id,target_model_tag_id,sub_model_name,sub_model_type,algorithm,order,response_output,sub_model_expression,active
1,389,ETH_Plant_Status,equation,NULL,34,0,"if([Total_Ethylene_Load]>100,1,0)",1
2,390,EOEG1_Plant_Status,equation,NULL,35,0,"if( [EG1_EOE]>30,1,0)",1
3,391,EOEG2_Plant_Status,equation,NULL,36,0,"if( [EG2_EOE]>30,1,0)",1
4,392,EOEG3_Plant_Status,equation,NULL,37,0,"if([EG3_EOE]>30,1,0)",1
5,393,LAO_Plant_Status,equation,NULL,38,0,"if([LAO_Load]<5,0,1)",1
6,394,CO2_Plant_Status,equation,NULL,39,0,"if([CO2_Load]<20,0,1)",1
7,353,Total_Air_Demand,equation,NULL,106,1,[LAO_Plant_Status]*0.99 + [CO2_Plant_Status]*0.99 + [ETH_Plant_Status]*2.02 + [EOEG1_Plant_Status]*0.92 + [EOEG2_Plant_Status]*0.72 + [EOEG3_Plant_Status]*0.63 +[Decoking_Furnace_Count]*14+([Air_Imbalance]+0.98)*[UO_Plant_Status],1
8,226,VHP_BFW_to_ETH,equation,NULL,59,1,"max(0,if([ETH_Plant_Status]==0,0,([VHP_BFW_to_ETH] + ((25.9253761223336+1.00582423206369*([Total_Ethylene_Load]-0.3*[Decoking_Furnace_Count]*(if([Furnaces_running]==0,0,[act_Total_Ethylene_Load]/[Furnaces_running]))-0.3*[Furnaces_under_Steaming_mode]*(if([Furnaces_running]==0,0,[act_Total_Ethylene_Load]/[Furnaces_running]))))-(25.9253761223336+1.00582423206369*[act_Total_Ethylene_Load]))))+if([ETH_Plant_Status]==0&&([Decoking_Furnace_Count]>0||[Furnaces_under_Steaming_mode]>0),0.7*(if([Furnaces_running]==0,0,[act_Total_Ethylene_Load]/[Furnaces_running]))*[Decoking_Furnace_Count]+0.7*(if([Furnaces_running]==0,0,[act_Total_Ethylene_Load]/[Furnaces_running]))*[Furnaces_under_Steaming_mode],0))",1
9,1048,Ethylene_HP_CGC,equation,NULL,60,0,"if([ETH_Plant_Status]==0,0,(-387.164)+([CGC_Extraction_Opening]/[Total_Ethylene_Load])*-474.329+[Total_Ethylene_Load]*0.727956+([CGC_turbine_Inlet_steam_flow]/[Total_Ethylene_Load])*406.4679)",1
10,1049,Ethylene_HP_ERC,equation,NULL,61,0,"if([ETH_Plant_Status]==0,0,(-128.6214)+[KT_1500_temp_out]*0.2813+([C2R_dis_2]/[Total_Ethylene_Load])*104.9685+([C2R_dis_1]/[Total_Ethylene_Load])*24.0194+[Total_Ethylene_Load]*0.2092)",1
