sub_model_parameter_id,sub_model_version_id,mst_sub_model_parameter_id,value,active
1,1,1,6,1
2,1,2,2,1
3,1,3,140,1
4,1,4,10,1
5,1,5,1,1
6,1,6,20,1
7,1,7,2,1
8,1,8,400d,1
9,1,9,2,1
10,1,10,1h,1
11,1,11,\\PI-DA.sabic.com,1
12,1,12,23,1
13,1,13,1,1
14,1,14,10d,1
15,1,15,1d,1
16,2,1,6,1
17,2,2,2,1
18,2,3,140,1
19,2,4,10,1
20,2,5,1,1
21,2,6,20,1
22,2,7,2,1
23,2,8,400d,1
24,2,9,2,1
25,2,10,1h,1
26,2,11,\\PI-DA.sabic.com,1
27,2,12,23,1
28,2,13,1,1
29,2,14,10d,1
30,2,15,1d,1
31,1,16,100,1
32,2,16,100,1
