sub_model_processing_id,sub_model_child_id,flag_nan,flag_domain_filter,lower_domain_value,upper_domain_value,flag_ma,active
1,3,1,1,30,80,1,1
2,4,1,1,0.75,0.9,1,1
3,12,1,0,NULL,NULL,1,1
4,24,1,1,30,120,1,1
5,17,0,0,0,0,1,1
6,19,0,0,0,0,1,1
7,20,0,0,0,0,1,1
8,21,0,0,0,0,1,1
9,22,0,0,0,0,1,1
10,23,0,0,0,0,1,1
11,25,0,0,0,0,1,1
23,1,1,1,40,72,1,1
24,2,1,1,0.84,0.92,1,1
25,18,1,0,NULL,NULL,1,1
26,32,1,1,30,90,1,1
27,26,0,0,NULL,NULL,1,1
28,27,0,0,NULL,NULL,1,1
29,28,0,0,NULL,NULL,1,1
30,29,0,0,NULL,NULL,1,1
31,30,0,0,NULL,NULL,1,1
32,31,0,0,NULL,NULL,1,1
33,33,0,0,NULL,NULL,1,1
34,34,0,0,NULL,NULL,1,1
