variable_id,model_tag_id,lower_bound_value,upper_bound_value,flag_integer,active,lower_bound_switch,upper_bound_switch,initial_value_switch,lower_bound_expression,upper_bound_expression
2,178,0,150,0,1,3,5,6,"if([Whatif_running]==0,[BLR_1_Status]*if([opt_flag]==1,if((([Boiler_opt_running]==3) && [max_spec_en_consumption_blr]!=1 && [max2_spec_en_consumption_blr]!=1 && [BLR_1_Status]==1) || (([Boiler_opt_running]==4) && [max_spec_en_consumption_blr]!=1 && [BLR_1_Status]==1),[BLR_1_HPS_Gen],0),min([BLR_1_HPS_Gen],[BLR_2_HPS_Gen],[BLR_3_HPS_Gen],[BLR_4_HPS_Gen],[BLR_5_HPS_Gen])-8),0)","if([Whatif_running]==0,if([opt_flag]==1,150,max([BLR_1_HPS_Gen],[BLR_2_HPS_Gen],[BLR_3_HPS_Gen],[BLR_4_HPS_Gen],[BLR_5_HPS_Gen])+8),150)"
3,64,0,10,1,0,20,22,24,NULL,NULL
4,186,0,8,0,1,3,5,6,0,"if([Whatif_running]==0,max([FD_Fan_BLR_1_Steam],10),10)"
5,59,0,1,1,1,3,5,6,0,"if([Whatif_running]==0,if(([Boiler_opt_running]<[Total_Boilers_Running])&& ([Boiler_opt_running]==3) && ([max_spec_en_consumption_blr]==2 || [max2_spec_en_consumption_blr]==2),0,if(([Boiler_opt_running]<[Total_Boilers_Running])&& ([Boiler_opt_running]==4) && ([max_spec_en_consumption_blr]==2),0,[BLR_2_Status])),if((if(ceil((([ETH_HPS_Demand]+[VHP_BFW_to_ETH]*0+[ETH_LPS_Demand]+[EOEG_1_MPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_MPS_Demand]+[EOEG_3_LPS_Demand]+[LAO_LP_Steam_Demand]+80*(if([ETH_Plant_Status]==1 || [EOEG1_Plant_Status]==1 || [EOEG2_Plant_Status]==1 || [EOEG3_Plant_Status]==1,1,0)))*1.2+[Buffer_Steam_in_Boilers])/140)>5, 5 ,ceil((([ETH_HPS_Demand]+[VHP_BFW_to_ETH]*0+[ETH_LPS_Demand]+[EOEG_1_MPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_MPS_Demand]+[EOEG_3_LPS_Demand]+[LAO_LP_Steam_Demand]+80*(if([ETH_Plant_Status]==1 || [EOEG1_Plant_Status]==1 || [EOEG2_Plant_Status]==1 || [EOEG3_Plant_Status]==1,1,0)))*1.2+[Buffer_Steam_in_Boilers])/140)))>=2,1,0))"
6,179,0,150,0,1,3,5,6,"if([Whatif_running]==0,[BLR_2_Status]*if([opt_flag]==1,if((([Boiler_opt_running]==3) && [max_spec_en_consumption_blr]!=2 && [max2_spec_en_consumption_blr]!=2 && [BLR_2_Status]==1) || (([Boiler_opt_running]==4) && [max_spec_en_consumption_blr]!=2 && [BLR_2_Status]==1),[BLR_2_HPS_Gen],0),min([BLR_1_HPS_Gen],[BLR_2_HPS_Gen],[BLR_3_HPS_Gen],[BLR_4_HPS_Gen],[BLR_5_HPS_Gen])-8),0)","if([Whatif_running]==0,if([opt_flag]==1,150,max([BLR_1_HPS_Gen],[BLR_2_HPS_Gen],[BLR_3_HPS_Gen],[BLR_4_HPS_Gen],[BLR_5_HPS_Gen])+8),150)"
7,65,0,10,0,0,20,22,24,NULL,NULL
8,187,0,8,0,1,3,5,6,0,"if([Whatif_running]==0,max([FD_Fan_BLR_2_Steam],10),10)"
9,60,0,1,1,1,3,5,6,0,"if([Whatif_running]==0,if(([Boiler_opt_running]<[Total_Boilers_Running])&& ([Boiler_opt_running]==3) && ([max_spec_en_consumption_blr]==3 || [max2_spec_en_consumption_blr]==3),0,if(([Boiler_opt_running]<[Total_Boilers_Running])&& ([Boiler_opt_running]==4) && ([max_spec_en_consumption_blr]==3),0,[BLR_3_Status])),if((if(ceil((([ETH_HPS_Demand]+[VHP_BFW_to_ETH]*0+[ETH_LPS_Demand]+[EOEG_1_MPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_MPS_Demand]+[EOEG_3_LPS_Demand]+[LAO_LP_Steam_Demand]+80*(if([ETH_Plant_Status]==1 || [EOEG1_Plant_Status]==1 || [EOEG2_Plant_Status]==1 || [EOEG3_Plant_Status]==1,1,0)))*1.2+[Buffer_Steam_in_Boilers])/140)>5, 5 ,ceil((([ETH_HPS_Demand]+[VHP_BFW_to_ETH]*0+[ETH_LPS_Demand]+[EOEG_1_MPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_MPS_Demand]+[EOEG_3_LPS_Demand]+[LAO_LP_Steam_Demand]+80*(if([ETH_Plant_Status]==1 || [EOEG1_Plant_Status]==1 || [EOEG2_Plant_Status]==1 || [EOEG3_Plant_Status]==1,1,0)))*1.2+[Buffer_Steam_in_Boilers])/140)))>=3,1,0))"
10,180,0,150,0,1,3,5,6,"if([Whatif_running]==0,[BLR_3_Status]*if([opt_flag]==1,if((([Boiler_opt_running]==3) && [max_spec_en_consumption_blr]!=3 && [max2_spec_en_consumption_blr]!=3 && [BLR_3_Status]==1) || (([Boiler_opt_running]==4) && [max_spec_en_consumption_blr]!=3 && [BLR_3_Status]==1),[BLR_3_HPS_Gen],0),min([BLR_1_HPS_Gen],[BLR_2_HPS_Gen],[BLR_3_HPS_Gen],[BLR_4_HPS_Gen],[BLR_5_HPS_Gen])-8),0)","if([Whatif_running]==0,if([opt_flag]==1,150,max([BLR_1_HPS_Gen],[BLR_2_HPS_Gen],[BLR_3_HPS_Gen],[BLR_4_HPS_Gen],[BLR_5_HPS_Gen])+8),150)"
11,66,0,10,0,0,20,22,24,NULL,NULL
