what_if_demand_calculation_id,scenario_id,model_tag_id,value,data_timestamp,context_type
1,8,223,73.13,2025-09-08 01:00:00.000,input
2,8,2647,90.6,2025-09-08 01:00:00.000,input
3,8,221,0.03,2025-09-08 01:00:00.000,input
4,8,2645,0,2025-09-08 01:00:00.000,input
5,8,1190,445.87,2025-09-08 01:00:00.000,input
6,8,222,70.9,2025-09-08 01:00:00.000,input
7,8,2646,87.96,2025-09-08 01:00:00.000,input
8,8,1212,19.33,2025-09-08 01:00:00.000,input
9,8,1213,46.78,2025-09-08 01:00:00.000,input
10,8,2415,0,2025-09-08 01:00:00.000,input
11,8,2648,0,2025-09-08 01:00:00.000,input
12,8,2925,2.5,2025-09-08 01:00:00.000,input
13,8,229,415.32,2025-09-08 01:00:00.000,input
14,8,201,41.35,2025-09-08 01:00:00.000,input
15,8,214,761.2,2025-09-08 01:00:00.000,input
16,8,3348,1,2025-09-08 01:00:00.000,output
17,8,5291,1,2025-09-08 01:00:00.000,output
18,8,5240,1,2025-09-08 01:00:00.000,output
19,8,5290,445.87,2025-09-08 01:00:00.000,output
20,8,5208,53.973628677792,2025-09-08 01:00:00.000,output
21,8,5209,59.4255432148934,2025-09-08 01:00:00.000,output
22,8,5210,67.3186108016968,2025-09-08 01:00:00.000,output
23,8,5211,51.7508543947008,2025-09-08 01:00:00.000,output
24,8,5212,25.2698478539785,2025-09-08 01:00:00.000,output
25,8,5213,41.6528290409512,2025-09-08 01:00:00.000,output
26,8,5214,44.6460724406772,2025-09-08 01:00:00.000,output
27,8,5215,14.4380937225156,2025-09-08 01:00:00.000,output
28,8,203,336,2025-09-08 01:00:00.000,output
29,8,204,326,2025-09-08 01:00:00.000,output
30,8,205,15.435,2025-09-08 01:00:00.000,output
31,8,206,15.435,2025-09-08 01:00:00.000,output
32,8,207,11.27,2025-09-08 01:00:00.000,output
33,8,208,11.27,2025-09-08 01:00:00.000,output
34,8,209,12326,2025-09-08 01:00:00.000,output
35,8,210,350,2025-09-08 01:00:00.000,output
36,8,427,150,2025-09-08 01:00:00.000,output
37,8,428,150,2025-09-08 01:00:00.000,output
38,8,429,150,2025-09-08 01:00:00.000,output
39,8,430,150,2025-09-08 01:00:00.000,output
40,8,431,150,2025-09-08 01:00:00.000,output
41,8,432,0,2025-09-08 01:00:00.000,output
42,8,433,0,2025-09-08 01:00:00.000,output
43,8,434,0,2025-09-08 01:00:00.000,output
44,8,435,0,2025-09-08 01:00:00.000,output
45,8,1042,0,2025-09-08 01:00:00.000,output
46,8,1043,0.8796,2025-09-08 01:00:00.000,output
47,8,1044,0.906,2025-09-08 01:00:00.000,output
48,8,1054,0,2025-09-08 01:00:00.000,output
49,8,389,1,2025-09-08 01:00:00.000,output
50,8,390,0,2025-09-08 01:00:00.000,output
51,8,391,1,2025-09-08 01:00:00.000,output
52,8,392,1,2025-09-08 01:00:00.000,output
53,8,393,1,2025-09-08 01:00:00.000,output
54,8,394,1,2025-09-08 01:00:00.000,output
55,8,5183,158.512782363892,2025-09-08 01:00:00.000,output
56,8,5184,286.827410817217,2025-09-08 01:00:00.000,output
57,8,5185,1508.71259829186,2025-09-08 01:00:00.000,output
58,8,5186,53.4491169057738,2025-09-08 01:00:00.000,output
59,8,5187,208.538520278931,2025-09-08 01:00:00.000,output
60,8,5188,404.530323918158,2025-09-08 01:00:00.000,output
61,8,5189,10,2025-09-08 01:00:00.000,output
62,8,5190,-36.93806119767,2025-09-08 01:00:00.000,output
63,8,5191,-101.226426527298,2025-09-08 01:00:00.000,output
64,8,5192,155.379084591336,2025-09-08 01:00:00.000,output
65,8,5193,54.6191410069717,2025-09-08 01:00:00.000,output
66,8,226,480.117308794587,2025-09-08 01:00:00.000,output
67,8,1048,288.225788726816,2025-09-08 01:00:00.000,output
68,8,1049,86.18615764242,2025-09-08 01:00:00.000,output
69,8,1050,185.350323357767,2025-09-08 01:00:00.000,output
70,8,2490,14.5983546403398,2025-09-08 01:00:00.000,output
71,8,1051,138.201938926564,2025-09-08 01:00:00.000,output
72,8,1052,87.8545405370612,2025-09-08 01:00:00.000,output
73,8,18,44.5182359992108,2025-09-08 01:00:00.000,output
74,8,2850,1,2025-09-08 01:00:00.000,output
75,8,5268,267.168348005083,2025-09-08 01:00:00.000,output
76,8,3092,0,2025-09-08 01:00:00.000,output
77,8,2748,75.7353623271144,2025-09-08 01:00:00.000,output
78,8,15,0,2025-09-08 01:00:00.000,output
79,8,19,0,2025-09-08 01:00:00.000,output
80,8,3095,252.832078862353,2025-09-08 01:00:00.000,output
81,8,2749,62.6944934918811,2025-09-08 01:00:00.000,output
82,8,16,62.6944934918811,2025-09-08 01:00:00.000,output
83,8,20,35.0437791313311,2025-09-08 01:00:00.000,output
84,8,2750,35.7096483207609,2025-09-08 01:00:00.000,output
85,8,17,35.7096483207609,2025-09-08 01:00:00.000,output
86,8,21,45.107480342047,2025-09-08 01:00:00.000,output
87,8,1053,143.533389160094,2025-09-08 01:00:00.000,output
88,8,2638,1,2025-09-08 01:00:00.000,output
89,8,229,382.406390310685,2025-09-08 01:00:00.000,output
90,8,4788,4,2025-09-08 01:00:00.000,output
91,8,395,1,2025-09-08 01:00:00.000,output
92,8,353,29.3184770678149,2025-09-08 01:00:00.000,output
93,8,425,382.406390310685,2025-09-08 01:00:00.000,output
94,8,22,0,2025-09-08 01:00:00.000,output
95,8,23,168.914630522626,2025-09-08 01:00:00.000,output
96,8,177,173.765194249429,2025-09-08 01:00:00.000,output
97,8,77,441.70792409102,2025-09-08 01:00:00.000,output
98,8,199,6,2025-09-08 01:00:00.000,output
99,8,1047,474.392226472571,2025-09-08 01:00:00.000,output
100,8,403,98.5,2025-09-08 01:00:00.000,output
101,8,12,0,2025-09-08 01:00:00.000,output
102,8,13,0,2025-09-08 01:00:00.000,output
103,8,14,0,2025-09-08 01:00:00.000,output
104,8,69,357.4484736,2025-09-08 01:00:00.000,output
105,8,70,0,2025-09-08 01:00:00.000,output
106,8,71,217.0555358,2025-09-08 01:00:00.000,output
107,8,72,180.64990847,2025-09-08 01:00:00.000,output
108,8,73,164.17472256,2025-09-08 01:00:00.000,output
109,8,74,0,2025-09-08 01:00:00.000,output
110,8,75,17.7432118,2025-09-08 01:00:00.000,output
111,8,76,13.97179211,2025-09-08 01:00:00.000,output
112,8,1151,5.89456578951818,2025-09-08 01:00:00.000,output
113,8,334,15000,2025-09-08 01:00:00.000,output
114,8,4043,93.8997062905629,2025-09-08 01:00:00.000,output
115,8,4044,93.8694760513306,2025-09-08 01:00:00.000,output
116,8,4045,93.2257922437456,2025-09-08 01:00:00.000,output
117,8,4046,94.1821639516618,2025-09-08 01:00:00.000,output
118,8,4047,100,2025-09-08 01:00:00.000,output
119,8,58,1,2025-09-08 01:00:00.000,output
120,8,59,1,2025-09-08 01:00:00.000,output
121,8,60,1,2025-09-08 01:00:00.000,output
122,8,61,1,2025-09-08 01:00:00.000,output
123,8,62,1,2025-09-08 01:00:00.000,output
124,8,166,28.3586739353087,2025-09-08 01:00:00.000,output
125,8,167,0,2025-09-08 01:00:00.000,output
126,8,168,8.7211386837506,2025-09-08 01:00:00.000,output
127,8,78,38.409384703567,2025-09-08 01:00:00.000,output
128,8,169,0.216327187899306,2025-09-08 01:00:00.000,output
129,8,352,772.245045700918,2025-09-08 01:00:00.000,output
130,8,225,805.676469827895,2025-09-08 01:00:00.000,output
131,8,152,1624.34636688232,2025-09-08 01:00:00.000,output
132,8,154,3388.01285847982,2025-09-08 01:00:00.000,output
133,8,155,0,2025-09-08 01:00:00.000,output
134,8,156,19180.0876585708,2025-09-08 01:00:00.000,output
135,8,153,34313.2638517795,2025-09-08 01:00:00.000,output
136,8,2920,1800,2025-09-08 01:00:00.000,output
137,8,354,60305.7107357125,2025-09-08 01:00:00.000,output
138,8,2917,21112.447608893,2025-09-08 01:00:00.000,output
139,8,335,31.5876029663616,2025-09-08 01:00:00.000,output
140,8,3333,0,2025-09-08 01:00:00.000,output
141,8,3334,0,2025-09-08 01:00:00.000,output
142,8,2929,0,2025-09-08 01:00:00.000,output
143,8,2936,0,2025-09-08 01:00:00.000,output
144,8,2941,0,2025-09-08 01:00:00.000,output
145,8,2948,0,2025-09-08 01:00:00.000,output
146,8,2953,0,2025-09-08 01:00:00.000,output
147,8,2960,0,2025-09-08 01:00:00.000,output
148,8,5536,0,2025-09-08 01:00:00.000,output
149,8,3332,1,2025-09-08 01:00:00.000,output
150,8,4061,0,2025-09-08 01:00:00.000,output
151,8,4062,0,2025-09-08 01:00:00.000,output
152,8,4063,0,2025-09-08 01:00:00.000,output
153,8,4064,0,2025-09-08 01:00:00.000,output
154,8,4065,0,2025-09-08 01:00:00.000,output
155,8,4066,0,2025-09-08 01:00:00.000,output
156,8,4067,0,2025-09-08 01:00:00.000,output
157,8,4068,0,2025-09-08 01:00:00.000,output
158,8,4069,1,2025-09-08 01:00:00.000,output
159,8,4070,0,2025-09-08 01:00:00.000,output
160,8,4071,0,2025-09-08 01:00:00.000,output
161,8,4785,2.92629930088917,2025-09-08 01:00:00.000,output
162,8,4786,3,2025-09-08 01:00:00.000,output
163,8,5181,2.92629930088917,2025-09-08 01:00:00.000,output
164,8,5182,5,2025-09-08 01:00:00.000,output
165,8,4787,0,2025-09-08 01:00:00.000,output
166,8,4926,0,2025-09-08 01:00:00.000,output
167,8,278,5,2025-09-08 01:00:00.000,output
168,8,357,480.117308794587,2025-09-08 01:00:00.000,output
169,8,5073,110,2025-09-08 01:00:00.000,output
170,8,5074,120,2025-09-08 01:00:00.000,output
171,8,4807,0,2025-09-08 01:00:00.000,output
172,8,276,3,2025-09-08 01:00:00.000,output
173,8,200,0,2025-09-08 01:00:00.000,output
174,8,1152,0,2025-09-08 01:00:00.000,output
175,8,1153,0,2025-09-08 01:00:00.000,output
176,8,3329,42.4734775135505,2025-09-08 01:00:00.000,output
177,8,1116,0,2025-09-08 01:00:00.000,output
178,8,1117,13,2025-09-08 01:00:00.000,output
179,8,1118,24,2025-09-08 01:00:00.000,output
180,8,1119,6,2025-09-08 01:00:00.000,output
181,8,1120,7,2025-09-08 01:00:00.000,output
182,8,405,0,2025-09-08 01:00:00.000,output
183,8,407,1.00778198242188,2025-09-08 01:00:00.000,output
184,8,409,1.55419765882704,2025-09-08 01:00:00.000,output
185,8,4073,2.56197964124891,2025-09-08 01:00:00.000,output
186,8,4076,0.330557562770136,2025-09-08 01:00:00.000,output
187,8,406,0,2025-09-08 01:00:00.000,output
188,8,408,0.815102611117893,2025-09-08 01:00:00.000,output
189,8,410,1.70495644375271,2025-09-08 01:00:00.000,output
190,8,412,0,2025-09-08 01:00:00.000,output
