what_if_energy_optimization_input_id,scenario_id,model_tag_id,tag_value,bias,must_run,availability,category,data_timestamp
218,14,353,22.503,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
219,14,22,148.254,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
220,14,23,157.038,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
221,14,177,179.730,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
222,14,199,6,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
223,14,152,1632.583,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
224,14,154,3286.543,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
225,14,155,19262.452,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
226,14,156,19262.452,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
227,14,153,34291.352,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
228,14,2920,1800,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
229,14,2917,22647.917,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
230,14,374,17.250,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
231,14,411,3.328,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
232,14,335,28.107,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
233,14,12,0,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
234,14,13,0,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
235,14,14,0,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
236,14,2490,0.000,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
237,14,19,45.391,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
238,14,20,58.704,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
239,14,21,31.765,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
240,14,2638,1,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
241,14,18,57.919,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
242,14,15,55.113,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
243,14,16,61.770,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
244,14,17,25.216,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
245,14,226,533.651,0,NULL,NULL,Demand,2025-09-08 01:00:00.000
246,14,3348,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
247,14,5208,57.800,0,NULL,NULL,Other,2025-09-08 01:00:00.000
248,14,5209,55.240,0,NULL,NULL,Other,2025-09-08 01:00:00.000
249,14,5210,68.707,0,NULL,NULL,Other,2025-09-08 01:00:00.000
250,14,5211,37.244,0,NULL,NULL,Other,2025-09-08 01:00:00.000
251,14,5212,25.223,0,NULL,NULL,Other,2025-09-08 01:00:00.000
252,14,5213,31.620,0,NULL,NULL,Other,2025-09-08 01:00:00.000
253,14,5214,57.919,0,NULL,NULL,Other,2025-09-08 01:00:00.000
254,14,5215,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
255,14,427,150,0,NULL,NULL,Other,2025-09-08 01:00:00.000
256,14,428,150,0,NULL,NULL,Other,2025-09-08 01:00:00.000
257,14,429,150,0,NULL,NULL,Other,2025-09-08 01:00:00.000
258,14,430,150,0,NULL,NULL,Other,2025-09-08 01:00:00.000
259,14,431,150,0,NULL,NULL,Other,2025-09-08 01:00:00.000
260,14,432,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
261,14,433,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
262,14,434,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
263,14,435,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
264,14,1042,0.843,0,NULL,NULL,Other,2025-09-08 01:00:00.000
265,14,1043,0.874,0,NULL,NULL,Other,2025-09-08 01:00:00.000
266,14,1044,0.898,0,NULL,NULL,Other,2025-09-08 01:00:00.000
267,14,1054,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
268,14,389,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
269,14,390,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
270,14,391,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
271,14,392,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
272,14,393,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
273,14,394,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
274,14,5183,159.704,0,NULL,NULL,Other,2025-09-08 01:00:00.000
275,14,5184,271.499,0,NULL,NULL,Other,2025-09-08 01:00:00.000
276,14,5185,1488.725,0,NULL,NULL,Other,2025-09-08 01:00:00.000
277,14,5186,52.215,0,NULL,NULL,Other,2025-09-08 01:00:00.000
278,14,5187,240.977,0,NULL,NULL,Other,2025-09-08 01:00:00.000
279,14,5188,387.186,0,NULL,NULL,Other,2025-09-08 01:00:00.000
280,14,5189,8.586,0,NULL,NULL,Other,2025-09-08 01:00:00.000
281,14,5190,-28.619,0,NULL,NULL,Other,2025-09-08 01:00:00.000
282,14,5191,18.712,0,NULL,NULL,Other,2025-09-08 01:00:00.000
283,14,5192,128.047,0,NULL,NULL,Other,2025-09-08 01:00:00.000
284,14,5193,24.279,0,NULL,NULL,Other,2025-09-08 01:00:00.000
285,14,1048,311.622,0,NULL,NULL,Other,2025-09-08 01:00:00.000
286,14,1049,83.194,0,NULL,NULL,Other,2025-09-08 01:00:00.000
287,14,1050,178.559,0,NULL,NULL,Other,2025-09-08 01:00:00.000
288,14,1051,147.875,0,NULL,NULL,Other,2025-09-08 01:00:00.000
289,14,1052,97.297,0,NULL,NULL,Other,2025-09-08 01:00:00.000
290,14,2748,55.113,0,NULL,NULL,Other,2025-09-08 01:00:00.000
291,14,2749,61.770,0,NULL,NULL,Other,2025-09-08 01:00:00.000
292,14,2750,25.216,0,NULL,NULL,Other,2025-09-08 01:00:00.000
293,14,1053,126.990,0,NULL,NULL,Other,2025-09-08 01:00:00.000
294,14,229,416.879,0,NULL,NULL,Other,2025-09-08 01:00:00.000
295,14,4788,5,0,NULL,NULL,Other,2025-09-08 01:00:00.000
296,14,395,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
297,14,425,416.879,0,NULL,NULL,Other,2025-09-08 01:00:00.000
298,14,77,488.322,0,NULL,NULL,Other,2025-09-08 01:00:00.000
299,14,1047,518.950,0,NULL,NULL,Other,2025-09-08 01:00:00.000
300,14,403,110,0,NULL,NULL,Other,2025-09-08 01:00:00.000
301,14,69,359.632,0,NULL,NULL,Other,2025-09-08 01:00:00.000
302,14,70,218.966,0,NULL,NULL,Other,2025-09-08 01:00:00.000
303,14,71,215.650,0,NULL,NULL,Other,2025-09-08 01:00:00.000
304,14,72,163.487,0,NULL,NULL,Other,2025-09-08 01:00:00.000
305,14,73,171.834,0,NULL,NULL,Other,2025-09-08 01:00:00.000
306,14,74,17.123,0,NULL,NULL,Other,2025-09-08 01:00:00.000
307,14,75,16.654,0,NULL,NULL,Other,2025-09-08 01:00:00.000
308,14,76,13.724,0,NULL,NULL,Other,2025-09-08 01:00:00.000
309,14,1151,5.980,0,NULL,NULL,Other,2025-09-08 01:00:00.000
310,14,334,15000,0,NULL,NULL,Other,2025-09-08 01:00:00.000
311,14,58,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
312,14,59,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
313,14,60,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
314,14,61,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
315,14,62,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
316,14,166,29.763,0,NULL,NULL,Other,2025-09-08 01:00:00.000
317,14,167,6.765,0,NULL,NULL,Other,2025-09-08 01:00:00.000
318,14,168,11.374,0,NULL,NULL,Other,2025-09-08 01:00:00.000
319,14,78,40,0,NULL,NULL,Other,2025-09-08 01:00:00.000
320,14,169,0.001,0,NULL,NULL,Other,2025-09-08 01:00:00.000
321,14,352,1488.338,0,NULL,NULL,Other,2025-09-08 01:00:00.000
322,14,225,1171.835,0,NULL,NULL,Other,2025-09-08 01:00:00.000
323,14,354,79535.382,0,NULL,NULL,Other,2025-09-08 01:00:00.000
324,14,3333,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
325,14,3334,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
326,14,2929,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
327,14,2936,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
328,14,2941,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
329,14,2948,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
330,14,2953,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
331,14,2960,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
332,14,2964,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
333,14,3332,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
334,14,4061,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
335,14,4062,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
336,14,4063,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
337,14,4064,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
338,14,4065,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
339,14,4066,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
340,14,4067,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
341,14,4068,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
342,14,4069,1,0,NULL,NULL,Other,2025-09-08 01:00:00.000
343,14,4070,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
344,14,4071,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
345,14,4785,2.914,0,NULL,NULL,Other,2025-09-08 01:00:00.000
346,14,4786,3,0,NULL,NULL,Other,2025-09-08 01:00:00.000
347,14,5181,2.914,0,NULL,NULL,Other,2025-09-08 01:00:00.000
348,14,5182,5,0,NULL,NULL,Other,2025-09-08 01:00:00.000
349,14,4787,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
350,14,4926,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
351,14,4892,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
352,14,278,6,0,NULL,NULL,Other,2025-09-08 01:00:00.000
353,14,357,533.651,0,NULL,NULL,Other,2025-09-08 01:00:00.000
354,14,5073,110,0,NULL,NULL,Other,2025-09-08 01:00:00.000
355,14,5074,120,0,NULL,NULL,Other,2025-09-08 01:00:00.000
356,14,4807,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
357,14,276,4,0,NULL,NULL,Other,2025-09-08 01:00:00.000
358,14,200,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
359,14,1152,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
360,14,1153,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
361,14,3329,81.859,0,NULL,NULL,Other,2025-09-08 01:00:00.000
362,14,1116,11.500,0,NULL,NULL,Other,2025-09-08 01:00:00.000
363,14,1117,13,0,NULL,NULL,Other,2025-09-08 01:00:00.000
364,14,1118,24,0,NULL,NULL,Other,2025-09-08 01:00:00.000
365,14,1119,6,0,NULL,NULL,Other,2025-09-08 01:00:00.000
366,14,1120,7,0,NULL,NULL,Other,2025-09-08 01:00:00.000
367,14,405,0.904,0,NULL,NULL,Other,2025-09-08 01:00:00.000
368,14,407,1.062,0,NULL,NULL,Other,2025-09-08 01:00:00.000
369,14,409,1.560,0,NULL,NULL,Other,2025-09-08 01:00:00.000
370,14,4073,3.526,0,NULL,NULL,Other,2025-09-08 01:00:00.000
371,14,4076,0.004,0,NULL,NULL,Other,2025-09-08 01:00:00.000
372,14,406,0.011,0,NULL,NULL,Other,2025-09-08 01:00:00.000
373,14,408,0.837,0,NULL,NULL,Other,2025-09-08 01:00:00.000
374,14,410,1.778,0,NULL,NULL,Other,2025-09-08 01:00:00.000
375,14,412,0,0,NULL,NULL,Other,2025-09-08 01:00:00.000
376,14,4077,2.627,0,NULL,NULL,Other,2025-09-08 01:00:00.000
377,14,1114,45,0,NULL,NULL,Other,2025-09-08 01:00:00.000
378,14,1115,3.500,0,NULL,NULL,Other,2025-09-08 01:00:00.000
379,14,396,3.500,0,NULL,NULL,Other,2025-09-08 01:00:00.000
380,14,397,11.500,0,NULL,NULL,Other,2025-09-08 01:00:00.000
381,14,398,13,0,NULL,NULL,Other,2025-09-08 01:00:00.000
382,14,399,24,0,NULL,NULL,Other,2025-09-08 01:00:00.000
383,14,400,6,0,NULL,NULL,Other,2025-09-08 01:00:00.000
384,14,401,7,0,NULL,NULL,Other,2025-09-08 01:00:00.000
385,14,4079,65,0,NULL,NULL,Other,2025-09-08 01:00:00.000
386,14,4080,45,0,NULL,NULL,Other,2025-09-08 01:00:00.000
387,14,418,21.481,0,NULL,NULL,Other,2025-09-08 01:00:00.000
388,14,5196,102183.299,0,NULL,NULL,Other,2025-09-08 01:00:00.000
389,14,5197,13512.033,0,NULL,NULL,Other,2025-09-08 01:00:00.000
390,14,5216,10,0,NULL,NULL,Other,2025-09-08 01:00:00.000
391,14,235,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
392,14,234,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
393,14,237,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
394,14,238,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
395,14,245,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
396,14,244,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
397,14,247,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
398,14,248,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
399,14,252,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
400,14,251,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
401,14,62,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
402,14,230,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
403,14,231,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
404,14,232,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
405,14,233,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
406,14,236,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
407,14,239,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
408,14,240,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
409,14,241,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
410,14,242,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
411,14,243,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
412,14,246,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
413,14,249,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
414,14,250,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
415,14,58,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
416,14,59,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
417,14,60,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
418,14,61,NULL,NULL,NULL,true,Equipment,2025-09-08 01:00:00.000
419,14,253,NULL,NULL,NULL,false,Equipment,2025-09-08 01:00:00.000
420,14,254,NULL,NULL,NULL,false,Equipment,2025-09-08 01:00:00.000
421,14,218,13.330,NULL,NULL,NULL,Price_Inputs,2025-09-08 01:00:00.000
422,14,219,2.040,NULL,NULL,NULL,Price_Inputs,2025-09-08 01:00:00.000
423,14,220,1.960,NULL,NULL,NULL,Price_Inputs,2025-09-08 01:00:00.000
424,14,223,74.310,NULL,NULL,NULL,Plant_Parameter,2025-09-08 01:00:00.000
425,14,2647,89.780,NULL,NULL,NULL,Plant_Parameter,2025-09-08 01:00:00.000
